dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-17968,Incorrect Distribution Logic,distributeFunds,0,False
CVE-2018-17968,Reentrancy Vulnerability,enter,0,False
CVE-2018-17968,Unprotected Refund Function,refundPlayersInRoom,0,False
CVE-2018-17968,Uninitialized State Variable,createRoom,0,False
CVE-2018-17968,Predictable Randomness,random,0,False
CVE-2018-17968,Incorrect Fee Calculation,executeRoom,0,False
CVE-2018-17968,Typo Constructor,approveAndCall,0,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,convertPresaleTokens,0,False
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13128,Access Control,approveAndCall,0,False
CVE-2018-13128,Token Devalue,approveAndCall,0,False
CVE-2018-13777,Lack of Balance Check in Minting Function,mintToken,0,False
CVE-2018-13777,Incorrect Logic in Transfer Function,_transfer,0,False
CVE-2018-13208,Access Control,mintToken,0,False
CVE-2018-13208,Access Control,freezeAccount,0,False
CVE-2018-13208,Access Control,setPrices,0,False
CVE-2018-13208,Bad Randomness,sell,0,False
CVE-2018-13208,Bad Randomness,buy,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Wrong Logic,approveAndCallcode,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Wrong Logic,approveAndCall,0,False
CVE-2018-12702,Typo Constructor,GVE,0,False
CVE-2020-17753,Integer Overflow,tokenValueInEther,0,False
CVE-2020-17753,Integer Overflow,buyFromRC,0,False
CVE-2018-12230,Integer Overflow,burn,0,False
CVE-2018-12230,Integer Overflow,approve,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Integer Overflow,mint,0,False
CVE-2018-12703,Wrong Logic,approveAndCallcode,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Wrong Logic,approveAndCall,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-14085,Access Control,mint,0,False
CVE-2018-18425,Integer Overflow,burn,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdropMultiple,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Integer Overflow,distr,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdrop,0,False
CVE-2018-17050,Access Control,mintToken,0,False
CVE-2018-17050,Access Control,approve,0,False
CVE-2018-17050,Access Control,transferFrom,0,False
CVE-2018-17050,Access Control,approveAndCall,0,False
CVE-2018-17050,Access Control,transfer,0,False
CVE-2018-14006,Integer Overflow,transferFrom,0,False
CVE-2018-14006,Integer Overflow,transfer,0,False
CVE-2018-14006,Integer Overflow,burnFrom,0,False
CVE-2018-14006,Integer Overflow,burn,0,False
CVE-2018-13075,Access Control,CarbonExchangeCoinToken,0,False
CVE-2018-10666,Integer Overflow,mintToken,0,False
CVE-2018-10666,Wrong Logic,sell,0,False
CVE-2018-10666,Integer Overflow,transferFrom,0,False
CVE-2018-10666,Wrong Logic,setPrices,0,False
CVE-2018-10666,Integer Overflow,transfer,0,False
CVE-2018-13076,Access Control,mintToken,0,False
CVE-2018-13076,Access Control,sell,0,False
CVE-2018-13076,Access Control,buy,0,False
CVE-2018-13076,Access Control,transferFrom,0,False
CVE-2018-13076,Access Control,transfer,0,False
CVE-2018-13071,Integer Overflow,transfer,0,False
CVE-2018-13088,Access Control,_transfer,0,False
CVE-2018-13088,Access Control,freezeAccount,0,False
CVE-2018-13088,Token Devalue,mintToken,0,False
CVE-2018-13088,Integer Overflow,sell,0,False
CVE-2018-13088,Integer Overflow,buy,0,False
CVE-2018-13533,Integer Overflow,sell,0,False
CVE-2018-13533,Integer Overflow,transferFrom,0,False
CVE-2018-13533,Integer Overflow,buy,0,False
CVE-2018-13533,Access Control,mintToken,0,False
CVE-2018-13533,Integer Overflow,transfer,0,False
CVE-2018-10299,Access Control,transfer,0,False
CVE-2018-10299,Integer Overflow,sub,0,False
CVE-2018-10299,Integer Overflow,mul,0,False
CVE-2018-10299,Integer Overflow,add,0,False
CVE-2018-10299,Integer Overflow,div,0,False
CVE-2018-13670,Integer Overflow,transferFrom,0,False
CVE-2018-13670,Integer Overflow,transfer,0,False
CVE-2018-13670,Integer Overflow,approveAndCall,0,False
CVE-2018-13670,Access Control,transferFrom,0,False
CVE-2018-13670,Integer Overflow,approve,0,False
CVE-2018-10376,Integer Overflow,burn,0,False
CVE-2018-10376,Integer Overflow,buy,0,False
CVE-2018-10376,Integer Overflow,burnFrom,0,False
CVE-2018-10376,Integer Overflow,transferFrom,0,False
CVE-2018-10376,Integer Overflow,transfer,0,False
CVE-2018-14003,Access Control,mintToken,0,False
CVE-2018-14003,Access Control,freezeAccount,0,False
CVE-2018-14003,Bad Randomness,buy,0,False
CVE-2018-14003,Integer Overflow,transferFrom,0,False
CVE-2018-14003,Integer Overflow,sell,0,False
CVE-2018-13070,Unchecked Allowance,approve,0,False
CVE-2018-13070,Typo Constructor,approveAndCall,0,False
CVE-2018-13070,Selfdestruct Vulnerability,selfdestructs,0,False
CVE-2018-13070,Missing Reentrancy Guard,transfer,0,False
CVE-2018-14715,Bad Randomness,mintBatch,0,False
CVE-2018-14715,Denial of Service,claimThrone,0,False
CVE-2018-14715,Access Control,transferFrom,0,False
CVE-2018-14715,Integer Overflow,mint,0,False
CVE-2018-12885,Access Control,ToOwner,0,False
CVE-2018-12885,Wrong Logic,transferFrom,0,False
CVE-2018-12885,Token Devalue,mintToken,0,False
CVE-2018-12885,Denial of Service,claimThrone,0,False
CVE-2018-13079,Access Control,approveAndCall,0,False
CVE-2018-13079,Token Devalue,mintToken,0,False
CVE-2018-13079,Integer Overflow,_transfer,0,False
CVE-2018-13079,Access Control,burnFrom,0,False
CVE-2018-13079,Integer Overflow,sell,0,False
CVE-2018-14089,Access Control,transferFrom,0,False
CVE-2018-14089,Bad Randomness,transferFrom,0,False
CVE-2018-14089,Access Control,transfer,0,False
CVE-2019-15078,Integer Overflow,getTokens,0,False
CVE-2019-15078,Integer Overflow,distr,0,False
CVE-2018-13085,Integer Overflow,sell,0,False
CVE-2018-14063,Integer Overflow,migrate,0,False
CVE-2018-14063,Integer Overflow,mint,0,False
CVE-2018-14063,Integer Overflow,transfer,0,False
CVE-2018-14063,Integer Overflow,approve,0,False
CVE-2018-14063,Integer Overflow,transferFrom,0,False
CVE-2018-13087,Access Control,_transfer,0,False
CVE-2018-13087,Token Devalue,mintToken,0,False
CVE-2018-13087,Access Control,sell,0,False
CVE-2018-13087,Access Control,buy,0,False
CVE-2018-13087,Access Control,freezeAccount,0,False
CVE-2018-12070,Access Control,setPrices,0,False
CVE-2018-12070,Access Control,mintToken,0,False
CVE-2018-12070,Access Control,freezeAccount,0,False
CVE-2019-15079,Access Control,transferFrom,0,False
CVE-2019-15079,Integer Overflow,sell,0,False
CVE-2019-15079,Integer Overflow,buy,0,False
CVE-2019-15079,Access Control,mintToken,0,False
CVE-2018-14087,Access Control,freezeAccount,0,False
CVE-2018-14087,Token Devalue,mintToken,0,False
CVE-2018-14087,Bad Randomness,buy,0,False
