dataname,auditor_idx,vulnerability,function_name
2018-12062,Extract the auditor_idx,Integer Overflow,receiveApproval
2018-12062,Extract the auditor_idx,Integer Overflow,transfer
2018-12062,Extract the auditor_idx,Integer Overflow,transferFrom
2018-12062,Extract the auditor_idx,Integer Overflow,approve
2018-12062,Extract the auditor_idx,Integer Overflow,approveAndCall
2018-12062,Extract the auditor_idx,Integer Overflow,mintToken
2018-12062,Extract the auditor_idx,Integer Overflow,freezeAccount
2018-12062,Extract the auditor_idx,Integer Overflow,setPrices
2018-12062,Extract the auditor_idx,Integer Overflow,buy
2018-12062,Extract the auditor_idx,Integer Overflow,sell
2018-12062,Extract the auditor_idx,Integer Overflow,balanceOf
2018-12062,Extract the auditor_idx,Integer Overflow,allowance
