dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Inheritance from multiple contracts,HYIP,Extract the auditor_idx,False
CVE-2018-13722,Inheritance from multiple contracts,owned,Extract the auditor_idx,False
CVE-2018-13722,Function modifier usage,HYIP,Extract the auditor_idx,False
CVE-2018-13722,Function visibility,HYIP,Extract the auditor_idx,False
CVE-2018-13722,State variable visibility,HYIP,Extract the auditor_idx,False
CVE-2018-17968,Integer Overflow,payout,,False
CVE-2018-17968,Integer Overflow,enterWithReferral,,False
CVE-2018-17968,Integer Overflow,setCEO,,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,,False
CVE-2018-17968,Integer Overflow,setCTO,,False
CVE-2018-17968,Integer Overflow,enter,,False
CVE-2018-17968,Integer Overflow,random,,False
CVE-2018-17968,Integer Overflow,distributeFunds,,False
CVE-2018-17968,Integer Overflow,getRoom,,False
CVE-2018-17968,Integer Overflow,createRoom,,False
CVE-2018-13777,Integer Overflow,mintToken,,True
CVE-2018-12062,Integer Overflow,allowance,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,transfer,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,approveAndCall,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,sell,Extract the auditor_idx,True
CVE-2018-12062,Integer Overflow,approve,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,freezeAccount,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,setPrices,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,receiveApproval,Extract the auditor_idx,False
CVE-2018-12062,Integer Overflow,balanceOf,Extract the auditor_idx,False
CVE-2018-17071,Integer Overflow,stopGame,,False
CVE-2018-14001,Integer Overflow,batchTransfer,,True
CVE-2018-13208,Integer Overflow,setPrices,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,sell,Extract the auditor_idx,True
CVE-2018-13208,Integer Overflow,transfer,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,freezeAccount,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-13325,Integer Overflow,getBalance,,False
CVE-2018-13325,Integer Overflow,Transfer,,False
CVE-2018-12702,Cross-Site Scripting (XSS),display_comment,,False
CVE-2018-12702,SQL Injection,execute_query,,False
CVE-2018-12703,Integer Overflow,EightteenToken,,False
CVE-2018-12703,Integer Overflow,EightteenCoin,,False
CVE-2018-12703,Integer Overflow,EightteenAttack,,False
CVE-2018-14085,Integer Overflow,sweep,Extract the auditor_idx,False
CVE-2018-14006,Integer Overflow,initialSupply,,False
CVE-2018-10666,Integer Overflow,setOwner,Extract the auditor_idx,False
CVE-2018-10666,Integer Overflow,transfer,Extract the auditor_idx,False
CVE-2018-10666,Integer Overflow,setExportFee,Extract the auditor_idx,False
CVE-2018-10666,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2018-10666,Integer Overflow,setHoldingPeriod,Extract the auditor_idx,False
CVE-2018-17877,Integer Overflow,withdraw,,False
CVE-2018-17877,Integer Overflow,getMyRevenue,,False
CVE-2018-17877,Integer Overflow,withdrawOwner,,False
CVE-2018-17877,Integer Overflow,win,,False
CVE-2018-17877,Integer Overflow,getFullround,,False
CVE-2018-13071,Integer Overflow,getSymbol,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,getDecimals,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,getName,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,getToken,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,getOutputList,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,getBalance,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,getTotalSupply,Extract the auditor_idx,False
CVE-2018-13533,Integer Overflow,transfer,,False
CVE-2018-13533,Integer Overflow,refillTokens,,False
CVE-2018-13533,Integer Overflow,transferFrom,,False
CVE-2018-13533,Integer Overflow,mintToken,,True
CVE-2021-34273,Integer Overflow,transfer,Extract the auditor_idx,False
CVE-2021-34273,Wrong Logic,transfer,Extract the auditor_idx,False
CVE-2021-34273,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2021-34273,Wrong Logic,transferFrom,Extract the auditor_idx,False
CVE-2021-34273,Integer Overflow,approve,Extract the auditor_idx,False
CVE-2018-10376,Integer Overflow,transferProxy,Extract the auditor_idx,True
CVE-2018-10376,Integer Overflow,approveAndCallcode,Extract the auditor_idx,False
CVE-2018-10376,Integer Overflow,approveAndCall,Extract the auditor_idx,False
CVE-2018-13073,Denial of Service,sell,1,False
CVE-2018-13073,Denial of Service,freezeAccount,1,False
CVE-2018-13073,Denial of Service,mintToken,1,False
CVE-2018-13073,Denial of Service,buy,1,False
CVE-2018-13073,Denial of Service,setPrices,1,False
CVE-2018-14715,Integer Overflow,mintBatch,Extract the auditor_idx,False
CVE-2018-14715,Integer Overflow,mint,Extract the auditor_idx,False
CVE-2018-14715,Integer Overflow,mintPack,Extract the auditor_idx,False
CVE-2018-12885,Integer Overflow,attack,,False
CVE-2018-19833,Cross-Site Scripting (XSS),display_comment,,False
CVE-2018-19833,SQL Injection,execute_query,,False
CVE-2018-14089,Lack of access control,setAIRDROPBounce,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,withdraw,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,burn,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,getStats,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,transferFrom,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,balanceOf,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,transfer,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,disablePurchasing,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setPreSaleMaxContribution,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setPreSaleStartTime,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setICORatio,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setPreSaleRate,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setPreSaleTokens,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,withdrawForeignTokens,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setPreSaleTokensSold,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,allowance,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,enablePurchasing,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,(),Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setPreSaleBalances,Extract the auditor_idx,False
CVE-2018-14089,Lack of access control,setPreSaleEndTime,Extract the auditor_idx,False
