dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,False,N/A,Extract the auditor_idx
CVE-2018-17968,Bad Randomness,random,False,N/A,
CVE-2018-13777,Integer Overflow,mintToken,True,1,
CVE-2018-12062,Integer Overflow,sell,True,10,Extract the auditor_idx
CVE-2018-17071,Bad Randomness,fallback,False,N/A,
CVE-2018-14001,Integer Overflow,batchTransfer,True,1,
CVE-2018-13208,Integer Overflow,sell,True,2,Extract the auditor_idx
CVE-2018-13325,Integer Overflow,_sell,False,N/A,
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,
CVE-2018-12703,Access Control,approveAndCallcode,False,N/A,
CVE-2018-14085,Wrong Logic,Not Provided,False,N/A,Extract the auditor_idx
CVE-2018-14006,Integer Overflow,multipleTransfer,False,N/A,
CVE-2018-10666,Access Control,setOwner,False,N/A,Extract the auditor_idx
CVE-2018-17877,Bad Randomness,extcodesize,False,N/A,
CVE-2018-13071,Integer Overflow,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-13533,Integer Overflow,mintToken,True,1,
CVE-2021-34273,Access Control,owned,False,N/A,Extract the auditor_idx
CVE-2018-10376,Integer Overflow,transferProxy,True,1,Extract the auditor_idx
CVE-2018-13073,Integer Overflow,mintToken,False,N/A,1
CVE-2018-14715,Bad Randomness,endCoinFlip,False,N/A,Extract the auditor_idx
CVE-2018-12885,Bad Randomness,randMod,False,N/A,
CVE-2018-19833,Access Control,owned,False,N/A,
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,Extract the auditor_idx
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,Extract the auditor_idx
CVE-2018-13085,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-14063,Integer Overflow,increaseApproval,True,5,Extract the auditor_idx
CVE-2018-12070,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,Extract the auditor_idx
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,Extract the auditor_idx
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,Extract the auditor_idx
CVE-2018-12067,Integer Overflow,sell,False,N/A,
CVE-2021-34272,Access Control,owned,False,N/A,
CVE-2018-13703,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13127,Integer Overflow,mint,False,N/A,
CVE-2018-13091,Integer Overflow,mintToken,True,5,Extract the auditor_idx
CVE-2018-12068,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,Extract the auditor_idx
CVE-2018-11411,Wrong Logic,transferFrom,False,N/A,
CVE-2018-17987,Bad Randomness,determineWinner,False,N/A,1
CVE-2018-14005,Integer Overflow,transferAny,False,N/A,Extract the auditor_idx
CVE-2018-13089,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13228,Integer Overflow,sell,False,N/A,
CVE-2018-13126,Integer Overflow,mint,True,1,Extract the auditor_idx
CVE-2018-12081,Token Devalue,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-17111,Access Control,onlyOwner,False,N/A,Extract the auditor_idx
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,
CVE-2018-13202,Integer Overflow,sell,False,N/A,
CVE-2018-12959,Access Control,approveAndCall,False,N/A,
CVE-2018-13230,Integer Overflow,sell,False,N/A,
CVE-2018-13092,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13225,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-12079,Token Devalue,mintToken,False,N/A,
CVE-2018-19834,Access Control,quaker,False,N/A,
CVE-2018-13783,Integer Overflow,mintToken,True,1,
CVE-2018-13221,Integer Overflow,sell,False,N/A,
CVE-2018-12975,Bad Randomness,random,False,N/A,Extract the auditor_idx
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,Extract the auditor_idx
CVE-2018-13836,Integer Overflow,multiTransfer,False,N/A,Extract the auditor_idx
CVE-2018-14576,Integer Overflow,mintTokens,False,N/A,Extract the auditor_idx
CVE-2018-13625,Integer Overflow,mintlvlToken,True,4,Extract the auditor_idx
CVE-2018-19830,Access Control,UBSexToken,False,N/A,
CVE-2018-10944,Access Control,request_dividend,False,N/A,1
CVE-2018-13113,Integer Overflow,Multiple Functions,False,N/A,
CVE-2018-13227,Integer Overflow,sell,False,N/A,

Top k hit rate:,0.23,(15/65)
Top 1 hit rate:,0.23,0.15384615384615385,(10/65)
