dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Mint Agent Control,setMintAgent,1,False
CVE-2018-13722,Token Burn Control,burn,1,False
CVE-2018-13722,Mint Agent Control,mint,1,False
CVE-2018-17968,Access Control,payout,4,False
CVE-2018-17968,Random Number Manipulation,executeRoom,2,False
CVE-2018-17968,Integer Overflow,distributeFunds,3,False
CVE-2018-17968,Referral Fee Theft,enterWithReferral,1,False
CVE-2018-13132,Token Issuance Control,buyTokens,1,False
CVE-2018-13132,Rug Pull,migrate,1,False
CVE-2018-13132,Incorrect Access Control,setMigrationMaster,1,False
CVE-2018-13132,Token Issuance Control,mint,1,False
CVE-2018-13132,Incorrect Access Control,setMigrationAgent,1,False
CVE-2018-13128,Token Supply Overflow,mint,1,False
CVE-2018-13128,Unrestricted Approval Ability,approve,5,False
CVE-2018-13128,Unrestricted Burnability,burn,2,False
CVE-2018-13128,Unrestricted Transferability,transfer,3,False
CVE-2018-13128,Unrestricted TransferFrom Ability,transferFrom,4,False
CVE-2018-13777,Integer Overflow,_transfer,1,False
CVE-2018-13777,Integer Overflow,approveAndCall,1,False
CVE-2018-13777,Integer Overflow,transferFrom,1,False
CVE-2018-13777,Integer Overflow,approve,1,False
CVE-2018-12062,Integer Overflow,transferFrom,1,False
CVE-2018-12062,Integer Overflow,sell,1,True
CVE-2018-12062,Unrestricted Access,mintToken,1,False
CVE-2018-12062,Token Devalue,mintToken,1,False
CVE-2018-12062,Integer Overflow,transfer,1,False
CVE-2018-12083,Integer Overflow,burnFrom,1,False
CVE-2018-12083,Integer Overflow,transfer,1,False
CVE-2018-12083,Multiple Allowances,approve,1,False
CVE-2018-12083,Token Creation Issue,mintToken,1,False
CVE-2018-12083,Integer Overflow,transferFrom,1,False
CVE-2018-14001,Integer Overflow,Sell,,False
CVE-2018-14001,Integer Overflow,Buy,,False
CVE-2018-14001,Integer Overflow,Trade,,False
CVE-2018-13208,Token Issuance Control,mintToken,1,False
CVE-2018-13208,Integer Overflow,sell,1,True
CVE-2018-13208,Token Freeze,transferFrom,1,False
CVE-2018-13208,Integer Overflow,transferFrom,1,False
CVE-2018-13208,Token Freeze,transfer,1,False
CVE-2018-13325,Access Control,transferOwnership,2,False
CVE-2018-13325,Integer Overflow,_sell,1,True
CVE-2018-13325,Integer Overflow,_buy,1,False
CVE-2018-13129,Rug Pull,migrate,,False
CVE-2018-13129,Access Control,setMigrationMaster,,False
CVE-2018-13129,Token Issuance Control,mint,,False
CVE-2018-13129,Access Control,setMigrationAgent,,False
CVE-2018-13129,Token Freeze,transfer,,False
CVE-2018-12702,Integer Overflow,transfer,Extract the auditor_idx,False
CVE-2018-12702,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2018-12702,Integer Overflow,approveAndCallcode,Extract the auditor_idx,False
CVE-2018-12702,Integer Overflow,approveAndCall,Extract the auditor_idx,False
CVE-2020-17753,Integer Overflow,giveToken,Extract the auditor_idx,False
CVE-2020-17753,Integer Overflow,claimTokenBonus,Extract the auditor_idx,False
CVE-2020-17753,Integer Overflow,takeEther,Extract the auditor_idx,False
CVE-2020-17753,Integer Overflow,buyImplementation,Extract the auditor_idx,False
CVE-2020-17753,Integer Overflow,buyFromRC,Extract the auditor_idx,False
CVE-2018-12230,Integer Overflow,transfer,,False
CVE-2018-12230,Owner Control,mintToken,,False
CVE-2018-12230,Integer Overflow,transferFrom,,False
CVE-2018-12230,Integer Overflow,approve,,False
CVE-2018-12703,Integer Overflow,approveAndCallcode,Extract the auditor_idx,False
CVE-2018-12703,Integer Overflow,transfer,Extract the auditor_idx,False
CVE-2018-12703,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2018-12703,Integer Overflow,balanceOf,Extract the auditor_idx,False
CVE-2018-12703,Integer Overflow,approveAndCall,Extract the auditor_idx,False
CVE-2018-14085,Unrestricted Access,UserWallet.sweep,1,False
CVE-2018-14085,Integer Overflow,UserWallet.tokenFallback,1,False
CVE-2018-14085,Unrestricted Access,Controller.makeWallet,1,False
CVE-2018-14085,Unrestricted Access,Controller.addSweeper,1,False
CVE-2018-18425,Integer Overflow,adminClaimAirdropMultiple,1,False
CVE-2018-18425,Integer Overflow,getTokens,1,False
CVE-2018-18425,Integer Overflow,doAirdrop,1,False
CVE-2018-18425,Integer Overflow,distr,1,False
CVE-2018-18425,Rational Exclusion,adminClaimAirdrop,1,False
CVE-2018-17050,Token Issuance Control Issue,mintToken,Extract the auditor_idx,False
CVE-2018-17050,Account Locking Mechanism Issue,transfer,Extract the auditor_idx,False
CVE-2018-17050,Integer Overflow,transfer,Extract the auditor_idx,False
CVE-2018-17050,Account Locking Mechanism Issue,transferFrom,Extract the auditor_idx,False
CVE-2018-17050,User Interface Misuse,approveAndCall,Extract the auditor_idx,False
CVE-2018-14006,Integer Overflow,transferToAddress,Extract the auditor_idx,False
