dataname,auditor_idx,vulnerability,function_name
2018-14005,,Integer Overflow,transferAUTOtokens10
2018-14005,,Integer Overflow,transferAUTOtokens5
2018-14005,,Integer Overflow,transferAUTOtoken1
2018-14005,,Integer Overflow,transferAny
2018-14005,,Integer Overflow,burn
2018-14005,,Integer Overflow,setStorage
2018-14005,,Integer Overflow,setPrices
2018-14005,,Integer Overflow,setBalance
2018-14005,,Integer Overflow,setOwner
2018-14005,,Integer Overflow,mint
2018-14005,,Integer Overflow,transfer
2018-14005,,Integer Overflow,transferFrom
2018-14005,,Integer Overflow,approve
2018-14005,,Integer Overflow,allowance
2018-14005,,Integer Overflow,increaseApproval
2018-14005,,Integer Overflow,decreaseApproval
2018-14005,,Integer Overflow,buy
2018-14005,,Integer Overflow,sell
