dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-17968,Integer Overflow,_distributeFunds,Extract the auditor_idx,False
CVE-2018-17968,Integer Overflow,_myRandom,Extract the auditor_idx,False
CVE-2018-17968,Integer Overflow,_refund,Extract the auditor_idx,False
CVE-2018-13132,Access Control,resumeIco,Extract the auditor_idx,False
CVE-2018-13132,Access Control,pauseIco,Extract the auditor_idx,False
CVE-2018-13132,Access Control,creditJackpotTokens,Extract the auditor_idx,False
CVE-2018-13132,Access Control,buyTokens,Extract the auditor_idx,False
CVE-2018-13132,Access Control,convertPresaleTokens,Extract the auditor_idx,False
CVE-2018-13128,Integer Overflow,transferFrom,,False
CVE-2018-13128,Integer Overflow,transfer,,False
CVE-2018-13128,Integer Overflow,approve,,False
CVE-2018-13128,Integer Overflow,mint,,True
CVE-2018-13777,Access Control,mintToken,,False
CVE-2018-13777,Integer Overflow,mintToken,,True
CVE-2018-14001,Wrong Logic,airDrop,Extract the auditor_idx,False
CVE-2018-14001,Wrong Logic,Shark,Extract the auditor_idx,False
CVE-2018-14001,Integer Overflow,Traded,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,sell,Extract the auditor_idx,True
CVE-2018-13325,Integer Overflow,GrowToken,Extract the auditor_idx,False
CVE-2018-13325,Access Control,GrowToken,Extract the auditor_idx,False
CVE-2018-13129,Access Control,setMigrationMaster,Extract the auditor_idx,False
CVE-2018-13129,Integer Overflow,mint,Extract the auditor_idx,True
CVE-2018-13129,Access Control,setMigrationAgent,Extract the auditor_idx,False
CVE-2018-13129,Access Control,unfreeze,Extract the auditor_idx,False
CVE-2020-17753,Integer Overflow,RC,,False
CVE-2020-17753,Integer Overflow,TokenSale,,False
CVE-2018-14085,Access Control,UserWallet,Extract the auditor_idx,False
CVE-2018-14085,Access Control,Controller,Extract the auditor_idx,False
CVE-2018-14085,Integer Overflow,DefaultSweeper,Extract the auditor_idx,False
CVE-2018-18425,Wrong Owner Set,withdraw,,False
CVE-2018-18425,Integer Overflow,burn,,False
CVE-2018-18425,Integer Overflow,getTokens,,False
CVE-2018-18425,Integer Overflow,withdraw,,False
CVE-2018-18425,Integer Overflow,approve,,False
CVE-2018-18425,Wrong Owner Set,approve,,False
CVE-2018-18425,Wrong Owner Set,transferFrom,,False
CVE-2018-18425,Wrong Owner Set,getTokens,,False
CVE-2018-18425,Wrong Owner Set,burn,,False
CVE-2018-18425,Integer Overflow,transferFrom,,False
CVE-2018-17050,Access Control,freezeAccount,Extract the auditor_idx,False
CVE-2018-17050,Access Control,transfer,Extract the auditor_idx,False
CVE-2018-17050,Access Control,transferFrom,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13075,Access Control,setTokenSymbol,Extract the auditor_idx,False
CVE-2018-13075,Access Control,setTokenName,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,burn,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,burnFrom,Extract the auditor_idx,False
CVE-2018-13075,Access Control,freezeAccount,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,setPrices,Extract the auditor_idx,False
CVE-2018-13075,Access Control,setMinBalance,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,sell,Extract the auditor_idx,False
CVE-2018-10666,Integer Overflow,singleIDXMQty,1,False
CVE-2018-10666,Access Control,lockBalances,1,False
CVE-2018-10666,Integer Overflow,feeDivisor,1,False
CVE-2018-10666,Integer Overflow,baseFeeDivisor,1,False
CVE-2018-10666,Integer Overflow,div10,1,False
CVE-2018-10666,Integer Overflow,precalculate,1,False
CVE-2018-13076,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-13076,Integer Overflow,withdrawToOwner,Extract the auditor_idx,False
CVE-2018-13076,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13071,Integer Overflow,setPrices,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13071,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-13071,Integer Overflow,sell,Extract the auditor_idx,False
CVE-2018-13088,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13088,Integer Overflow,sell,Extract the auditor_idx,False
CVE-2018-13088,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-13533,Integer Overflow,deposit,1,False
CVE-2018-13533,Access Control,freezeAccount,1,False
CVE-2018-13533,Integer Overflow,setPrices,1,False
CVE-2018-13533,Integer Overflow,mintToken,1,True
CVE-2018-13533,Access Control,setStatus,1,False
CVE-2018-10299,Integer Overflow,batchTransfer,,True
CVE-2018-10299,Wrong Logic Error,batchTransfer,,False
CVE-2018-13670,Integer Overflow,setPrices,Extract the auditor_idx,False
CVE-2018-13670,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13670,Access Control,freezeAccount,Extract the auditor_idx,False
CVE-2018-13670,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-13670,Integer Overflow,sell,Extract the auditor_idx,False
CVE-2018-11429,Access Control,approve,1,False
CVE-2018-11429,Integer Overflow,transfer,1,False
CVE-2018-11429,Access Control,unfreeze,1,False
CVE-2018-11429,Integer Overflow,mint,1,True
CVE-2018-11429,Access Control,transferFrom,1,False
CVE-2018-13070,Integer Overflow,selfdestructs,1,False
CVE-2018-13070,Integer Overflow,mintToken,1,True
CVE-2018-13070,Integer Overflow,buy,1,False
CVE-2018-13073,Access Control,<unknown>,1,False
CVE-2018-13073,Access Control,freezeAccount,1,False
CVE-2018-13073,Integer Overflow,mintToken,1,True
