dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,distributeToken,Extract the auditor_idx,False
CVE-2018-13132,Integer Overflow,buyTokens,Extract the auditor_idx,False
CVE-2018-13128,Integer Overflow,distribute,Extract the auditor_idx,False
CVE-2018-13777,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-12083,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-14001,Integer Overflow,batchTransfer,Extract the auditor_idx,True
CVE-2018-13208,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13129,Integer Overflow,mint,,True
CVE-2018-12230,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-14085,Access Control,sweep,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13071,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13088,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13533,Reentrancy,transferFrom,Extract the auditor_idx,False
CVE-2018-13533,Reentrancy,buy,Extract the auditor_idx,False
CVE-2018-13533,Reentrancy,sell,Extract the auditor_idx,False
CVE-2018-13533,Reentrancy,transfer,Extract the auditor_idx,False
CVE-2018-13670,Integer Overflow,mintToken,,True
CVE-2018-11429,Integer Overflow,distribute,Extract the auditor_idx,False
CVE-2018-13070,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13073,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-12885,Integer Overflow,safeAdd,Extract the auditor_idx,False
CVE-2018-12885,Integer Underflow,safeSub,Extract the auditor_idx,False
CVE-2018-13079,Integer Overflow,mintToken,,True
CVE-2021-3006,Non-reentrancy,sellTokenForLRC,1,False
CVE-2021-3006,Non-reentrancy,updateSettings,1,False
CVE-2021-3006,Non-reentrancy,claimStakingReward,1,False
CVE-2021-3006,Non-reentrancy,fundDAO,1,False
CVE-2018-19833,Integer Overflow,mintToken,,False
CVE-2018-14089,Integer Overflow,distribute,,False
CVE-2018-13085,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2019-15079,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-14087,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-12067,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13069,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2020-35962,Non-reentrancy,fundDAO,1,False
CVE-2020-35962,Non-reentrancy,sellTokenForLRC,1,False
CVE-2020-35962,Non-reentrancy,updateSettings,1,False
CVE-2020-35962,Non-reentrancy,claimStakingReward,1,False
CVE-2018-13127,Integer Overflow,mint,Extract the auditor_idx,True
CVE-2018-13041,Integer Overflow,mint,Extract the auditor_idx,True
CVE-2018-13091,Unchecked Return Value,burn,1,False
CVE-2018-13091,Unchecked Return Value,burnFrom,1,False
CVE-2018-13091,Unchecked Return Value,approveAndCall,1,False
CVE-2018-13091,Unchecked Return Value,mintToken,1,False
CVE-2018-12068,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13327,Integer Overflow,distributeToken,,False
CVE-2018-11411,Integer Overflow,distributeFUD,,False
CVE-2018-12511,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-11335,Integer Overflow,mint,,True
CVE-2018-13089,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13086,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13228,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-12080,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13126,Integer Overflow,buyTokens,Extract the auditor_idx,False
CVE-2018-13074,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13778,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-12025,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-11687,Reentrancy vulnerability,transfer,,False
CVE-2018-11687,Reentrancy vulnerability,transferFrom,,False
CVE-2018-11687,Reentrancy vulnerability,approve,,False
CVE-2018-11239,Access Control,mapping (address => uint256) public balanceOf,Extract the auditor_idx,False
CVE-2018-11239,Integer Overflow,mapping (address => mapping (address => uint256)) public allowance,Extract the auditor_idx,False
CVE-2018-11239,Wrong Logic,transferFrom,Extract the auditor_idx,False
CVE-2018-13202,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13493,Integer Overflow,mintToken,,True
CVE-2018-13068,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13230,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13225,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13189,Integer Overflow,ICO,Extract the auditor_idx,False
CVE-2018-12079,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-19834,Integer Overflow,mint,Extract the auditor_idx,False
CVE-2018-13782,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-13836,Reentrancy Vulnerability,multiTransfer,1,False
CVE-2018-13836,Unauthorized Access,setupAirDrop,1,False
CVE-2018-13836,Reentrancy Vulnerability,transferFrom,1,False
CVE-2018-13836,Reentrancy Vulnerability,transfer,1,False
CVE-2018-13836,Reentrancy Vulnerability,approve,1,False
CVE-2018-19830,Wrong Logic,transferFrom,,False
CVE-2018-13113,distributeToken,Integer Overflow,2018-13113,False
CVE-2018-12078,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13227,Integer Overflow,mintToken,Extract the auditor_idx,False
