dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,False,N/A,Extract the auditor_idx
CVE-2018-13132,Integer Overflow,mint,False,N/A,Extract the auditor_idx
CVE-2018-13128,Integer Overflow,mint,False,N/A,Extract the auditor_idx
CVE-2018-13777,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-12083,Token Devalue,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-14001,Integer Overflow,batchTransfer,True,1,Extract the auditor_idx
CVE-2018-13208,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-13129,Integer Overflow,mint,True,1,
CVE-2018-12230,Wrong Logic,transferFrom,False,N/A,Extract the auditor_idx
CVE-2018-14085,Wrong Logic,Not Provided,False,N/A,Extract the auditor_idx
CVE-2018-13075,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13071,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13088,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13533,Integer Overflow,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-13670,Integer Overflow,mintToken,True,1,
CVE-2018-11429,Integer Overflow,mint,False,N/A,Extract the auditor_idx
CVE-2018-13070,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13073,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-12885,Bad Randomness,randMod,False,N/A,Extract the auditor_idx
CVE-2018-13079,Integer Overflow,mintToken,True,1,
CVE-2021-3006,Access Control,breed,False,N/A,1
CVE-2018-19833,Access Control,owned,False,N/A,
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,
CVE-2018-13085,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,Extract the auditor_idx
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,Extract the auditor_idx
CVE-2018-12067,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-13069,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2020-35962,Access Control,sellTokenForLRC,False,N/A,1
CVE-2018-13127,Integer Overflow,mint,True,1,Extract the auditor_idx
CVE-2018-13041,Integer Overflow,mint,True,1,Extract the auditor_idx
CVE-2018-13091,Integer Overflow,mintToken,False,N/A,1
CVE-2018-12068,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,
CVE-2018-11411,Wrong Logic,transferFrom,False,N/A,
CVE-2018-12511,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-11335,Integer Overflow,mint,True,1,
CVE-2018-13089,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13086,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13228,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-12080,Token Devalue,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-13126,Integer Overflow,mint,False,N/A,Extract the auditor_idx
CVE-2018-13074,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13778,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-12025,Wrong Logic,transferFrom,False,N/A,Extract the auditor_idx
CVE-2018-11687,Integer Overflow,distributeBTR,False,N/A,
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,Extract the auditor_idx
CVE-2018-13202,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-13493,Integer Overflow,mintToken,True,1,
CVE-2018-13068,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13230,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-13225,Integer Overflow,sell,False,N/A,Extract the auditor_idx
CVE-2018-13189,Integer Overflow,mint,False,N/A,Extract the auditor_idx
CVE-2018-12079,Token Devalue,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-19834,Access Control,quaker,False,N/A,Extract the auditor_idx
CVE-2018-13782,Integer Overflow,mintToken,True,1,Extract the auditor_idx
CVE-2018-13836,Integer Overflow,multiTransfer,False,N/A,1
CVE-2018-19830,Access Control,UBSexToken,False,N/A,
CVE-2018-13113,Integer Overflow,Multiple Functions,False,N/A,2018-13113
CVE-2018-12078,Token Devalue,mintToken,False,N/A,Extract the auditor_idx
CVE-2018-13227,Integer Overflow,sell,False,N/A,Extract the auditor_idx

Top k hit rate:,0.38,(23/61)
Top 1 hit rate:,0.38,0.3770491803278688,(23/61)
