dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,Extract the auditor_idx,True
CVE-2018-13722,Integer Overflow,addApproval,Extract the auditor_idx,False
CVE-2018-13722,Integer Overflow,subApproval,Extract the auditor_idx,False
CVE-2018-17968,Access Control,payout,1,False
CVE-2018-17968,Access Control,refundPlayersInRoom,1,False
CVE-2018-17968,Integer Overflow,createRoom,1,False
CVE-2018-13132,Integer Overflow,mint,Extract the auditor_idx,True
CVE-2018-13128,Access Control,approve,1,False
CVE-2018-13128,Access Control,unfreeze,1,False
CVE-2018-13128,Integer Overflow,mint,1,True
CVE-2018-13128,Wrong Logic,transferFrom,1,False
CVE-2018-13128,Wrong Logic,transfer,1,False
CVE-2018-13777,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-12062,Access Control,mintToken,1,False
CVE-2018-12062,Access Control,freezeAccount,1,False
CVE-2018-17071,Access Control,<fallback function>,1,False
CVE-2018-17071,Access Control,<stopGame>,1,False
CVE-2018-17071,Access Control,<constructor>,1,False
CVE-2018-12083,Access Control,burnFrom,1,False
CVE-2018-12083,Integer Overflow,mintToken,1,False
CVE-2018-12083,Access Control,approveAndCall,1,False
CVE-2018-12083,Wrong Logic,transferFrom,1,False
CVE-2018-12083,Wrong Logic,transfer,1,False
CVE-2018-14001,Integer Overflow,batchTransfer,1,True
CVE-2018-14001,Wrong Logic,Sell,1,False
CVE-2018-14001,Access Control,airDrop,1,False
CVE-2018-14001,Wrong Logic,Trade,1,False
CVE-2018-14001,Wrong Logic,Buy,1,False
CVE-2018-13208,Integer Overflow,mintToken,1,False
CVE-2018-13208,Wrong Logic,buy,1,False
CVE-2018-13208,Wrong Logic,sell,1,False
CVE-2018-13208,Access Control,transfer,1,False
CVE-2018-13208,Wrong Logic,transferFrom,1,False
CVE-2018-13325,Integer Overflow,transfer,1,False
CVE-2018-13325,Wrong Logic,transfer,1,False
CVE-2018-13325,Wrong Logic,transferFrom,1,False
CVE-2018-13325,Access Control,transfer,1,False
CVE-2018-13325,Integer Overflow,transferFrom,1,False
CVE-2018-13129,Access Control,migrateFrom,Extract the auditor_idx,False
CVE-2018-12702,Access Control,approveAndCall,Extract the auditor_idx,False
CVE-2018-12702,Integer Overflow,GVE,Extract the auditor_idx,False
CVE-2018-12702,Wrong Logic,transferFrom,Extract the auditor_idx,False
CVE-2018-12230,Integer Overflow,mintToken,1,False
CVE-2018-12230,Integer Overflow,transferFrom,1,False
CVE-2018-12230,Access Control,freezeAccount,1,False
CVE-2018-12230,Access Control,approve,1,False
CVE-2018-14085,Integer Overflow,sweep,Extract the auditor_idx,False
CVE-2018-18425,Wrong Logic,transferFrom,1,False
CVE-2018-18425,Integer Overflow,getTokens,1,False
CVE-2018-18425,Access Control,adminClaimAirdropMultiple,1,False
CVE-2018-18425,Integer Overflow,withdrawAltcoinTokens,1,False
CVE-2018-18425,Integer Overflow,doAirdrop,1,False
CVE-2018-17050,Integer Overflow,transferFrom,1,False
CVE-2018-17050,Access Control,transferOwnership,1,False
CVE-2018-17050,Integer Overflow,mintToken,1,True
CVE-2018-14006,Access Control,burn,Extract the auditor_idx,False
CVE-2018-14006,Integer Overflow,transferToAddress,Extract the auditor_idx,False
CVE-2018-14006,Access Control,transferToContract,Extract the auditor_idx,False
CVE-2018-14006,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2018-13075,Wrong Logic,sell,2,False
CVE-2018-13075,Wrong Logic,transfer,5,False
