dataname,auditor_idx,vulnerability,function_name
2018-13076,1,Integer Overflow,mintToken
2018-13076,1,Integer Overflow,setBuyRate
2018-13076,1,Integer Overflow,withdrawToOwner
2018-13076,2,Wrong Logic,mintToken
2018-13076,2,Wrong Logic,setBuyRate
2018-13076,2,Wrong Logic,withdrawToOwner
2018-13076,3,Bad Randomness,mintToken
2018-13076,3,Bad Randomness,setBuyRate
2018-13076,3,Bad Randomness,withdrawToOwner
2018-13076,4,Access Control,mintToken
2018-13076,4,Access Control,setBuyRate
2018-13076,4,Access Control,withdrawToOwner
2018-13076,5,Typos Constructor,mintToken
2018-13076,5,Typos Constructor,setBuyRate
2018-13076,5,Typos Constructor,withdrawToOwner
2018-13076,6,Token Devalue,mintToken
2018-13076,6,Token Devalue,setBuyRate
2018-13076,6,Token Devalue,withdrawToOwner
