dataname,auditor_idx,vulnerability,function_name
2018-13085,1,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,2,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,3,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,4,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,5,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,6,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,7,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,8,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,9,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,10,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,11,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,12,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,13,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,14,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,15,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,16,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,17,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,18,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,19,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,20,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,21,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,22,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,23,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,24,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,25,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,26,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,27,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,28,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,29,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,30,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,31,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
2018-13085,32,The function balanceOf does not handle the case when the address has not been created yet.,balanceOf
