dataname,auditor_idx,vulnerability,function_name
2018-12068,Extract the auditor_idx,Integer Overflow,mintToken
2018-12068,Extract the auditor_idx,Integer Overflow,transfer
2018-12068,Extract the auditor_idx,Integer Overflow,transferFrom
2018-12068,Extract the auditor_idx,Integer Overflow,sell
2018-12068,Extract the auditor_idx,Integer Overflow,buy
2018-12068,Extract the auditor_idx,Integer Overflow,setPrices
2018-12068,Extract the auditor_idx,Wrong Logic,mintToken
2018-12068,Extract the auditor_idx,Wrong Logic,transfer
2018-12068,Extract the auditor_idx,Wrong Logic,transferFrom
2018-12068,Extract the auditor_idx,Wrong Logic,sell
2018-12068,Extract the auditor_idx,Wrong Logic,buy
2018-12068,Extract the auditor_idx,Wrong Logic,setPrices
