dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Access Control,mint,0,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Wrong Logic,mint,0,False
CVE-2018-13722,Bad Randomness,mint,0,False
CVE-2018-13722,Access Control,mintAgents,0,False
CVE-2018-13722,Typo Constructor,mint,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,createRoom,0,False
CVE-2018-17968,Integer Overflow,setCTO,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Integer Overflow,payout,0,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,0,False
CVE-2018-17968,Integer Overflow,getRoom,0,False
CVE-2018-17968,Integer Overflow,random,0,False
CVE-2018-17968,Integer Overflow,setCEO,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,changePrice,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Integer Overflow,cashOut,0,False
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-13208,Wrong Logic,mintToken,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13325,Integer Overflow,mintToken,Extract the auditor_idx,False
CVE-2018-13325,Integer Overflow,sell,Extract the auditor_idx,False
CVE-2018-12230,Integer Overflow,mintToken,6,False
CVE-2018-12230,Integer Overflow,mintToken,8,False
CVE-2018-12230,Integer Overflow,mintToken,29,False
CVE-2018-12230,Integer Overflow,mintToken,37,False
CVE-2018-12230,Integer Overflow,mintToken,28,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Integer Overflow,mintToken,23,False
CVE-2018-12230,Integer Overflow,mintToken,36,False
CVE-2018-12230,Integer Overflow,mintToken,17,False
CVE-2018-12230,Integer Overflow,mintToken,2,False
CVE-2018-12230,Integer Overflow,mintToken,14,False
CVE-2018-12230,Integer Overflow,mintToken,3,False
CVE-2018-12230,Integer Overflow,mintToken,7,False
CVE-2018-12230,Integer Overflow,mintToken,10,False
CVE-2018-12230,Integer Overflow,mintToken,21,False
CVE-2018-12230,Integer Overflow,mintToken,22,False
CVE-2018-12230,Integer Overflow,mintToken,15,False
CVE-2018-12230,Integer Overflow,mintToken,5,False
CVE-2018-12230,Integer Overflow,mintToken,19,False
CVE-2018-12230,Integer Overflow,mintToken,18,False
CVE-2018-12230,Integer Overflow,mintToken,20,False
CVE-2018-12230,Integer Overflow,mintToken,25,False
CVE-2018-12230,Integer Overflow,mintToken,26,False
CVE-2018-12230,Integer Overflow,mintToken,31,False
