dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,minted,N/A,False
CVE-2018-13722,Integer Overflow,mint,N/A,True
CVE-2018-13722,Bad Randomness,mint,N/A,False
CVE-2018-13722,Typo Constructor,mint,N/A,False
CVE-2018-13722,Wrong Logic,mint,N/A,False
CVE-2018-13722,Access Control,mint,N/A,False
CVE-2018-17968,Integer Overflow,distributeFunds,N/A,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,N/A,False
CVE-2018-17968,Integer Overflow,createRoom,N/A,False
CVE-2018-17968,Integer Overflow,getRoom,N/A,False
CVE-2018-17968,Wrong Logic,enter,N/A,False
CVE-2018-17968,Integer Overflow,payout,N/A,False
CVE-2018-17968,Integer Overflow,setCTO,N/A,False
CVE-2018-17968,Wrong Logic,enterWithReferral,N/A,False
CVE-2018-17968,Integer Overflow,setCEO,N/A,False
CVE-2018-17968,Integer Overflow,random,N/A,False
CVE-2018-13132,Integer Overflow,mint,N/A,True
CVE-2018-13128,Integer Overflow,mint,N/A,True
CVE-2018-13777,Integer Overflow,mintToken,N/A,True
CVE-2018-12062,Integer Overflow,mintToken,N/A,False
CVE-2018-17071,Integer Overflow,stopGame,N/A,False
CVE-2018-14001,Integer Overflow,batchTransfer,N/A,True
CVE-2018-13208,Wrong Logic,mintToken,N/A,False
CVE-2018-13208,Integer Overflow,mintToken,N/A,False
CVE-2018-13325,Integer Overflow,mintToken,N/A,False
CVE-2018-13325,Integer Overflow,sell,N/A,False
CVE-2018-13129,Integer Overflow,mint,N/A,True
CVE-2018-12702,Integer Overflow,setBalance,N/A,False
CVE-2018-12702,Integer Overflow,approve,N/A,False
CVE-2018-12702,Integer Overflow,transferFrom,N/A,False
CVE-2018-12702,Integer Overflow,balanceOf,N/A,False
CVE-2018-12702,Integer Overflow,allowance,N/A,False
CVE-2018-12702,Integer Overflow,transfer,N/A,False
CVE-2018-12702,Integer Overflow,totalSupply,N/A,False
CVE-2018-12702,Integer Overflow,output,N/A,False
CVE-2020-17753,Integer Overflow,setTime,N/A,False
CVE-2018-12230,Integer Overflow,mintToken,N/A,False
CVE-2018-12703,Integer Overflow,transferFrom,N/A,False
CVE-2018-12703,Integer Overflow,receiveApproval,N/A,False
CVE-2018-12703,Integer Overflow,transfer,N/A,False
CVE-2018-12703,Integer Overflow,approve,N/A,False
CVE-2018-12703,Integer Overflow,allowance,N/A,False
