dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13722,Access Control,setUpgradeMaster,0,False
CVE-2018-13722,Typo Constructor,mint,0,False
CVE-2018-13722,Integer Overflow,upgradeFrom,0,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-17968,Access Control,setCTO,0,False
CVE-2018-17968,Access Control,setCEO,0,False
CVE-2018-17968,Wrong Logic,executeRoom,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,creditJackpotTokens,0,False
CVE-2018-13132,Access Control,setMigrationAgent,0,False
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13132,Integer Overflow,migrate,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Access Control,burn,0,False
CVE-2018-13777,Access Control,transferFrom,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Typo Constructor,TokenERC20,0,False
CVE-2018-13777,Wrong Logic,transfer,0,False
CVE-2018-13777,Bad Randomness,approveAndCall,0,False
CVE-2018-17071,Access Control,stopGame(),0,False
CVE-2018-17071,Wrong Logic,stopGame(),0,False
CVE-2018-12083,Access Control,burnFrom,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Wrong Logic,transfer,0,False
CVE-2018-12083,Bad Randomness,approve,0,False
CVE-2018-12083,Access Control,tokenRecipient receiveApproval,0,False
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13208,Integer Overflow,sell,0,True
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13325,Integer Overflow,_sell,0,True
CVE-2018-13325,Integer Overflow,_buy,0,False
CVE-2018-13325,Access Control,transferOwnership,0,False
CVE-2018-13129,Access Control,mint,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2020-17753,Integer Overflow,claimTokenBonus,0,False
CVE-2020-17753,Integer Overflow,giveToken,0,False
CVE-2020-17753,Integer Overflow,takeEther,0,False
CVE-2020-17753,Integer Overflow,buyImplementation,0,False
CVE-2020-17753,Integer Overflow,userBalance,0,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12230,Access Control,transfer,0,False
CVE-2018-12230,Wrong Logic,approve,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-14085,Access Control,makeWallet,0,False
CVE-2018-14085,Wrong Logic,tokenFallback,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-14085,Typo Constructor,UserWallet,0,False
CVE-2018-14085,Access Control,addSweeper,0,False
CVE-2018-18425,Integer Overflow,distr,0,False
CVE-2018-18425,Access Control,adminClaimAirdrop,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Integer Overflow,burn,0,False
CVE-2018-17050,Integer Overflow,transfer,0,False
