dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Access Control,setMintAgent,N/A,False
CVE-2018-13722,Integer Overflow,upgradeFrom,N/A,False
CVE-2018-13722,Integer Overflow,mint,N/A,True
CVE-2018-13722,Typo Constructor,mint,N/A,False
CVE-2018-13722,Access Control,setUpgradeMaster,N/A,False
CVE-2018-17968,Access Control,setCTO,N/A,False
CVE-2018-17968,Bad Randomness,distributeFunds,N/A,False
CVE-2018-17968,Integer Overflow,enterWithReferral,N/A,False
CVE-2018-17968,Wrong Logic,executeRoom,N/A,False
CVE-2018-17968,Access Control,setCEO,N/A,False
CVE-2018-13132,Integer Overflow,mint,N/A,True
CVE-2018-13132,Integer Overflow,buyTokens,N/A,False
CVE-2018-13132,Access Control,setMigrationAgent,N/A,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,N/A,False
CVE-2018-13132,Integer Overflow,migrate,N/A,False
CVE-2018-13128,Integer Overflow,transfer,N/A,False
CVE-2018-13128,Integer Overflow,approve,N/A,False
CVE-2018-13128,Integer Overflow,mint,N/A,True
CVE-2018-13128,Integer Overflow,transferFrom,N/A,False
CVE-2018-13128,Access Control,burn,N/A,False
CVE-2018-13777,Integer Overflow,mintToken,N/A,True
CVE-2018-13777,Typo Constructor,TokenERC20,N/A,False
CVE-2018-13777,Wrong Logic,transfer,N/A,False
CVE-2018-13777,Access Control,transferFrom,N/A,False
CVE-2018-13777,Bad Randomness,approveAndCall,N/A,False
CVE-2018-12062,Access Control,transfer,N/A,False
CVE-2018-12062,Integer Overflow,sell,N/A,True
CVE-2018-12062,Integer Overflow,transferFrom,N/A,False
CVE-2018-12062,Integer Overflow,mintToken,N/A,False
CVE-2018-12062,Access Control,transferFrom,N/A,False
CVE-2018-12083,Integer Overflow,mintToken,N/A,False
CVE-2018-12083,Bad Randomness,approve,N/A,False
CVE-2018-12083,Wrong Logic,transfer,N/A,False
CVE-2018-12083,Access Control,burnFrom,N/A,False
CVE-2018-12083,Access Control,tokenRecipient receiveApproval,N/A,False
CVE-2018-14001,Integer Overflow,Trade,N/A,False
CVE-2018-14001,Integer Overflow,batchTransfer,N/A,True
CVE-2018-14001,Integer Overflow,Sell,N/A,False
CVE-2018-14001,Integer Overflow,airDrop,N/A,False
CVE-2018-14001,Integer Overflow,Buy,N/A,False
CVE-2018-13208,Wrong Logic,transferFrom,N/A,False
CVE-2018-13208,Integer Overflow,buy,N/A,False
CVE-2018-13208,Integer Overflow,sell,N/A,True
CVE-2018-13208,Integer Overflow,mintToken,N/A,False
CVE-2018-13208,Access Control,transfer,N/A,False
CVE-2018-13325,Integer Overflow,transfer,N/A,False
CVE-2018-13325,Integer Overflow,_sell,N/A,True
CVE-2018-13325,Access Control,transferOwnership,N/A,False
CVE-2018-13325,Integer Overflow,_buy,N/A,False
CVE-2018-13325,Integer Overflow,transferFrom,N/A,False
CVE-2018-13129,Integer Overflow,migrate,N/A,False
CVE-2018-13129,Access Control,setMigrationMaster,N/A,False
CVE-2018-13129,Integer Overflow,mint,N/A,True
CVE-2018-13129,Access Control,setMigrationAgent,N/A,False
CVE-2018-13129,Access Control,mint,N/A,False
CVE-2018-12702,Wrong Logic,approveAndCall,N/A,False
CVE-2018-12702,Integer Overflow,transfer,N/A,False
CVE-2018-12702,Integer Overflow,transferFrom,N/A,False
CVE-2018-12702,Wrong Logic,approveAndCallcode,N/A,False
CVE-2018-12702,Access Control,Typo Constructor,N/A,False
CVE-2020-17753,Integer Overflow,takeEther,N/A,False
CVE-2020-17753,Integer Overflow,userBalance,N/A,False
CVE-2020-17753,Integer Overflow,claimTokenBonus,N/A,False
CVE-2020-17753,Integer Overflow,buyImplementation,N/A,False
CVE-2020-17753,Integer Overflow,giveToken,N/A,False
CVE-2018-12230,Integer Overflow,mintToken,N/A,False
CVE-2018-12230,Integer Overflow,transferFrom,N/A,False
CVE-2018-12230,Access Control,transfer,N/A,False
CVE-2018-12230,Integer Overflow,transfer,N/A,False
CVE-2018-12230,Wrong Logic,approve,N/A,False
CVE-2018-12703,Integer Overflow,transfer,N/A,False
CVE-2018-12703,Wrong Logic,approveAndCallcode,N/A,False
CVE-2018-12703,Wrong Logic,approveAndCall,N/A,False
CVE-2018-12703,Integer Overflow,transferFrom,N/A,False
CVE-2018-12703,Typo Constructor,constructor,N/A,False
CVE-2018-14085,Access Control,addSweeper,N/A,False
CVE-2018-14085,Typo Constructor,UserWallet,N/A,False
CVE-2018-14085,Integer Overflow,sweep,N/A,False
CVE-2018-14085,Access Control,makeWallet,N/A,False
CVE-2018-14085,Wrong Logic,tokenFallback,N/A,False
CVE-2018-18425,Integer Overflow,distr,N/A,False
CVE-2018-18425,Integer Overflow,burn,N/A,False
CVE-2018-18425,Integer Overflow,getTokens,N/A,False
CVE-2018-18425,Access Control,adminClaimAirdrop,N/A,False
CVE-2018-18425,Bad Logic,Typo Constructor,N/A,False
CVE-2018-17050,Integer Overflow,approve,N/A,False
CVE-2018-17050,Integer Overflow,approveAndCall,N/A,False
CVE-2018-17050,Integer Overflow,transferFrom,N/A,False
CVE-2018-17050,Integer Overflow,mintToken,N/A,True
CVE-2018-17050,Integer Overflow,transfer,N/A,False
CVE-2018-14006,Access Control,approveAndCall,N/A,False
CVE-2018-14006,Integer Overflow,multipleTransfer,N/A,True
CVE-2018-14006,Integer Overflow,batchTransfer,N/A,False
CVE-2018-14006,Wrong Logic,transferToContract,N/A,False
CVE-2018-14006,Wrong Logic,transferToAddress,N/A,False
CVE-2018-13075,Integer Overflow,sell,N/A,False
CVE-2018-13075,Access Control,setMinBalance,N/A,False
CVE-2018-13075,Wrong Logic,setPrices,N/A,False
CVE-2018-13075,Integer Overflow,mintToken,N/A,True
CVE-2018-13075,Integer Overflow,transfer,N/A,False
CVE-2018-10666,Integer Overflow,transferFrom,N/A,False
CVE-2018-10666,Integer Overflow,transfer,N/A,False
CVE-2018-10666,Integer Overflow,uploadBalances,N/A,False
CVE-2018-10666,Wrong Logic,precalculate,N/A,False
CVE-2018-10666,Bad Randomness,feeFor,N/A,False
CVE-2018-13076,Wrong Logic,transferFrom,N/A,False
CVE-2018-13076,Integer Overflow,mintToken,N/A,True
CVE-2018-13076,Integer Overflow,buy,N/A,False
CVE-2018-13076,Wrong Logic,transfer,N/A,False
CVE-2018-13076,Access Control,approve,N/A,False
CVE-2018-17877,Integer Overflow,buyHeart,N/A,False
CVE-2018-17877,Wrong Logic,win,N/A,False
CVE-2018-17877,Access Control,withdrawOwner,N/A,False
CVE-2018-17877,Bad Randomness,luckyBuy,N/A,False
CVE-2018-17877,Typo Constructor,referralReward,N/A,False
CVE-2018-13071,Integer Overflow,transfer,N/A,False
CVE-2018-13071,Integer Overflow,distributeTokens,N/A,False
CVE-2018-13071,Wrong Logic,mintToken,N/A,False
CVE-2018-13071,Integer Overflow,sell,N/A,False
CVE-2018-13071,Integer Overflow,transferFrom,N/A,False
CVE-2018-13088,Access Control,approveAndCall,N/A,False
CVE-2018-13088,Integer Overflow,mintToken,N/A,True
CVE-2018-13088,Integer Overflow,sell,N/A,False
CVE-2018-13088,Access Control,transferFrom,N/A,False
CVE-2018-13088,Wrong Logic,transfer,N/A,False
CVE-2018-13533,Integer Overflow,transferFrom,N/A,False
CVE-2018-13533,Integer Overflow,buy,N/A,False
CVE-2018-13533,Integer Overflow,transfer,N/A,False
CVE-2018-13533,Integer Overflow,mintToken,N/A,True
CVE-2018-13533,Integer Overflow,sell,N/A,False
CVE-2021-34273,Integer Overflow,transfer,N/A,False
CVE-2021-34273,Typo Constructor,B2X,N/A,False
CVE-2021-34273,Integer Overflow,distributeToken,N/A,False
CVE-2021-34273,Access Control,approve,N/A,False
CVE-2021-34273,Wrong Logic,transfer,N/A,False
CVE-2018-10299,Wrong Logic,transferFrom,N/A,False
CVE-2018-10299,Typo Constructor,Ownable,N/A,False
CVE-2018-10299,Integer Overflow,batchTransfer,N/A,True
CVE-2018-10299,Token Devalue,transfer,N/A,False
CVE-2018-10299,Bad Randomness,approve,N/A,False
CVE-2018-13670,Integer Overflow,mintToken,N/A,True
CVE-2018-13670,Integer Overflow,transfer,N/A,False
CVE-2018-13670,Integer Overflow,sell,N/A,False
CVE-2018-13670,Access Control,transfer,N/A,False
CVE-2018-13670,Access Control,mintToken,N/A,False
CVE-2018-10376,Wrong Logic,transferProxy,N/A,False
CVE-2018-10376,Bad Randomness,receiveApproval,N/A,False
CVE-2018-10376,Access Control,approveAndCallcode,N/A,False
CVE-2018-10376,Integer Overflow,allocateTokens,N/A,False
CVE-2018-10376,Wrong Logic,approveProxy,N/A,False
CVE-2018-14003,Integer Overflow,batchTransfer,N/A,True
CVE-2018-14003,Bad Randomness,approve,N/A,False
CVE-2018-14003,Access Control,transfer,N/A,False
CVE-2018-14003,Integer Overflow,Typo Constructor,N/A,False
CVE-2018-14003,Wrong Logic,transferFrom,N/A,False
