dataname,auditor_idx,vulnerability,function_name
2019-15078,Extract the auditor_idx,Integer Overflow,finishDistribution
2019-15078,Extract the auditor_idx,Integer Overflow,distr
2019-15078,Extract the auditor_idx,Integer Overflow,transferFrom
2019-15078,Extract the auditor_idx,Integer Overflow,approve
2019-15078,Extract the auditor_idx,Integer Overflow,getTokens
2019-15078,Extract the auditor_idx,Integer Overflow,burn
2019-15078,Extract the auditor_idx,Integer Overflow,withdrawForeignTokens
2019-15078,Extract the auditor_idx,Integer Overflow,burnFrom
2019-15078,Extract the auditor_idx,Integer Overflow,finalizeDistribution
2019-15078,Extract the auditor_idx,Integer Overflow,createInvestor
2019-15078,Extract the auditor_idx,Integer Overflow,whitelist
