dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-17968,Integer Overflow,getRoom,0,False
CVE-2018-17968,Bad Randomness,executeRoom,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Integer Overflow,payout,0,False
CVE-2018-17968,Integer Overflow,random,0,False
CVE-2018-17968,Integer Overflow,refund,0,False
CVE-2018-13132,Integer Overflow,unfreeze,,False
CVE-2018-13132,Integer Overflow,startIco,,False
CVE-2018-13132,Integer Overflow,finishIco,,False
CVE-2018-13132,Integer Overflow,pauseIco,,False
CVE-2018-13132,Integer Overflow,resumeIco,,False
CVE-2018-13132,Integer Overflow,setMigrationMaster,,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,,False
CVE-2018-13132,Integer Overflow,setMigrationAgent,,False
CVE-2018-13132,Integer Overflow,buyTokens,,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,,False
CVE-2018-13128,Access Control,unfreeze,1,False
CVE-2018-13128,Access Control,approve,1,False
CVE-2018-13128,Integer Overflow,mint,1,True
CVE-2018-13128,Access Control,transferFrom,1,False
CVE-2018-13128,Integer Overflow,transfer,1,False
CVE-2018-13128,Integer Overflow,burn,1,False
CVE-2018-13777,Access Control,mintToken,,False
CVE-2018-13777,Integer Overflow,mintToken,,True
CVE-2018-17071,Integer Overflow,lucky9io,Extract the auditor_idx,False
CVE-2018-12083,Wrong Logic,mintToken,1,False
CVE-2018-12083,Access Control,mintToken,1,False
CVE-2018-12083,Typos Constructor,mintToken,1,False
CVE-2018-12083,Bad Randomness,mintToken,1,False
CVE-2018-12083,Integer Overflow,mintToken,1,False
CVE-2018-14001,Integer Overflow,sell,Extract the auditor_idx,False
CVE-2018-14001,Integer Overflow,cashOut,Extract the auditor_idx,False
CVE-2018-14001,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-14001,Integer Overflow,airDrop,Extract the auditor_idx,False
CVE-2018-13208,Integer Overflow,mintToken,,False
CVE-2018-13208,Bad Randomness,setPrices,,False
CVE-2018-13325,Integer Overflow,_transfer,1,False
CVE-2018-13325,Integer Overflow,setPrices,1,False
CVE-2018-13325,Bad Randomness,setBuyOpen,1,False
CVE-2018-13325,Access Control,transferEth,1,False
CVE-2018-13325,Access Control,setSellOpen,1,False
CVE-2018-13325,Access Control,freezeAccount,1,False
CVE-2018-13325,Integer Overflow,_sell,1,True
CVE-2018-13129,Access Control,unfreeze,,False
CVE-2018-13129,Integer Overflow,migrate,,False
CVE-2018-13129,Integer Overflow,transferFrom,,False
CVE-2018-13129,Integer Overflow,decreaseApproval,,False
CVE-2018-13129,Access Control,approve,,False
CVE-2018-13129,Access Control,setMigrationAgent,,False
CVE-2018-13129,Integer Overflow,increaseApproval,,False
CVE-2018-13129,Integer Overflow,mint,,True
CVE-2018-13129,Integer Overflow,transfer,,False
CVE-2018-13129,Access Control,setMigrationMaster,,False
CVE-2018-12702,Access Control,Multiple Functions,4,False
CVE-2018-12702,Token Devalue,Multiple Functions,6,False
CVE-2018-12702,Integer Overflow,Multiple Functions,1,False
CVE-2018-12702,Typos Constructor,Multiple Functions,5,False
CVE-2018-12702,Bad Randomness,Multiple Functions,3,False
CVE-2018-12230,Access Control,changeSymbol,,False
CVE-2018-12230,Integer Overflow,mintToken,,False
CVE-2018-12230,Access Control,changeDecimals,,False
CVE-2018-12230,Access Control,changeName,,False
CVE-2018-12230,Access Control,freezeAccount,,False
CVE-2018-12703,Access Control,Multiple Functions,,False
CVE-2018-12703,Integer Overflow,Multiple Functions,,False
CVE-2018-12703,Wrong Logic,Multiple Functions,,False
CVE-2018-12703,Tyco Constructor,Multiple Functions,,False
CVE-2018-12703,Bad Randomness,Multiple Functions,,False
CVE-2018-14085,Access Control,Controller,Extract the auditor_idx,False
CVE-2018-14085,Integer Overflow,Controller,Extract the auditor_idx,False
CVE-2018-14085,Bad Randomness,UserWallet,Extract the auditor_idx,False
CVE-2018-14085,Integer Overflow,DefaultSweeper,Extract the auditor_idx,False
CVE-2018-14085,Access Control,UserWallet,Extract the auditor_idx,False
CVE-2018-14085,Bad Randomness,Controller,Extract the auditor_idx,False
CVE-2018-14085,Integer Overflow,UserWallet,Extract the auditor_idx,False
CVE-2018-18425,Integer Overflow,getTokenBalance,1,False
CVE-2018-18425,Integer Overflow,withdrawMultiple,1,False
CVE-2018-18425,Integer Overflow,finishDistribution,1,False
CVE-2018-18425,Integer Overflow,withdraw,1,False
CVE-2018-18425,Integer Overflow,burn,1,False
CVE-2018-17050,Integer Overflow,mintToken,1,True
CVE-2018-17050,Access Control,transferFrom,3,False
CVE-2018-17050,Bad Randomness,transfer,2,False
CVE-2018-17050,Integer Overflow,freezeAccount,4,False
CVE-2018-14006,Integer Overflow,burn,Extract the auditor_idx,False
CVE-2018-14006,Integer Overflow,batchTransfer,Extract the auditor_idx,False
CVE-2018-14006,Integer Overflow,multipleTransfer,Extract the auditor_idx,True
CVE-2018-14006,Integer Overflow,burnFrom,Extract the auditor_idx,False
CVE-2018-14006,Integer Overflow,transferFrom,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,buy,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,setPrices,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,sell,Extract the auditor_idx,False
CVE-2018-13075,Integer Overflow,mintToken,Extract the auditor_idx,True
CVE-2018-10666,Wrong Logic,pow10,,False
CVE-2018-10666,Integer Overflow,approveAndCall,,False
CVE-2018-10666,Integer Overflow,div10,,False
CVE-2018-10666,Integer Overflow,feeFor,,False
CVE-2018-10666,Integer Overflow,lockBalances,,False
CVE-2018-10666,Integer Overflow,approve,,False
CVE-2018-10666,Integer Overflow,setExportFee,,False
CVE-2018-10666,Integer Overflow,transfer,,False
CVE-2018-10666,Integer Overflow,transferFrom,,False
CVE-2018-10666,Integer Overflow,precalculate,,False
CVE-2018-10666,Integer Overflow,setHoldingPeriod,,False
CVE-2018-13076,Bad Randomness,setBuyRate,3,False
CVE-2018-13076,Access Control,setBuyRate,4,False
CVE-2018-13076,Access Control,withdrawToOwner,4,False
CVE-2018-13076,Typos Constructor,withdrawToOwner,5,False
CVE-2018-13076,Integer Overflow,setBuyRate,1,False
CVE-2018-13076,Integer Overflow,withdrawToOwner,1,False
CVE-2018-13076,Bad Randomness,withdrawToOwner,3,False
CVE-2018-13076,Token Devalue,mintToken,6,False
CVE-2018-13076,Wrong Logic,setBuyRate,2,False
CVE-2018-13076,Wrong Logic,mintToken,2,False
CVE-2018-13076,Wrong Logic,withdrawToOwner,2,False
CVE-2018-13076,Access Control,mintToken,4,False
CVE-2018-13076,Typos Constructor,setBuyRate,5,False
CVE-2018-13076,Token Devalue,setBuyRate,6,False
CVE-2018-13076,Token Devalue,withdrawToOwner,6,False
CVE-2018-13076,Bad Randomness,mintToken,3,False
CVE-2018-13076,Typos Constructor,mintToken,5,False
CVE-2018-13076,Integer Overflow,mintToken,1,True
CVE-2018-13071,Bad Randomness,setPrices,1,False
CVE-2018-13071,Integer Overflow,sell,1,False
CVE-2018-13071,Integer Overflow,buy,1,False
CVE-2018-13071,Integer Overflow,mintToken,1,True
CVE-2018-13071,Access Control,CCindexToken,1,False
CVE-2018-13088,Integer Overflow,setPrices,1,False
CVE-2018-13088,Access Control,freezeAccount,1,False
CVE-2018-13088,Bad Randomness,sell,1,False
CVE-2018-13088,Integer Overflow,mintToken,1,True
CVE-2018-13088,Wrong Logic,buy,1,False
CVE-2018-13533,Integer Overflow,withdraw,,False
CVE-2018-13533,Integer Overflow,freezeAccount,,False
CVE-2018-13533,Integer Overflow,setPrices,,False
CVE-2018-13533,Integer Overflow,mintToken,,True
CVE-2018-13533,Integer Overflow,setStatus,,False
CVE-2018-13533,Integer Overflow,replenishTokens,,False
CVE-2018-13533,Integer Overflow,buy,,False
CVE-2018-13533,Integer Overflow,deposit,,False
CVE-2018-13533,Integer Overflow,sell,,False
CVE-2018-10299,Integer Overflow,Multiple Functions,,False
CVE-2018-10299,Bad Randomness,Multiple Functions,,False
CVE-2018-13670,Integer Overflow,sell,1,False
CVE-2018-13670,Integer Overflow,buy,1,False
CVE-2018-13670,Integer Overflow,transfer,1,False
CVE-2018-13670,Access Control,freezeAccount,1,False
CVE-2018-13670,Integer Overflow,mintToken,1,True
CVE-2018-13670,Integer Overflow,setPrices,1,False
CVE-2018-10376,Bad Randomness,approveProxy,,False
CVE-2018-10376,Integer Overflow,allocateTokens,,False
CVE-2018-10376,Bad Randomness,approveAndCall,,False
CVE-2018-11429,Integer Overflow,transfer,3,False
CVE-2018-11429,Access Control,unfreeze,2,False
CVE-2018-11429,Integer Overflow,mint,1,True
CVE-2018-11429,Integer Overflow,transferFrom,4,False
CVE-2018-11429,Integer Overflow,approve,5,False
CVE-2018-13070,Integer Overflow,mintToken,1,True
CVE-2018-13070,Integer Overflow,selfdestructs,1,False
CVE-2018-13073,Integer Overflow,mintToken,3,True
CVE-2018-13073,Access Control,mintToken,2,False
CVE-2018-13073,Bad Randomness,mintToken,1,False
CVE-2018-13073,Integer Overflow,sell,2,False
CVE-2018-13073,Access Control,sell,1,False
CVE-2018-12885,myContract,sebaik,my my contract,False
CVE-2018-12885,myContract,sebaik222222222222225555,222,False
CVE-2018-13079,Integer Overflow,sell,13,False
CVE-2018-13079,Integer Overflow,setPrices,12,False
CVE-2018-13079,Integer Overflow,freezeAccount,11,False
CVE-2018-13079,Integer Overflow,buy,3,False
CVE-2018-13079,Integer Overflow,setPrices,10,False
CVE-2018-13079,Bad Randomness,freezeAccount,8,False
CVE-2018-13079,Bad Randomness,freezeAccount,13,False
CVE-2018-13079,Bad Randomness,mintToken,3,False
CVE-2018-13079,Integer Overflow,mintToken,5,True
CVE-2018-13079,Integer Overflow,sell,5,False
CVE-2018-13079,Bad Randomness,freezeAccount,7,False
CVE-2018-13079,Bad Randomness,mintToken,12,False
CVE-2018-13079,Integer Overflow,setPrices,3,False
CVE-2018-13079,Bad Randomness,mintToken,6,False
CVE-2018-13079,Integer Overflow,freezeAccount,8,False
CVE-2018-13079,Bad Randomness,setPrices,5,False
CVE-2018-13079,Bad Randomness,mintToken,10,False
CVE-2018-13079,Integer Overflow,buy,11,False
CVE-2018-13079,Bad Randomness,mintToken,11,False
CVE-2018-13079,Integer Overflow,sell,9,False
CVE-2018-13079,Integer Overflow,sell,10,False
CVE-2018-13079,Bad Randomness,setPrices,6,False
CVE-2018-13079,Integer Overflow,mintToken,3,True
CVE-2018-13079,Bad Randomness,setPrices,9,False
CVE-2018-13079,Bad Randomness,setPrices,10,False
CVE-2018-13079,Integer Overflow,setPrices,11,False
CVE-2018-13079,Integer Overflow,freezeAccount,13,False
CVE-2018-13079,Integer Overflow,buy,8,False
CVE-2018-13079,Bad Randomness,mintToken,8,False
CVE-2018-13079,Bad Randomness,freezeAccount,5,False
CVE-2018-13079,Integer Overflow,freezeAccount,9,False
CVE-2018-13079,Integer Overflow,sell,6,False
CVE-2018-13079,Integer Overflow,setPrices,13,False
CVE-2018-13079,Integer Overflow,freezeAccount,7,False
CVE-2018-13079,Integer Overflow,sell,12,False
CVE-2018-13079,Integer Overflow,buy,7,False
CVE-2018-13079,Integer Overflow,setPrices,8,False
CVE-2018-13079,Integer Overflow,mintToken,11,True
CVE-2018-13079,Bad Randomness,freezeAccount,12,False
CVE-2018-13079,Bad Randomness,setPrices,12,False
CVE-2018-13079,Bad Randomness,setPrices,8,False
CVE-2018-13079,Integer Overflow,sell,11,False
CVE-2018-13079,Bad Randomness,freezeAccount,9,False
CVE-2018-13079,Bad Randomness,freezeAccount,10,False
CVE-2018-13079,Integer Overflow,freezeAccount,6,False
CVE-2018-13079,Integer Overflow,buy,12,False
CVE-2018-13079,Integer Overflow,buy,13,False
CVE-2018-13079,Integer Overflow,setPrices,5,False
CVE-2018-13079,Bad Randomness,setPrices,11,False
CVE-2018-13079,Integer Overflow,freezeAccount,12,False
CVE-2018-13079,Bad Randomness,mintToken,13,False
CVE-2018-13079,Integer Overflow,mintToken,8,True
CVE-2018-13079,Integer Overflow,buy,9,False
CVE-2018-13079,Integer Overflow,sell,3,False
CVE-2018-13079,Integer Overflow,buy,10,False
CVE-2018-13079,Bad Randomness,mintToken,9,False
CVE-2018-13079,Integer Overflow,sell,8,False
CVE-2018-13079,Bad Randomness,freezeAccount,3,False
CVE-2018-13079,Bad Randomness,setPrices,3,False
CVE-2018-13079,Bad Randomness,mintToken,7,False
CVE-2018-13079,Bad Randomness,freezeAccount,6,False
CVE-2018-13079,Bad Randomness,mintToken,5,False
CVE-2018-13079,Integer Overflow,freezeAccount,5,False
CVE-2018-13079,Integer Overflow,mintToken,7,True
CVE-2018-13079,Integer Overflow,freezeAccount,3,False
CVE-2018-13079,Integer Overflow,buy,5,False
CVE-2018-13079,Bad Randomness,setPrices,13,False
CVE-2018-13079,Integer Overflow,setPrices,9,False
CVE-2018-13079,Integer Overflow,sell,7,False
CVE-2018-13079,Integer Overflow,buy,6,False
CVE-2018-13079,Integer Overflow,mintToken,6,True
CVE-2018-13079,Bad Randomness,setPrices,7,False
CVE-2018-13079,Integer Overflow,setPrices,7,False
CVE-2018-13079,Integer Overflow,mintToken,12,True
CVE-2018-13079,Bad Randomness,freezeAccount,11,False
