dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13132,Integer Overflow,convertPresaleTokens,N/A,False
CVE-2018-13132,Access Control,pauseIco,N/A,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,N/A,False
CVE-2018-13132,Access Control,validState,N/A,False
CVE-2018-13132,Access Control,resumeIco,N/A,False
CVE-2018-13132,Integer Overflow,buyTokens,N/A,False
CVE-2018-13128,Access Control,approve,N/A,False
CVE-2018-13128,Integer Overflow,burn,N/A,False
CVE-2018-13128,Access Control,transferFrom,N/A,False
CVE-2018-13128,Integer Overflow,transfer,N/A,False
CVE-2018-13128,Access Control,unfreeze,N/A,False
CVE-2018-13128,Integer Overflow,mint,N/A,True
CVE-2018-12062,Integer Overflow,sell,N/A,True
CVE-2018-12062,Bad Randomness,setPrices,N/A,False
CVE-2018-12062,Access Control,freezeAccount,N/A,False
CVE-2018-12062,Integer Overflow,buy,N/A,False
CVE-2018-12062,Integer Overflow,mintToken,N/A,False
CVE-2018-12083,Access Control,mintToken,N/A,False
CVE-2018-12083,Wrong Logic,mintToken,N/A,False
CVE-2018-12083,Typos Constructor,mintToken,N/A,False
CVE-2018-12083,Token Devalue,mintToken,N/A,True
CVE-2018-12083,Bad Randomness,mintToken,N/A,False
CVE-2018-12083,Integer Overflow,mintToken,N/A,False
CVE-2018-13208,Bad Randomness,setPrices,N/A,False
CVE-2018-13208,Integer Overflow,mintToken,N/A,False
CVE-2018-13325,Bad Randomness,GrowToken,N/A,False
CVE-2018-13325,Integer Overflow,GrowToken,N/A,False
CVE-2018-13325,Access Control,GrowToken,N/A,False
CVE-2018-12702,Access Control,Multiple Functions,N/A,False
CVE-2018-12702,Integer Overflow,Multiple Functions,N/A,False
CVE-2018-12702,Bad Randomness,Multiple Functions,N/A,False
CVE-2018-12702,Token Devalue,Multiple Functions,N/A,False
CVE-2018-12702,Typos Constructor,Multiple Functions,N/A,False
CVE-2018-12702,Wrong Logic,Multiple Functions,N/A,False
CVE-2018-12230,Access Control,changeSymbol,N/A,False
CVE-2018-12230,Access Control,freezeAccount,N/A,False
CVE-2018-12230,Access Control,changeName,N/A,False
CVE-2018-12230,Access Control,changeDecimals,N/A,False
CVE-2018-12230,Integer Overflow,mintToken,N/A,False
CVE-2018-12703,Tyco Constructor,Multiple Functions,N/A,False
CVE-2018-12703,Multiple Functions,Multiple Functions,N/A,False
CVE-2018-12703,Integer Overflow,Multiple Functions,N/A,False
CVE-2018-12703,Token Devalue,Multiple Functions,N/A,False
CVE-2018-12703,Bad Randomness,Multiple Functions,N/A,False
CVE-2018-12703,Wrong Logic,Multiple Functions,N/A,False
CVE-2018-12703,Access Control,Multiple Functions,N/A,False
CVE-2018-18425,Wrong Logic,transferFrom,N/A,False
CVE-2018-18425,Integer Overflow,withdrawAltcoinTokens,N/A,False
CVE-2018-18425,Integer Overflow,burn,N/A,False
CVE-2018-18425,Integer Overflow,withdraw,N/A,False
CVE-2018-18425,Bad Randomness,approve,N/A,False
CVE-2018-18425,Integer Overflow,getTokenBalance,N/A,False
