dataname,auditor_idx,vulnerability,function_name
2021-33403,1,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,2,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,3,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,4,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,5,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,6,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,7,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,8,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,9,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,10,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,11,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,12,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,13,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,14,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,15,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,16,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,17,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,18,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,19,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,20,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,21,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,22,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,23,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,24,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,25,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,26,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,27,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,28,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,29,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,30,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
2021-33403,31,The contract has a hardcoded list of initial investors, which can be manipulated by the contract owner.,BlocklancerToken
