dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-17968,No input validation,_payout,1,False
CVE-2018-17968,No input validation,enterWithReferral,1,False
CVE-2018-17968,No input validation,refundPlayersInRoom,1,False
CVE-2018-17968,No input validation,random,1,False
CVE-2018-17968,No input validation,createRoom,1,False
CVE-2018-17968,No input validation,enter,1,False
CVE-2018-17968,No input validation,distributeFunds,1,False
CVE-2018-17968,No input validation,executeRoom,1,False
CVE-2018-17968,No input validation,getRoom,1,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,9,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,18,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,30,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,24,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,14,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,2,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,28,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,21,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,26,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,15,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,27,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,4,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,17,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,19,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,6,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,8,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,5,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,31,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,34,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,13,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,23,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,16,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,10,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,7,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,20,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,33,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,22,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,25,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,1,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,29,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,11,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,3,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,12,False
CVE-2018-13132,The mint function does not check if the total supply exceeds the token limit.,mint,32,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-13325,Incorrect Solidity version,pragma solidity,1,False
CVE-2018-13129,Unchecked return value,transferFrom,1,False
CVE-2018-13129,Overflow in addition operation,add,1,False
CVE-2018-13129,Potential overflow in multiplication operation,mul,1,False
CVE-2018-13129,Unchecked return value,migrate,1,False
CVE-2018-13129,Unchecked return value,transfer,1,False
CVE-2018-13129,Unchecked return value,mint,1,False
CVE-2018-13129,Unchecked return value,approve,1,False
