dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,distribute,N/A,False
CVE-2018-17968,Integer Overflow,distributeFunds,N/A,False
CVE-2018-13132,Integer Overflow,buyTokens,N/A,False
CVE-2018-13128,Integer Overflow,mint,N/A,True
CVE-2018-13777,Integer Overflow,mintToken,N/A,True
CVE-2018-12062,Integer Overflow,sell,N/A,True
CVE-2018-17071,Integer Overflow,(),N/A,False
CVE-2018-12083,Integer Overflow,mintToken,N/A,False
CVE-2018-14001,Integer Overflow,batchTransfer,N/A,True
CVE-2018-13208,Integer Overflow,sell,N/A,True
CVE-2018-13325,Wrong Logic,mapping(address => mapping(address => uint256)) public allowance,N/A,False
CVE-2018-13129,Integer Overflow,mint,N/A,True
CVE-2018-12702,Integer Overflow,distributeToken,N/A,False
CVE-2018-12230,Integer Overflow,mintToken,N/A,False
CVE-2018-12703,Integer Overflow,distributeToken,N/A,False
CVE-2018-14085,Integer Overflow,sweep,N/A,False
CVE-2018-18425,Integer Overflow,distributeToken,N/A,False
CVE-2018-17050,Integer Overflow,mintToken,N/A,True
CVE-2018-14006,Integer Overflow,batchTransfer,N/A,False
CVE-2018-13075,Integer Overflow,mintToken,N/A,True
CVE-2018-10666,Integer Overflow,mapping (address => uint256) public balanceOf;,N/A,False
CVE-2018-13076,Integer Overflow,buy,N/A,False
CVE-2018-17877,Integer Overflow,buyHeart,N/A,False
CVE-2018-13071,Integer Overflow,distributeTokens,N/A,False
CVE-2018-13088,Integer Overflow,mintToken,N/A,True
CVE-2018-13533,Integer Overflow,sell,N/A,False
CVE-2021-34273,Integer Overflow,distributeToken,N/A,False
CVE-2018-10299,Integer Overflow,batchTransfer,N/A,True
CVE-2018-13670,Integer Overflow,sell,N/A,False
CVE-2018-10376,Wrong Logic,transferFrom,N/A,False
CVE-2018-14003,Integer Overflow,batchTransfer,N/A,True
CVE-2018-11429,Integer Overflow,transfer,N/A,False
CVE-2018-13070,Integer Overflow,mintToken,N/A,True
CVE-2018-13073,Integer Overflow,sell,N/A,False
CVE-2018-14715,Bad Randomness,buyPack,N/A,False
CVE-2018-12885,Bad Randomness,buyChamp,N/A,False
CVE-2018-13079,Integer Overflow,mintToken,N/A,True
CVE-2021-3006,Bad Randomness,sellTokenForLRC,N/A,False
CVE-2018-19833,Integer Overflow,mintToken,N/A,False
CVE-2018-14089,Integer Overflow,distribute,N/A,False
CVE-2019-15078,Integer Overflow,distributeToken,N/A,False
CVE-2018-13085,Integer Overflow,mintToken,N/A,True
CVE-2018-14063,Integer Overflow,transfer,N/A,False
CVE-2018-13087,Integer Overflow,sell,N/A,False
CVE-2018-12070,Integer Overflow,mintToken,N/A,False
