dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-17968,Bad Randomness,random,False,N/A,1
CVE-2018-13132,Integer Overflow,mint,False,N/A,34
CVE-2018-13777,Integer Overflow,mintToken,True,1,0
CVE-2018-12083,Token Devalue,mintToken,False,N/A,0
CVE-2018-13325,Integer Overflow,_sell,False,N/A,1
CVE-2018-13129,Integer Overflow,mint,False,N/A,1
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,1
CVE-2020-17753,Access Control,addMeByRC,False,N/A,26
CVE-2018-12230,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-14085,Wrong Logic,Not Provided,False,N/A,31
CVE-2018-18425,Token Devalue,doAirdrop,False,N/A,1
CVE-2018-17050,Integer Overflow,mintToken,False,N/A,1
CVE-2018-14006,Integer Overflow,multipleTransfer,False,N/A,
CVE-2018-13075,Integer Overflow,mintToken,False,N/A,1
CVE-2018-10666,Access Control,setOwner,False,N/A,1
CVE-2018-17877,Bad Randomness,extcodesize,False,N/A,1
CVE-2018-13071,Integer Overflow,mintToken,False,N/A,1
CVE-2018-13088,Integer Overflow,mintToken,True,1,0
CVE-2018-10299,Integer Overflow,batchTransfer,False,N/A,6
CVE-2018-13670,Integer Overflow,mintToken,False,N/A,19
CVE-2018-10376,Integer Overflow,transferProxy,False,N/A,1
CVE-2018-14003,Integer Overflow,batchTransfer,False,N/A,29
CVE-2018-11429,Integer Overflow,mint,False,N/A,1
CVE-2018-13070,Integer Overflow,mintToken,False,N/A,32
CVE-2018-13073,Integer Overflow,mintToken,False,N/A,1
CVE-2018-14715,Bad Randomness,endCoinFlip,False,N/A,1
CVE-2018-12885,Bad Randomness,randMod,False,N/A,29
CVE-2021-3006,Access Control,breed,False,N/A,1
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,1
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,1
CVE-2018-13085,Integer Overflow,mintToken,False,N/A,32
CVE-2018-13087,Integer Overflow,mintToken,False,N/A,32
CVE-2018-12070,Integer Overflow,sell,False,N/A,1
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,1
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,1
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,36
CVE-2021-34272,Access Control,owned,False,N/A,34
CVE-2018-13069,Integer Overflow,mintToken,False,N/A,36
CVE-2018-13127,Integer Overflow,mint,False,N/A,1
CVE-2018-13091,Integer Overflow,mintToken,False,N/A,1
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,35
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,8
CVE-2018-11411,Wrong Logic,transferFrom,False,N/A,1
CVE-2018-17987,Bad Randomness,determineWinner,False,N/A,5
CVE-2018-14005,Integer Overflow,transferAny,False,N/A,1
CVE-2018-11335,Integer Overflow,mint,False,N/A,1
CVE-2018-13089,Integer Overflow,mintToken,False,N/A,32
CVE-2018-13086,Integer Overflow,mintToken,False,N/A,1
CVE-2018-13126,Integer Overflow,mint,False,N/A,1
CVE-2018-13074,Integer Overflow,mintToken,False,N/A,33
CVE-2018-13778,Integer Overflow,mintToken,True,1,0
CVE-2018-12025,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-12081,Token Devalue,mintToken,False,N/A,1
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,1
CVE-2018-13202,Integer Overflow,sell,False,N/A,1
CVE-2021-34270,Integer Overflow,mintToken,True,1,0
CVE-2018-12959,Access Control,approveAndCall,False,N/A,8
CVE-2018-13493,Integer Overflow,mintToken,False,N/A,33
CVE-2018-13068,Integer Overflow,mintToken,False,N/A,1
CVE-2018-19832,Access Control,NETM,False,N/A,28
CVE-2018-13083,Integer Overflow,mintToken,True,1,0
CVE-2018-13092,Integer Overflow,mintToken,False,N/A,1
CVE-2018-13225,Integer Overflow,sell,False,N/A,1
CVE-2018-13189,Integer Overflow,mint,False,N/A,1
CVE-2018-19834,Access Control,quaker,False,N/A,1
CVE-2018-13783,Integer Overflow,mintToken,False,N/A,36
CVE-2018-12975,Bad Randomness,random,False,N/A,26
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,29
CVE-2018-13836,Integer Overflow,multiTransfer,False,N/A,2
CVE-2018-13625,Integer Overflow,mintlvlToken,False,N/A,1
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,False,N/A,1
CVE-2018-12078,Token Devalue,mintToken,False,N/A,1

Top k hit rate:,0.07,(5/72)
Top 1 hit rate:,0.07,0.06944444444444445,(5/72)
