dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-12062,Wrong Logic,sell,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-12062,Wrong Logic,buy,0,False
CVE-2018-12062,Access Control,transfer,0,False
CVE-2018-17071,Access Control,<constructor>,0,False
CVE-2018-17071,Integer Overflow,<ticket_buyer_function>,0,False
CVE-2018-17071,Bad Randomness,<ticket_buyer_function>,0,False
CVE-2018-17071,Wrong Logic,<ticket_buyer_function>,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13208,Wrong Logic,buy,0,False
CVE-2018-13208,Access Control,transfer,0,False
CVE-2018-13325,Integer Overflow,transferFrom,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-13129,Integer Overflow,transferFrom,0,False
CVE-2018-13129,Bad Randomness,migrate,0,False
CVE-2018-13129,Integer Overflow,transfer,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-13075,Wrong Logic,buy,0,False
CVE-2018-13075,Integer Overflow,mintToken,0,True
CVE-2018-13075,Wrong Logic,sell,0,False
CVE-2018-13075,Access Control,transfer,0,False
CVE-2018-13075,Integer Overflow,setPrices,0,False
CVE-2018-10666,Integer Overflow,feeFor,0,False
CVE-2018-10666,Integer Overflow,IDXM,0,False
CVE-2018-10666,Bad Randomness,approveAndCall,0,False
CVE-2018-10666,Integer Overflow,transfer,0,False
CVE-2018-13076,Integer Overflow,mintToken,0,True
CVE-2018-13076,Integer Overflow,transferFrom,0,False
CVE-2018-13076,Integer Overflow,transfer,0,False
CVE-2018-13076,Bad Randomness,mintToken,0,False
CVE-2018-13076,Integer Overflow,buy,0,False
CVE-2018-13088,Bad Randomness,mintToken,0,False
CVE-2018-13088,Wrong Logic,buy,0,False
CVE-2018-13088,Access Control,transferFrom,0,False
CVE-2018-13088,Integer Overflow,mintToken,0,True
CVE-2018-13088,Integer Overflow,sell,0,False
CVE-2018-13670,Integer Overflow,transfer,0,False
CVE-2018-13670,Integer Overflow,mintToken,0,True
CVE-2018-13670,Access Control,setPrices,0,False
CVE-2018-13070,Integer Overflow,transferFrom,0,False
CVE-2018-13070,Integer Overflow,buy,0,False
CVE-2018-13070,Integer Overflow,mintToken,0,True
CVE-2018-13070,Integer Overflow,burnFrom,0,False
CVE-2018-13073,Integer Overflow,mintToken,0,True
CVE-2018-13073,Wrong Logic,buy,0,False
CVE-2018-13073,Access Control,transfer,0,False
CVE-2018-13079,Integer Overflow,mintToken,0,True
CVE-2018-13079,Access Control,transfer,0,False
CVE-2018-13079,Integer Overflow,transferFrom,0,False
CVE-2018-13079,Bad Randomness,buy,0,False
CVE-2018-13079,Bad Randomness,sell,0,False
CVE-2021-3006,Integer Overflow,transferFrom,0,False
CVE-2018-14089,Integer Overflow,<constructor>,0,False
CVE-2018-13085,Wrong Logic,sell,0,False
CVE-2018-13085,Integer Overflow,burnFrom,0,False
CVE-2018-13085,Integer Overflow,mintToken,0,True
CVE-2018-13085,Access Control,transferFrom,0,False
CVE-2018-13085,Wrong Logic,buy,0,False
CVE-2018-13087,Access Control,transferFrom,0,False
CVE-2018-13087,Integer Overflow,sell,0,False
CVE-2018-13087,Bad Randomness,mintToken,0,False
CVE-2018-13087,Integer Overflow,mintToken,0,True
CVE-2018-13087,Wrong Logic,buy,0,False
CVE-2018-12070,Integer Overflow,transferFrom,0,False
CVE-2018-12070,Integer Overflow,burnFrom,0,False
CVE-2018-12070,Integer Overflow,buy,0,False
CVE-2018-12070,Integer Overflow,sell,0,True
CVE-2018-12070,Integer Overflow,mintToken,0,False
CVE-2019-15079,Integer Overflow,transferFrom,0,False
CVE-2019-15079,Access Control,burn,0,False
CVE-2019-15079,Access Control,transfer,0,False
CVE-2019-15079,Integer Overflow,EAI_TokenERC20,0,False
CVE-2019-15079,Integer Overflow,burnFrom,0,False
CVE-2018-14087,Integer Overflow,buy,0,False
CVE-2018-14087,Integer Overflow,mintToken,0,False
CVE-2018-14087,Access Control,setPrices,0,False
CVE-2018-14087,Access Control,freezeAccount,0,False
CVE-2018-12067,Integer Overflow,mintToken,0,False
CVE-2018-12067,Bad Randomness,buy,0,False
CVE-2018-12067,Integer Overflow,transferFrom,0,False
CVE-2018-12067,Bad Randomness,sell,0,False
CVE-2018-12067,Access Control,transfer,0,False
CVE-2021-34272,Integer Overflow,mintToken,0,False
CVE-2021-34272,Bad Randomness,sell,0,False
CVE-2021-34272,Wrong Logic,transferFrom,0,False
CVE-2021-34272,Access Control,buy,0,False
CVE-2021-34272,Integer Overflow,burnFrom,0,False
CVE-2018-13703,Integer Overflow,sellOffline,0,False
CVE-2018-13703,Access Control,mintToken,0,False
CVE-2018-13703,Access Control,transferFrom,0,False
CVE-2018-13703,Integer Overflow,mintToken,0,True
CVE-2018-13703,Access Control,transfer,0,False
CVE-2018-13069,Integer Overflow,mintToken,0,True
CVE-2018-13069,Bad Randomness,mintToken,0,False
CVE-2018-13069,Integer Overflow,sell,0,False
CVE-2020-35962,Integer Overflow,transferFrom,0,False
CVE-2018-12068,Integer Overflow,mintToken,0,False
CVE-2018-12068,Bad Randomness,buy,0,False
CVE-2018-12068,Access Control,transfer,0,False
CVE-2018-12068,Bad Randomness,sell,0,False
CVE-2018-12068,Integer Overflow,transferFrom,0,False
CVE-2018-14084,Integer Overflow,buy,0,False
CVE-2018-14084,Integer Overflow,sell,0,False
CVE-2018-14084,Integer Overflow,transfer,0,False
CVE-2018-14084,Integer Overflow,mintToken,0,False
CVE-2018-14084,Integer Overflow,transferFrom,0,False
CVE-2018-12511,Integer Overflow,mintToken,0,True
CVE-2018-12511,Bad Randomness,sell,0,False
CVE-2018-12511,Access Control,transfer,0,False
CVE-2018-12511,Bad Randomness,buy,0,False
CVE-2018-12511,Integer Overflow,transferFrom,0,False
CVE-2018-14005,Integer Overflow,transferAUTOtokens10,0,False
CVE-2018-14005,Integer Overflow,transferAUTOtoken1,0,False
CVE-2018-14005,Integer Overflow,transfer,0,False
CVE-2018-14005,Integer Overflow,transferAUTOtokens5,0,False
CVE-2018-14005,Integer Overflow,transferFrom,0,False
CVE-2018-11335,Integer Overflow,transferFrom,0,False
CVE-2018-11335,Integer Overflow,transfer,0,False
CVE-2018-11335,Bad Randomness,migrate,0,False
CVE-2018-11335,Integer Overflow,mint,0,True
CVE-2018-11335,Integer Overflow,migrate,0,False
CVE-2018-13089,Integer Overflow,mintToken,0,True
CVE-2018-13089,Integer Overflow,transferFrom,0,False
CVE-2018-13089,Bad Randomness,sell,0,False
CVE-2018-13089,Bad Randomness,buy,0,False
CVE-2018-13086,Integer Overflow,mintToken,0,True
CVE-2018-13086,Access Control,transferFrom,0,False
CVE-2018-13086,Integer Overflow,buy,0,False
CVE-2018-13086,Integer Overflow,sell,0,False
CVE-2018-13086,Bad Randomness,mintToken,0,False
CVE-2018-13228,Wrong Logic,buy,0,False
CVE-2018-13228,Integer Overflow,mintToken,0,False
CVE-2018-13228,Access Control,transfer,0,False
CVE-2018-12080,Wrong Logic,buy,0,False
CVE-2018-12080,Access Control,transferFrom,0,False
CVE-2018-12080,Integer Overflow,mintToken,0,False
CVE-2018-12080,Wrong Logic,sell,0,False
CVE-2018-12080,Integer Overflow,burnFrom,0,False
CVE-2018-12081,Access Control,transfer,0,False
CVE-2018-12081,Integer Overflow,mintToken,0,False
CVE-2018-12081,Bad Randomness,buy,0,False
CVE-2018-12081,Integer Overflow,transferFrom,0,False
CVE-2018-12081,Bad Randomness,sell,0,False
CVE-2018-11239,Integer Overflow,transfer,0,False
CVE-2018-11239,Access Control,transferFrom,0,False
CVE-2018-11239,Integer Overflow,transferFrom,0,False
CVE-2018-11239,Bad Randomness,transfer,0,False
CVE-2018-11239,Bad Randomness,transferFrom,0,False
CVE-2018-13202,Integer Overflow,burn,0,False
CVE-2018-13202,Integer Overflow,buy,0,False
CVE-2018-13202,Integer Overflow,mintToken,0,False
CVE-2018-13202,Access Control,transferFrom,0,False
CVE-2018-13202,Bad Randomness,sell,0,False
CVE-2021-34270,Wrong Logic,transferFrom,0,False
CVE-2021-34270,Integer Overflow,mine,0,False
CVE-2021-34270,Bad Randomness,buy,0,False
CVE-2021-34270,Bad Randomness,sell,0,False
CVE-2021-34270,Integer Overflow,mintToken,0,True
CVE-2018-12959,Integer Overflow,transfer,0,False
CVE-2018-12959,Integer Overflow,transferFrom,0,False
CVE-2018-12063,Access Control,transferFrom,0,False
CVE-2018-12063,Integer Overflow,mintToken,0,False
CVE-2018-12063,Integer Overflow,burnFrom,0,False
CVE-2018-13230,Integer Overflow,mintToken,0,False
CVE-2018-13230,Access Control,transfer,0,False
CVE-2018-13230,Wrong Logic,buy,0,False
CVE-2018-12082,Access Control,transferFrom,0,False
CVE-2018-12082,Integer Overflow,mintToken,0,False
CVE-2018-12082,Bad Randomness,mintToken,0,False
CVE-2018-12082,Access Control,transfer,0,False
CVE-2018-12082,Integer Overflow,buy,0,False
CVE-2018-13225,Access Control,transfer,0,False
CVE-2018-13225,Bad Randomness,sell,0,False
CVE-2018-13225,Access Control,buy,0,False
CVE-2018-13225,Integer Overflow,transferFrom,0,False
CVE-2018-13225,Integer Overflow,mintToken,0,False
CVE-2018-12079,Integer Overflow,mintToken,0,False
CVE-2018-12079,Wrong Logic,buy,0,False
CVE-2018-12079,Wrong Logic,sell,0,False
CVE-2018-12079,Bad Randomness,setPrices,0,False
CVE-2018-19834,Integer Overflow,transferFrom,0,False
CVE-2018-19834,Access Control,transferFrom,0,False
CVE-2018-19834,Integer Overflow,mint,0,False
CVE-2018-19834,Access Control,transfer,0,False
CVE-2018-19834,Bad Randomness,mint,0,False
CVE-2018-13783,Integer Overflow,sell,0,False
CVE-2018-13783,Access Control,transferFrom,0,False
CVE-2018-13783,Integer Overflow,buy,0,False
CVE-2018-13783,Integer Overflow,mintToken,0,True
CVE-2018-13783,Access Control,transfer,0,False
