dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,N/A,True
CVE-2018-17968,Integer Overflow,distributeFunds,N/A,False
CVE-2018-13132,Integer Overflow,mint,N/A,True
CVE-2018-13128,Integer Overflow,mint,N/A,True
CVE-2018-13777,Integer Overflow,mintToken,N/A,True
CVE-2018-12062,Wrong Logic,buy,N/A,False
CVE-2018-12062,Wrong Logic,sell,N/A,False
CVE-2018-12062,Integer Overflow,mintToken,N/A,False
CVE-2018-12062,Integer Overflow,transferFrom,N/A,False
CVE-2018-12062,Access Control,transfer,N/A,False
CVE-2018-17071,Wrong Logic,<ticket_buyer_function>,N/A,False
CVE-2018-17071,Integer Overflow,<ticket_buyer_function>,N/A,False
CVE-2018-17071,Bad Randomness,<ticket_buyer_function>,N/A,False
CVE-2018-17071,Access Control,<constructor>,N/A,False
CVE-2018-12083,Integer Overflow,mintToken,N/A,False
CVE-2018-14001,Integer Overflow,batchTransfer,N/A,True
CVE-2018-13208,Integer Overflow,mintToken,N/A,False
CVE-2018-13208,Access Control,transfer,N/A,False
CVE-2018-13208,Integer Overflow,transferFrom,N/A,False
CVE-2018-13208,Wrong Logic,sell,N/A,False
CVE-2018-13208,Wrong Logic,buy,N/A,False
CVE-2018-13325,Integer Overflow,transferFrom,N/A,False
CVE-2018-13129,Integer Overflow,transferFrom,N/A,False
CVE-2018-13129,Integer Overflow,mint,N/A,True
CVE-2018-13129,Integer Overflow,transfer,N/A,False
CVE-2018-13129,Bad Randomness,migrate,N/A,False
CVE-2018-13129,Integer Overflow,migrate,N/A,False
CVE-2018-12702,Integer Overflow,transferFrom,N/A,False
CVE-2018-12702,Integer Overflow,transfer,N/A,False
CVE-2020-17753,Integer Overflow,buyFromRC,N/A,False
CVE-2018-12230,Integer Overflow,transferFrom,N/A,False
CVE-2018-12703,Integer Overflow,transferFrom,N/A,False
CVE-2018-12703,Integer Overflow,transfer,N/A,False
CVE-2018-14085,Integer Overflow,sweep,N/A,False
CVE-2018-18425,Integer Overflow,doAirdrop,N/A,False
CVE-2018-17050,Integer Overflow,transferFrom,N/A,False
CVE-2018-14006,Integer Overflow,batchTransfer,N/A,False
CVE-2018-13075,Integer Overflow,mintToken,N/A,True
CVE-2018-13075,Integer Overflow,setPrices,N/A,False
CVE-2018-13075,Wrong Logic,sell,N/A,False
CVE-2018-13075,Access Control,transfer,N/A,False
CVE-2018-13075,Wrong Logic,buy,N/A,False
CVE-2018-10666,Integer Overflow,transferFrom,N/A,False
CVE-2018-10666,Integer Overflow,feeFor,N/A,False
CVE-2018-10666,Bad Randomness,approveAndCall,N/A,False
CVE-2018-10666,Access Control,IDXM,N/A,False
CVE-2018-10666,Integer Overflow,transfer,N/A,False
CVE-2018-13076,Integer Overflow,transferFrom,N/A,False
CVE-2018-13076,Integer Overflow,transfer,N/A,False
CVE-2018-13076,Bad Randomness,mintToken,N/A,False
CVE-2018-13076,Integer Overflow,mintToken,N/A,True
CVE-2018-13076,Integer Overflow,buy,N/A,False
CVE-2018-17877,Integer Overflow,buyHeart,N/A,False
CVE-2018-13071,Integer Overflow,transferFrom,N/A,False
CVE-2018-13088,Bad Randomness,mintToken,N/A,False
CVE-2018-13088,Integer Overflow,mintToken,N/A,True
CVE-2018-13088,Integer Overflow,sell,N/A,False
CVE-2018-13088,Access Control,transferFrom,N/A,False
CVE-2018-13088,Wrong Logic,buy,N/A,False
CVE-2018-13533,Integer Overflow,transferFrom,N/A,False
CVE-2021-34273,Integer Overflow,distributeToken,N/A,False
