dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-12062,Integer Overflow,sell,False,N/A,0
CVE-2018-17071,Bad Randomness,fallback,False,N/A,0
CVE-2018-13208,Integer Overflow,sell,False,N/A,0
CVE-2018-13325,Integer Overflow,_sell,False,N/A,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,0
CVE-2018-12703,Access Control,approveAndCallcode,False,N/A,0
CVE-2018-13075,Integer Overflow,mintToken,True,1,0
CVE-2018-10666,Access Control,setOwner,False,N/A,0
CVE-2018-13076,Integer Overflow,mintToken,True,1,0
CVE-2018-13088,Integer Overflow,mintToken,True,1,0
CVE-2018-13670,Integer Overflow,mintToken,True,1,0
CVE-2018-13070,Integer Overflow,mintToken,True,1,0
CVE-2018-13073,Integer Overflow,mintToken,True,1,0
CVE-2018-13079,Integer Overflow,mintToken,True,1,0
CVE-2021-3006,Access Control,breed,False,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,True,1,0
CVE-2018-13087,Integer Overflow,mintToken,True,1,0
CVE-2018-12070,Integer Overflow,sell,True,2,0
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,False,N/A,0
CVE-2018-12067,Integer Overflow,sell,False,N/A,0
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,True,1,0
CVE-2018-13069,Integer Overflow,mintToken,True,1,0
CVE-2020-35962,Access Control,sellTokenForLRC,False,N/A,0
CVE-2018-12068,Integer Overflow,sell,False,N/A,0
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,0
CVE-2018-12511,Integer Overflow,mintToken,True,1,0
CVE-2018-14005,Integer Overflow,transferAny,False,N/A,0
CVE-2018-11335,Integer Overflow,mint,True,1,0
CVE-2018-13089,Integer Overflow,mintToken,True,1,0
CVE-2018-13086,Integer Overflow,mintToken,True,1,0
CVE-2018-13228,Integer Overflow,sell,False,N/A,0
CVE-2018-12080,Token Devalue,mintToken,False,N/A,0
CVE-2018-12081,Token Devalue,mintToken,False,N/A,0
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,0
CVE-2018-13202,Integer Overflow,sell,False,N/A,0
CVE-2021-34270,Integer Overflow,mintToken,True,1,0
CVE-2018-12959,Access Control,approveAndCall,False,N/A,0
CVE-2018-12063,Integer Overflow,sell,False,N/A,0
CVE-2018-13230,Integer Overflow,sell,False,N/A,0
CVE-2018-12082,Token Devalue,mintToken,False,N/A,0
CVE-2018-13225,Integer Overflow,sell,False,N/A,0
CVE-2018-12079,Token Devalue,mintToken,False,N/A,0
CVE-2018-19834,Access Control,quaker,False,N/A,0
CVE-2018-13783,Integer Overflow,mintToken,True,1,0
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,0
CVE-2018-13782,Integer Overflow,mintToken,True,1,0
CVE-2018-14576,Integer Overflow,mintTokens,False,N/A,0
CVE-2018-13625,Integer Overflow,mintlvlToken,True,1,0
CVE-2018-13227,Integer Overflow,sell,False,N/A,0

Top k hit rate:,0.40,(21/53)
Top 1 hit rate:,0.40,0.37735849056603776,(20/53)
