dataname,auditor_idx,vulnerability,function_name
2018-13085,0,Integer Overflow,balanceOf
2018-13085,0,Integer Overflow,_transfer
2018-13085,1,Integer Overflow,changeFree
2018-13085,1,Wrong Logic,_transfer
2018-13085,1,Bad Randomness,setPrices
2018-13085,1,Access Control,mintToken
2018-13085,1,Typo Constructor,FreeCoin
2018-13085,3,Integer Overflow,transfer
2018-13085,3,Integer Overflow,burn
2018-13085,3,Access Control,mintToken
2018-13085,3,Access Control,setPrices
2018-13085,3,Access Control,transferFrom
2018-13085,2,Integer Overflow,balanceOf
2018-13085,2,Integer Overflow,changeFree
2018-13085,2,Wrong Logic,balanceOf
2018-13085,2,Bad Randomness,transfer
2018-13085,2,Bad Randomness,transferFrom
2018-13085,2,Access Control,approveAndCall
2018-13085,2,Token Devalue,burn
2018-13085,2,Access Control,burnFrom
