dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,transfer,0,False
CVE-2018-13722,Integer Overflow,safeSub,0,False
CVE-2018-13722,Integer Overflow,safeDiv,0,False
CVE-2018-13722,Integer Overflow,safeAdd,0,False
CVE-2018-13722,Integer Overflow,safeMul,0,False
CVE-2018-17968,Access Control,payout,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Access Control,refundPlayersInRoom,0,False
CVE-2018-17968,Integer Overflow,random,0,False
CVE-2018-13132,Integer Overflow,mint,3,True
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,0,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,2,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,0,False
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Access Control,transfer,0,False
CVE-2018-13128,Access Control,approve,0,False
CVE-2018-13128,Access Control,transferFrom,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13777,Integer Overflow,TokenERC20,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,_transfer,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-17071,Access Control,stopGame,4,False
CVE-2018-17071,Integer Overflow,fallback,3,False
CVE-2018-17071,Typo Constructor,constructor,3,False
CVE-2018-17071,Wrong Logic,fallback,3,False
CVE-2018-17071,Bad Randomness,fallback,3,True
CVE-2018-12083,Typo Constructor,mintToken,0,False
CVE-2018-12083,Integer Overflow,burn,0,False
CVE-2018-12083,Integer Overflow,burnFrom,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Access Control,mintToken,0,False
CVE-2018-14001,Integer Overflow,transfer,0,False
CVE-2018-14001,Integer Overflow,Trade,0,False
CVE-2018-14001,Integer Overflow,transferFrom,0,False
CVE-2018-13208,Integer Overflow,transferFrom,0,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13208,Integer Overflow,transfer,0,False
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13208,Integer Overflow,sell,0,True
CVE-2018-13325,Integer Overflow,transferEth,0,False
CVE-2018-13325,Integer Overflow,setBuyOpen,0,False
CVE-2018-13325,Integer Overflow,transfer,0,False
CVE-2018-13325,Integer Overflow,transferFrom,0,False
CVE-2018-13325,Integer Overflow,setPrices,0,False
CVE-2018-13129,Access Control,approve,0,False
CVE-2018-13129,Access Control,transfer,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Access Control,transferFrom,0,False
CVE-2018-13129,Access Control,unfreeze,0,False
CVE-2018-12702,Typo Constructor,GVE,0,False
CVE-2018-12702,Integer Overflow,balanceOf,0,False
CVE-2018-12702,Integer Overflow,transfer,0,False
CVE-2018-12702,Integer Overflow,approve,0,False
CVE-2018-12702,Integer Overflow,transferFrom,0,False
CVE-2020-17753,Integer Overflow,RC.buyImplementation,1,False
CVE-2020-17753,Integer Overflow,buyFromRC,0,False
CVE-2020-17753,Integer Overflow,RC.giveToken,1,False
CVE-2020-17753,Integer Overflow,RC.claimTokenBonus,1,False
CVE-2020-17753,Integer Overflow,RC.takeEther,1,False
CVE-2018-12230,Integer Overflow,mintToken,0,False
CVE-2018-12230,Integer Overflow,balanceOf,0,False
CVE-2018-12230,Integer Overflow,transferFrom,0,False
CVE-2018-12230,Integer Overflow,transfer,0,False
CVE-2018-12230,Typo Constructor,changeDecimals,0,False
CVE-2018-12703,Integer Overflow,transferFrom,0,False
CVE-2018-12703,Integer Overflow,transfer,0,False
CVE-2018-12703,Typo Constructor,EighteenToken,0,False
CVE-2018-12703,Integer Overflow,balanceOf,0,False
CVE-2018-12703,Integer Overflow,approve,0,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-18425,Integer Overflow,getTokens,0,False
CVE-2018-18425,Access Control,transferFrom,0,False
CVE-2018-18425,Integer Overflow,distr,0,False
CVE-2018-18425,Access Control,balanceOf,0,False
CVE-2018-18425,Access Control,transfer,0,False
CVE-2018-17050,Integer Overflow,transferFrom,0,False
CVE-2018-17050,Typo Constructor,PolyAi,0,False
CVE-2018-17050,Access Control,freezeAccount,4,False
CVE-2018-17050,Typo Constructor,PolyAi,1,False
CVE-2018-17050,Integer Overflow,transferFrom,3,False
CVE-2018-17050,Wrong Logic,transferFrom,1,False
CVE-2018-17050,Integer Overflow,transfer,1,False
CVE-2018-17050,Access Control,transferOwnership,4,False
CVE-2018-17050,Access Control,mintToken,3,False
CVE-2018-17050,Access Control,mintToken,2,False
CVE-2018-17050,Wrong Logic,transferFrom,2,False
CVE-2018-17050,Access Control,mintToken,1,False
CVE-2018-17050,Access Control,approve,4,False
CVE-2018-17050,Integer Overflow,transfer,0,False
CVE-2018-17050,Access Control,approveAndCall,4,False
CVE-2018-17050,Bad Randomness,approveAndCall,2,False
CVE-2018-17050,Integer Overflow,mintToken,0,True
CVE-2018-17050,Access Control,transferFrom,4,False
CVE-2018-17050,Integer Overflow,transfer,3,False
CVE-2018-17050,Typo Constructor,transfer,3,False
CVE-2018-17050,Integer Overflow,transfer,2,False
CVE-2018-17050,Access Control,freezeAccount,2,False
CVE-2018-17050,Wrong Logic,approveAndCall,3,False
CVE-2018-14006,Integer Overflow,transfer,0,False
CVE-2018-14006,Integer Overflow,batchTransfer,0,False
CVE-2018-14006,Integer Overflow,transferFrom,0,False
CVE-2018-14006,Integer Overflow,multipleTransfer,0,True
CVE-2018-14006,Integer Overflow,burn,0,False
CVE-2018-13075,Typo Constructor,setTokenSymbol,0,False
CVE-2018-13075,Typo Constructor,setMinBalance,0,False
CVE-2018-13075,Access Control,setPrices,0,False
CVE-2018-13075,Integer Overflow,buy,0,False
CVE-2018-13075,Typo Constructor,setTokenName,0,False
CVE-2018-10666,Integer Overflow,IDXM,0,False
CVE-2018-13076,Integer Overflow,withdrawToOwner,0,False
CVE-2018-13076,Integer Overflow,buy,0,False
CVE-2018-13076,Integer Overflow,transfer,0,False
CVE-2018-13076,Integer Overflow,mintToken,0,True
CVE-2018-13076,Integer Overflow,transferFrom,0,False
CVE-2018-17877,Bad Randomness,buyHeart,0,False
CVE-2018-17877,Access Control,buyHeart,0,False
CVE-2018-17877,Integer Overflow,buyHeart,0,False
CVE-2018-17877,Typo Constructor,buyHeart,0,False
CVE-2018-17877,Wrong Logic,buyHeart,0,False
CVE-2018-13071,Access Control,freezeAccount,2,False
CVE-2018-13071,Integer Overflow,transfer,4,False
CVE-2018-13071,Wrong Logic,transferFrom,2,False
CVE-2018-13071,Integer Overflow,mintToken,4,True
CVE-2018-13071,Access Control,mintToken,3,False
CVE-2018-13071,Access Control,approve,3,False
CVE-2018-13071,Typo Constructor,getAddresses,0,False
CVE-2018-13071,Access Control,mintToken,2,False
CVE-2018-13071,Integer Overflow,transfer,1,False
CVE-2018-13071,Typo Constructor,setPrices,0,False
CVE-2018-13071,Integer Overflow,sell,4,False
CVE-2018-13071,Integer Overflow,transferFrom,4,False
CVE-2018-13071,Typo Constructor,mintToken,0,False
CVE-2018-13071,Integer Overflow,distributeTokens,4,False
CVE-2018-13071,Integer Overflow,transferFrom,1,False
CVE-2018-13071,Access Control,setPrices,2,False
CVE-2018-13071,Integer Overflow,transfer,2,False
CVE-2018-13071,Access Control,transfer,3,False
CVE-2018-13071,Access Control,buy,2,False
CVE-2018-13071,Bad Randomness,distributeTokens,2,False
CVE-2018-13071,Integer Overflow,sell,1,False
CVE-2018-13071,Access Control,setPrices,3,False
CVE-2018-13071,Integer Overflow,buy,1,False
CVE-2018-13071,Access Control,transferFrom,3,False
CVE-2018-13071,Typo Constructor,sell,0,False
CVE-2018-13071,Typo Constructor,freezeAccount,0,False
CVE-2018-13071,Typo Constructor,constructor,0,False
CVE-2018-13071,Typo Constructor,buy,0,False
CVE-2018-13071,Typo Constructor,distributeTokens,0,False
CVE-2018-13071,Integer Overflow,distributeTokens,1,False
CVE-2018-13071,Access Control,freezeAccount,3,False
CVE-2018-13088,Integer Overflow,_transfer,0,False
CVE-2018-13088,Integer Overflow,transfer,0,False
CVE-2018-13088,Integer Overflow,TokenERC20,0,False
CVE-2018-13088,Integer Overflow,transferFrom,0,False
CVE-2018-13533,Integer Overflow,setPrices,0,False
CVE-2018-13533,Integer Overflow,buy,0,False
CVE-2018-13533,Integer Overflow,transfer,0,False
CVE-2018-13533,Integer Overflow,transferFrom,0,False
CVE-2018-13533,Integer Overflow,sell,0,False
CVE-2021-34273,Integer Overflow,balanceOf,0,False
CVE-2021-34273,Integer Overflow,distributeToken,0,False
CVE-2021-34273,Integer Overflow,transfer,0,False
CVE-2021-34273,Integer Overflow,totalSupply,0,False
CVE-2021-34273,Integer Overflow,transferFrom,0,False
CVE-2018-10299,Integer Underflow,sub,4,False
CVE-2018-10299,Integer Overflow,transferFrom,2,False
CVE-2018-10299,Integer Overflow,batchTransfer,2,True
CVE-2018-10299,Access Control,approve,3,False
CVE-2018-10299,Integer Overflow,batchTransfer,0,True
CVE-2018-10299,Access Control,transferOwnership,3,False
CVE-2018-10299,Integer Overflow,transfer,3,False
CVE-2018-10299,Integer Overflow,approve,0,False
CVE-2018-10299,Integer Overflow,transfer,2,False
CVE-2018-10299,Integer Overflow,transfer,4,False
CVE-2018-10299,Integer Overflow,transfer,0,False
CVE-2018-10299,Integer Overflow,transferFrom,0,False
CVE-2018-10299,Integer Overflow,mul,4,False
CVE-2018-10299,Integer Overflow,add,4,False
CVE-2018-10299,Integer Overflow,balanceOf,0,False
CVE-2018-10299,Integer Overflow,batchTransfer,3,True
CVE-2018-10299,Integer Division by Zero,div,4,False
CVE-2018-13670,Integer Overflow,sell,0,False
CVE-2018-13670,Integer Overflow,buy,0,False
CVE-2018-13670,Access Control,freezeAccount,0,False
CVE-2018-13670,Wrong Logic,setMinBalance,0,False
CVE-2018-13670,Access Control,mintToken,0,False
CVE-2018-10376,Bad Randomness,allocateTokens,0,False
CVE-2018-10376,Integer Overflow,allocateTokens,0,False
CVE-2018-10376,Access Control,allocateTokens,0,False
CVE-2018-10376,Token Devalue,allocateTokens,0,False
CVE-2018-10376,Typo Constructor,allocateTokens,0,False
CVE-2018-14003,Integer Overflow,burn,0,False
CVE-2018-14003,Integer Overflow,TokenERC20,0,False
CVE-2018-14003,Integer Overflow,batchTransfer,0,True
CVE-2018-14003,Integer Overflow,burnFrom,0,False
CVE-2018-14003,Integer Overflow,_transfer,0,False
CVE-2018-11429,Integer Overflow,mint,0,True
CVE-2018-11429,Integer Overflow,transferFrom,4,False
CVE-2018-11429,Integer Overflow,mint,2,True
CVE-2018-11429,Integer Overflow,mint,1,True
CVE-2018-11429,Integer Overflow,mint,3,True
CVE-2018-13070,Integer Overflow,mintToken,1,True
CVE-2018-13070,Integer Overflow,TokenERC20,0,False
CVE-2018-13073,Integer Overflow,sell,0,False
CVE-2018-13073,Integer Overflow,transferFrom,0,False
CVE-2018-13073,Integer Overflow,mintToken,0,True
CVE-2018-13073,Integer Overflow,transfer,0,False
CVE-2018-13073,Integer Overflow,buy,0,False
CVE-2018-14715,Integer Overflow,mintPack,0,False
CVE-2018-14715,Integer Overflow,transfer,0,False
CVE-2018-14715,Integer Overflow,mint,0,False
CVE-2018-14715,Integer Overflow,transferFrom,0,False
CVE-2018-14715,Integer Overflow,mintBatch,0,False
CVE-2018-12885,Integer Overflow,randMod,0,False
CVE-2018-12885,Integer Overflow,createChamp,1,False
CVE-2018-12885,Integer Overflow,getChampReward,0,False
CVE-2018-12885,Integer Overflow,getChampReward,1,False
CVE-2018-12885,Integer Overflow,withdrawChamp,1,False
CVE-2018-13079,Integer Overflow,transfer,2,False
CVE-2018-13079,Access Control,burnFrom,2,False
CVE-2018-13079,Typo Constructor,setPrices,2,False
CVE-2018-13079,Wrong Logic,transferFrom,2,False
CVE-2018-13079,Bad Randomness,approveAndCall,2,False
CVE-2021-3006,Access Control,updateSettings,0,False
CVE-2021-3006,Access Control,claimStakingReward,0,False
CVE-2021-3006,Wrong Logic,getProtocolFeeStats,0,False
CVE-2021-3006,Integer Overflow,getProtocolFeeStats,0,False
CVE-2021-3006,Access Control,sellTokenForLRC,0,False
CVE-2018-19833,Typo Constructor,constructor,0,False
CVE-2018-19833,Integer Overflow,mintToken,0,False
CVE-2018-19833,Access Control,freezeAccount,0,False
CVE-2018-19833,Integer Overflow,burn,0,False
CVE-2018-19833,Integer Overflow,transfer,0,False
CVE-2018-14089,Integer Overflow,,0,False
CVE-2018-14089,Integer Overflow,balanceOf,0,False
CVE-2018-14089,Integer Overflow,burn,0,False
CVE-2018-14089,Integer Overflow,transferFrom,0,False
CVE-2018-14089,Integer Overflow,transfer,0,False
CVE-2019-15078,Typo Constructor,getTokens,0,False
CVE-2019-15078,Integer Overflow,distr,0,False
CVE-2019-15078,Access Control,getTokens,0,False
CVE-2019-15078,Bad Randomness,getTokens,0,False
CVE-2019-15078,Integer Overflow,getTokens,0,False
CVE-2018-13085,Bad Randomness,transfer,2,False
CVE-2018-13085,Integer Overflow,balanceOf,2,False
CVE-2018-13085,Wrong Logic,balanceOf,2,False
CVE-2018-13085,Typo Constructor,FreeCoin,1,False
CVE-2018-13085,Bad Randomness,transferFrom,2,False
CVE-2018-13085,Access Control,burnFrom,2,False
CVE-2018-13085,Integer Overflow,transfer,3,False
CVE-2018-13085,Bad Randomness,setPrices,1,False
CVE-2018-13085,Integer Overflow,burn,3,False
CVE-2018-13085,Access Control,approveAndCall,2,False
CVE-2018-13085,Access Control,setPrices,3,False
CVE-2018-13085,Access Control,mintToken,1,False
CVE-2018-13085,Integer Overflow,changeFree,1,False
CVE-2018-13085,Integer Overflow,_transfer,0,False
CVE-2018-13085,Wrong Logic,_transfer,1,False
CVE-2018-13085,Access Control,mintToken,3,False
CVE-2018-13085,Access Control,transferFrom,3,False
CVE-2018-13085,Integer Overflow,balanceOf,0,False
CVE-2018-13085,Integer Overflow,changeFree,2,False
CVE-2018-13085,Token Devalue,burn,2,False
CVE-2018-14063,Integer Overflow,balanceOf,0,False
CVE-2018-14063,Integer Overflow,transferFrom,0,False
CVE-2018-14063,Integer Overflow,approve,0,False
CVE-2018-14063,Integer Overflow,totalSupply,0,False
CVE-2018-14063,Integer Overflow,transfer,0,False
CVE-2018-13087,Integer Overflow,TokenERC20,0,False
CVE-2018-12070,Integer Overflow,SECToken,0,False
CVE-2018-12070,Integer Overflow,_transfer,0,False
CVE-2018-12070,Integer Overflow,buy,0,False
CVE-2018-12070,Integer Overflow,mintToken,0,False
CVE-2018-12070,Integer Overflow,setPrices,0,False
CVE-2018-10706,Integer Overflow,generateTokens,0,False
CVE-2018-10706,Integer Overflow,destroyTokens,0,False
CVE-2018-10706,Integer Overflow,changeTokensPerEther,0,False
CVE-2018-10706,Integer Overflow,changeAirdropQty,0,False
CVE-2018-10706,Integer Overflow,changeAirdropTotalQty,0,False
CVE-2019-15079,Integer Overflow,burn,0,False
CVE-2019-15079,Typo Constructor,EAI_TokenERC20,0,False
CVE-2019-15079,Integer Overflow,burnFrom,0,False
CVE-2019-15079,Integer Overflow,_transfer,0,False
CVE-2019-15079,Integer Overflow,EAI_TokenERC20,0,False
CVE-2018-14087,Typo Constructor,EncryptedToken,1,False
CVE-2018-14087,Integer Overflow,mintToken,1,False
CVE-2018-14087,Integer Overflow,buy,4,False
CVE-2018-14087,Access Control,freezeAccount,1,False
CVE-2018-14087,Wrong Logic,buy,1,False
CVE-2018-12067,Integer Overflow,sell,0,True
CVE-2018-12067,Integer Overflow,mintToken,0,False
CVE-2018-12067,Integer Overflow,transferFrom,0,False
CVE-2018-12067,Integer Overflow,buy,0,False
CVE-2018-12067,Integer Overflow,transfer,0,False
CVE-2021-34272,Access Control,burnFrom,0,False
CVE-2021-34272,Access Control,burn,0,False
CVE-2021-34272,Access Control,approveAndCall,0,False
CVE-2021-34272,Access Control,approve,0,False
CVE-2021-34272,Access Control,transferOwnership,0,False
CVE-2018-13703,Access Control,getConBal,0,False
CVE-2018-13703,Access Control,getTokenPrice,0,False
CVE-2018-13703,Access Control,getCollectedAmount,0,False
CVE-2018-13703,Integer Overflow,sellOffline,0,False
CVE-2018-13703,Access Control,getEthRate,0,False
CVE-2018-13069,Integer Overflow,_transfer,0,False
CVE-2018-13069,Integer Overflow,sell,0,False
CVE-2018-13069,Integer Overflow,TokenERC20,0,False
CVE-2018-13069,Integer Overflow,buy,0,False
CVE-2021-3004,Integer Overflow,unstake,0,False
CVE-2021-3004,Integer Overflow,withdraw,0,False
CVE-2021-3004,Integer Overflow,stake,0,False
CVE-2021-3004,Integer Overflow,notifyFeeAmount,0,False
CVE-2021-3004,Integer Overflow,getReward,0,False
CVE-2020-35962,Integer Overflow,getProtocolFeeStats,0,False
CVE-2020-35962,Access Control,updateSettings,0,False
CVE-2020-35962,Access Control,claimStakingReward,0,False
CVE-2020-35962,Access Control,sellTokenForLRC,0,True
CVE-2020-35962,Wrong Logic,getProtocolFeeStats,0,False
CVE-2018-13127,Access Control,unfreeze,0,False
CVE-2018-13127,Integer Overflow,mint,3,True
CVE-2018-13127,Integer Overflow,mint,2,True
CVE-2018-13127,Integer Overflow,mint,1,True
CVE-2018-13127,Integer Overflow,mint,0,True
CVE-2018-13041,Typo Constructor,mint,0,False
CVE-2018-13041,Access Control,mint,0,False
CVE-2018-13041,Bad Randomness,mint,0,False
CVE-2018-13041,Token Devalue,mint,0,False
CVE-2018-13041,Integer Overflow,mint,0,True
CVE-2018-13091,Token Creation Vulnerability,mintToken,3,False
CVE-2018-13091,Integer Overflow,mintToken,2,True
CVE-2018-13091,Integer Overflow,mintToken,0,True
CVE-2018-13091,Integer Overflow,mintToken,1,True
CVE-2018-13091,Integer Overflow,mintToken,4,True
CVE-2018-12068,Integer Overflow,mintToken,0,False
CVE-2018-12068,Integer Overflow,sell,0,True
CVE-2018-12068,Integer Overflow,transferFrom,0,False
CVE-2018-12068,Integer Overflow,buy,0,False
CVE-2018-12068,Integer Overflow,transfer,0,False
CVE-2018-14084,Access Control,selfdestructs,0,False
CVE-2018-14084,Access Control,getEth,0,False
CVE-2018-14084,Integer Overflow,sell,0,False
CVE-2018-14084,Access Control,newinitialSupply,0,False
CVE-2018-14084,Integer Overflow,buy,0,False
CVE-2018-13327,Integer Overflow,approve,0,False
CVE-2018-13327,Integer Overflow,transfer,3,False
CVE-2018-13327,Integer Overflow,balanceOf,0,False
CVE-2018-13327,Integer Overflow,transfer,0,False
CVE-2018-13327,Integer Overflow,transferFrom,3,False
CVE-2018-13327,Integer Overflow,transfer,1,False
CVE-2018-13327,Integer Overflow,transferFrom,1,False
CVE-2018-13327,Integer Overflow,transferFrom,4,False
CVE-2018-13327,Integer Overflow,transferFrom,0,False
CVE-2018-11411,Wrong Logic,approve,2,False
CVE-2018-11411,Integer Overflow,distributeFUD,0,False
CVE-2018-11411,Integer Overflow,distributeFUD,2,False
CVE-2018-11411,Wrong Logic,transfer,2,False
CVE-2018-11411,Wrong Logic,transferFrom,2,True
CVE-2018-17987,Access Control,claimOwnersEarnings,0,False
CVE-2018-17987,Integer Overflow,updateGameCost,0,False
CVE-2018-17987,Access Control,claimWinnings,0,False
CVE-2018-17987,Integer Overflow,claimTile,0,False
CVE-2018-17987,Typo Constructor,claimOwnersEarnings,0,False
CVE-2018-12511,Integer Overflow,buy,0,False
CVE-2018-12511,Integer Overflow,transfer,0,False
CVE-2018-12511,Integer Overflow,mintToken,0,True
CVE-2018-12511,Integer Overflow,sell,0,False
CVE-2018-12511,Integer Overflow,transferFrom,0,False
CVE-2018-14005,Integer Overflow,approve,0,False
CVE-2018-14005,Integer Overflow,transferAUTOtokens5,0,False
CVE-2018-14005,Integer Overflow,transferAUTOtokens10,0,False
CVE-2018-14005,Integer Overflow,transferFrom,0,False
CVE-2018-14005,Integer Overflow,transfer,0,False
CVE-2018-11335,Access Control,approve,0,False
CVE-2018-11335,Access Control,unfreeze,0,False
CVE-2018-11335,Access Control,transfer,0,False
CVE-2018-11335,Integer Overflow,mint,0,True
CVE-2018-11335,Access Control,transferFrom,0,False
CVE-2018-13089,Integer Overflow,TokenERC20,0,False
CVE-2018-13089,Integer Overflow,buy,0,False
CVE-2018-13089,Integer Overflow,_transfer,0,False
CVE-2018-13089,Integer Overflow,sell,0,False
CVE-2018-13089,Integer Overflow,mintToken,0,True
CVE-2018-13086,Bad Randomness,buy,0,False
CVE-2018-13086,Wrong Logic,sell,0,False
