dataname,auditor_idx,vulnerability,function_name
2018-12083,0,Integer Overflow,mintToken
2018-12083,0,Integer Overflow,transfer
2018-12083,0,Integer Overflow,transferFrom
2018-12083,0,Integer Overflow,approve
2018-12083,0,Integer Overflow,burn
2018-12083,1,Arbitrary Setting of Owner,changeOwner
2018-12083,2,Integer Overflow,GoalToken
2018-12083,2,Wrong Logic,GoalToken
2018-12083,2,Bad Randomness,GoalToken
2018-12083,2,Access Control,GoalToken
2018-12083,2,Typo Constructor,GoalToken
2018-12083,2,Token Devalue,GoalToken
