dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,upgrade,2,False
CVE-2018-13722,Access Control,setUpgradeAgent,2,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Access Control,setSymbol,2,False
CVE-2018-13722,Wrong Logic,setMintAgent,0,False
CVE-2018-13722,Access Control,setMaster,2,False
CVE-2018-13722,Access Control,canUpgrade,2,False
CVE-2018-13722,Integer Overflow,mint,2,True
CVE-2018-13722,Integer Overflow,distribute,1,False
CVE-2018-13722,Access Control,setMintAgent,2,False
CVE-2018-13722,Access Control,setBalance,2,False
CVE-2018-13722,Access Control,setName,2,False
CVE-2018-13326,Typo Constructor,Bittelux,0,False
CVE-2018-13326,Integer Overflow,transfer,0,False
CVE-2018-13326,Integer Overflow,transferFrom,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,1,False
CVE-2018-17968,Integer Overflow,room,2,False
CVE-2018-17968,Integer Overflow,refund,2,False
CVE-2018-17968,Integer Overflow,withdraw,2,False
CVE-2018-17968,Integer Overflow,payout,2,False
CVE-2018-13132,Access Control,pauseIco,2,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,creditJackpotTokens,2,False
CVE-2018-13132,Access Control,buyTokens,2,False
CVE-2018-13132,Integer Overflow,setMigrationAgent,0,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,0,False
CVE-2018-13132,Access Control,resumeIco,2,False
CVE-2018-13132,Access Control,creditJackpotTokens,2,False
CVE-2018-13132,Integer Overflow,buyTokens,2,False
CVE-2018-13132,Integer Overflow,buyTokens,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Wrong Logic,burn,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Integer Overflow,approve,0,False
CVE-2018-13128,Integer Overflow,transferFrom,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,transfer,0,False
CVE-2018-13777,Integer Overflow,_transfer,0,False
CVE-2018-13777,Integer Overflow,approve,0,False
CVE-2018-13777,Integer Overflow,transferFrom,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-17071,Arbitrary High Balance,Lucky9io,2,False
CVE-2018-17071,Arbitrary calls,lucky9io,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-12083,Bad Randomness,GoalToken,2,False
CVE-2018-12083,Typo Constructor,GoalToken,2,False
CVE-2018-12083,Integer Overflow,burn,0,False
CVE-2018-12083,Integer Overflow,approve,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Integer Overflow,GoalToken,2,False
CVE-2018-12083,Token Devalue,GoalToken,2,False
CVE-2018-12083,Integer Overflow,transferFrom,0,False
CVE-2018-12083,Arbitrary Setting of Owner,changeOwner,1,False
CVE-2018-12083,Wrong Logic,GoalToken,2,False
CVE-2018-12083,Access Control,GoalToken,2,False
CVE-2018-14001,Integer Overflow,batchTransfer,1,True
CVE-2018-14001,Integer Overflow,cashIn,2,False
CVE-2018-14001,Integer Overflow,trade,0,False
CVE-2018-14001,Integer Overflow,cashOut,2,False
CVE-2018-14001,Wrong Logic,sell,2,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-14001,Wrong Logic,buy,2,False
CVE-2018-14001,Integer Overflow,airDrop,2,False
CVE-2018-14001,Integer Overflow,Sell,0,False
