dataname,auditor_idx,vulnerability,function_name
2018-13132,0,Integer Overflow,mint
2018-13132,0,Integer Overflow,migrate
2018-13132,0,Integer Overflow,setMigrationAgent
2018-13132,0,Integer Overflow,setMigrationMaster
2018-13132,1,Bad Randomness,buyTokens
2018-13132,2,Access Control,pauseIco
2018-13132,2,Access Control,resumeIco
2018-13132,2,Integer Overflow,convertPresaleTokens
2018-13132,2,Integer Overflow,creditJackpotTokens
2018-13132,2,Integer Overflow,buyTokens
2018-13132,2,Access Control,validState
2018-13132,2,Access Control,setMigrationMaster
2018-13132,2,Access Control,setIcoAgent
2018-13132,2,Access Control,setTeam
2018-13132,2,Access Control,unfreeze
2018-13132,2,Integer Overflow,migrate
2018-13132,2,Access Control,setMigrationMaster
2018-13132,2,Access Control,setMigrationMaster
2018-13132,2,Access Control,unfreeze
2018-13132,2,Integer Overflow,migrate
2018-13132,2,Access Control,setTeam
2018-13132,2,Access Control,setIcoAgent
2018-13132,2,Access Control,setMigrationMaster
2018-13132,2,Access Control,unfreeze
2018-13132,2,Integer Overflow,migrate
2018-13132,2,Access Control,setTeam
2018-13132,2,Access Control,setIcoAgent
2018-13132,2,Access Control,setMigrationMaster
2018-13132,2,Access Control,unfreeze
2018-13132,2,Integer Overflow,migrate
2018-13132,2,Access Control,setTeam
2018-13132,2,Access Control,setIcoAgent
2018-13132,2,Access Control,setMigrationMaster
2018-13132,2,Access Control,unfreeze
2018-13132,2,Integer Overflow,migrate
2018-13132,2,Access Control,setTeam
2018-13132,2,Access Control,setIcoAgent
2018-13132,2,Access Control,setMigrationMaster
2018-13132,2,Access Control,unfreeze
