dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Bad Randomness,canUpgrade,0,False
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Wrong Logic,upgradeFrom,0,False
CVE-2018-13722,Access Control,setUpgradeMaster,0,False
CVE-2018-13326,Token Devalue,transfer,2,False
CVE-2018-13326,Access Control,transfer,2,False
CVE-2018-13326,Wrong Logic,transfer,2,False
CVE-2018-13326,Bad Randomness,transfer,2,False
CVE-2018-13326,Integer Overflow,transfer,2,False
CVE-2018-13326,Typo Constructor,transfer,2,False
CVE-2018-17968,Integer Overflow,distributeFunds,1,False
CVE-2018-17968,Wrong Logic,payout,2,False
CVE-2018-17968,Wrong Logic,createRoom,2,False
CVE-2018-17968,Integer Devalue,distributeFunds,0,False
CVE-2018-17968,Integer Devalue,executeRoom,0,False
CVE-2018-17968,Wrong Logic,refund,2,False
CVE-2018-17968,Wrong Logic,myRandom,2,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-13132,Integer Overflow,buyTokens,2,False
CVE-2018-13132,Access Control,pauseIco,2,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Access Control,setIcoAgent,2,False
CVE-2018-13132,Access Control,unfreeze,2,False
CVE-2018-13132,Access Control,setTeam,2,False
CVE-2018-13132,Integer Overflow,setMigrationAgent,0,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,2,False
CVE-2018-13132,Integer Overflow,convertPresaleTokens,2,False
CVE-2018-13132,Integer Overflow,migrate,0,False
CVE-2018-13132,Bad Randomness,buyTokens,1,False
CVE-2018-13132,Access Control,validState,2,False
CVE-2018-13132,Access Control,setMigrationMaster,2,False
CVE-2018-13132,Integer Overflow,migrate,2,False
CVE-2018-13132,Integer Overflow,setMigrationMaster,0,False
CVE-2018-13132,Access Control,resumeIco,2,False
CVE-2018-13128,Integer Overflow,transferFrom,0,False
CVE-2018-13128,Integer Overflow,transfer,0,False
CVE-2018-13128,Integer Overflow,mint,1,True
CVE-2018-13128,Integer Overflow,transferFrom,2,False
CVE-2018-13128,Access Control,unfreeze,2,False
CVE-2018-13128,Integer Overflow,transfer,2,False
CVE-2018-13128,Integer Overflow,burn,0,False
CVE-2018-13128,Integer Overflow,mint,0,True
CVE-2018-13128,Integer Overflow,approve,0,False
CVE-2018-13128,Integer Overflow,burn,2,False
CVE-2018-13128,Integer Overflow,mint,2,True
CVE-2018-13128,Integer Overflow,approve,2,False
CVE-2018-13777,Bad Randomness,approveAndCall,0,False
CVE-2018-13777,Integer Overflow,mintToken,0,True
CVE-2018-13777,Integer Overflow,_transfer,0,False
CVE-2018-13777,Wrong Logic,transferFrom,0,False
CVE-2018-13777,Typo Constructor,Typo Constructor,0,False
CVE-2018-12062,Integer Overflow,transferFrom,0,False
CVE-2018-12062,Integer Overflow,mintToken,0,False
CVE-2018-12062,Integer Overflow,sell,0,True
CVE-2018-12062,Integer Overflow,buy,0,False
CVE-2018-12062,Integer Overflow,transfer,0,False
CVE-2018-17071,Integer Overflow,stopGame,0,False
CVE-2018-17071,Integer Overflow,stopGame,1,False
CVE-2018-17071,Integer Overflow,Lucky9io,2,False
CVE-2018-12083,Integer Overflow,approve,0,False
CVE-2018-12083,Integer Overflow,burn,0,False
CVE-2018-12083,Integer Overflow,transferFrom,0,False
CVE-2018-12083,Integer Overflow,mintToken,0,False
CVE-2018-12083,Integer Overflow,transfer,0,False
CVE-2018-14001,Integer Overflow,Sell,0,False
CVE-2018-14001,Wrong Logic,Trade,0,False
CVE-2018-14001,Integer Overflow,Buy,0,False
CVE-2018-14001,Integer Overflow,airDrop,0,False
CVE-2018-14001,Integer Overflow,batchTransfer,0,True
CVE-2018-13208,Integer Overflow,transferFrom,0,False
CVE-2018-13208,Bad Randomness,transferFrom,1,False
CVE-2018-13208,Wrong Logic,transfer,1,False
CVE-2018-13208,Access Control,sell,2,False
CVE-2018-13208,Integer Overflow,transferFrom,1,False
CVE-2018-13208,Multiple Functions,sell,2,False
CVE-2018-13208,Bad Randomness,mintToken,2,False
CVE-2018-13208,Bad Randomness,transfer,1,False
CVE-2018-13208,Integer Overflow,mintToken,0,False
CVE-2018-13208,Integer Overflow,buy,0,False
CVE-2018-13208,Integer Overflow,mintToken,2,False
CVE-2018-13208,Wrong Logic,mintToken,2,False
CVE-2018-13208,Access Control,mintToken,2,False
CVE-2018-13208,Access Control,transfer,1,False
