dataname,auditor_idx,vulnerability,function_name
2018-13078,0,Integer Overflow,mintToken
2018-13078,0,Integer Overflow,transfer
2018-13078,0,Integer Overflow,transferFrom
2018-13078,0,Integer Overflow,approve
2018-13078,0,Integer Overflow,approveAndCall
2018-13078,1,Integer Overflow,mintToken
2018-13078,2,Integer Overflow,mintToken
2018-13078,2,Integer Overflow,transferFrom
2018-13078,2,Access Control,transferFrom
2018-13078,2,Access Control,mintToken
2018-13078,2,Integer Overflow,transfer
2018-13078,2,Integer Overflow,transfer
2018-13078,2,Access Control,transfer
2018-13078,2,Access Control,mintToken
2018-13078,2,Integer Overflow,transferFrom
