dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,addApproval,0,False
CVE-2018-13722,Integer Overflow,subApproval,0,False
CVE-2018-13722,Access Control,setMintAgent,0,False
CVE-2018-13722,Integer Overflow,mint,0,True
CVE-2018-13722,Integer Overflow,approve,0,False
CVE-2018-13722,Wrong Logic,transferFrom,0,False
CVE-2018-13326,Bad Randomness,transfer,2,False
CVE-2018-13326,Integer Overflow,transferFrom,0,False
CVE-2018-13326,Integer Overflow,distributeToken,1,False
CVE-2018-13326,Typo Constructor,transfer,2,False
CVE-2018-13326,Wrong Logic,transfer,2,False
CVE-2018-13326,Token Devalue,transferFrom,2,False
CVE-2018-13326,Bad Randomness,receiveApproval,0,False
CVE-2018-13326,Typo Constructor,transferFrom,2,False
CVE-2018-13326,Access Control,transfer,2,False
CVE-2018-13326,Token Devalue,transfer,2,False
CVE-2018-13326,Wrong Logic,transferFrom,2,False
CVE-2018-13326,Integer Overflow,transfer,2,False
CVE-2018-13326,Integer Overflow,transfer,0,False
CVE-2018-13326,Integer Overflow,transferFrom,2,False
CVE-2018-13326,Access Control,transferFrom,2,False
CVE-2018-13326,Bad Randomness,transferFrom,2,False
CVE-2018-17968,Bad Randomness,createRoom,2,False
CVE-2018-17968,Access Control,payout,2,False
CVE-2018-17968,Integer Overflow,withdraw,2,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,0,False
CVE-2018-17968,Access Control,createRoom,2,False
CVE-2018-17968,Bad Randomness,withdraw,2,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-17968,Access Control,refund,2,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Access Control,partyOver,2,False
CVE-2018-17968,Bad Randomness,refund,2,False
CVE-2018-17968,Bad Randomness,partyOver,2,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,refund,2,False
CVE-2018-17968,Access Control,withdraw,2,False
CVE-2018-17968,Integer Overflow,executeRoom,0,False
CVE-2018-17968,Access Control,room,2,False
CVE-2018-13132,Integer Overflow,creditJackpotTokens,2,False
CVE-2018-13132,Access Control,creditJackpotTokens,2,False
