dataname,auditor_idx,vulnerability,function_name
2018-18425,0,Integer Overflow,adminClaimAirdrop
2018-18425,0,Integer Overflow,adminClaimAirdropMultiple
2018-18425,0,Integer Overflow,getTokens
2018-18425,0,Integer Overflow,transferFrom
2018-18425,0,Integer Overflow,approve
2018-18425,1,Reentrancy,getTokens
2018-18425,1,Unauthorized Withdrawal,withdraw
2018-18425,1,Unauthorized Burn,burn
2018-18425,1,Unauthorized Withdrawal,withdrawAltcoinTokens
2018-18425,2,Arbitrary Ether Withdrawal,getTokens
2018-18425,2,Arbitrary Token Transfer,transferFrom
