dataname,auditor_idx,vulnerability,function_name
2019-15078,0,Integer Overflow,distr
2019-15078,0,Integer Overflow,getTokens
2019-15078,0,Integer Overflow,transfer
2019-15078,0,Integer Overflow,transferFrom
2019-15078,1,Integer Overflow,getTokens
2019-15078,3,Integer Overflow,mintToken
2019-15078,4,Integer Overflow,distr
2019-15078,2,Integer Overflow,withdraw
2019-15078,2,Integer Overflow,burn
2019-15078,2,Integer Overflow,distr
2019-15078,2,Integer Overflow,finishDistribution
2019-15078,2,Integer Overflow,getTokens
2019-15078,2,Integer Overflow,withdrawForeignTokens
