dataname,auditor_idx,vulnerability,function_name
2018-13128,2,Integer Overflow,mint
2018-13128,2,Wrong Logic,transfer
2018-13128,2,Wrong Logic,transferFrom
2018-13128,2,Wrong Logic,approve
2018-13128,2,Wrong Logic,burn
2018-13128,2,Wrong Logic,unfreeze
2018-13128,2,Access Control,transfer
2018-13128,2,Access Control,transferFrom
2018-13128,2,Access Control,approve
2018-13128,2,Access Control,burn
2018-13128,2,Access Control,unfreeze
2018-13128,2,Typos Constructor,transfer
2018-13128,2,Typos Constructor,transferFrom
2018-13128,2,Typos Constructor,approve
2018-13128,2,Typos Constructor,burn
2018-13128,2,Typos Constructor,unfreeze
