dataname,vulnerability,function_name,auditor_idx,match
CVE-2018-13722,Integer Overflow,mint,2,True
CVE-2018-13326,Integer Overflow,Bittelux,4,False
CVE-2018-17968,Integer Overflow,refundPlayersInRoom,0,False
CVE-2018-17968,Integer Overflow,executeRoom,0,False
CVE-2018-17968,Integer Overflow,enterWithReferral,0,False
CVE-2018-17968,Integer Overflow,enter,0,False
CVE-2018-17968,Integer Overflow,distributeFunds,0,False
CVE-2018-13132,Integer Overflow,outputList,1,False
CVE-2018-13132,Integer Overflow,migrate,0,False
CVE-2018-13132,Integer Overflow,mint,0,True
CVE-2018-13132,Integer Overflow,buyTokens,2,False
CVE-2018-13132,Token Devalue,mint,4,False
CVE-2018-13128,Access Control,approve,2,False
CVE-2018-13128,Typos Constructor,transfer,2,False
CVE-2018-13128,Wrong Logic,approve,2,False
CVE-2018-13128,Typos Constructor,approve,2,False
CVE-2018-13128,Access Control,unfreeze,2,False
CVE-2018-13128,Access Control,transfer,2,False
CVE-2018-13128,Typos Constructor,transferFrom,2,False
CVE-2018-13128,Wrong Logic,unfreeze,2,False
CVE-2018-13128,Typos Constructor,burn,2,False
CVE-2018-13128,Access Control,burn,2,False
CVE-2018-13128,Wrong Logic,burn,2,False
CVE-2018-13128,Wrong Logic,transferFrom,2,False
CVE-2018-13128,Wrong Logic,transfer,2,False
CVE-2018-13128,Access Control,transferFrom,2,False
CVE-2018-13128,Integer Overflow,mint,2,True
CVE-2018-13128,Typos Constructor,unfreeze,2,False
CVE-2018-13777,Access Control,mintToken,2,False
CVE-2018-13777,Integer Overflow,mintToken,2,True
CVE-2018-12062,Integer Overflow,mintToken,4,False
CVE-2018-17071,Integer Overflow,Lucky9IO,2,False
CVE-2018-17071,Integer Overflow,stopGame,1,False
CVE-2018-17071,Wrong Logic,Lucky9IO,2,False
CVE-2018-17071,Access Control,Lucky9IO,2,False
CVE-2018-17071,Bad Randomness,Lucky9IO,2,False
CVE-2018-17071,Typos Constructor,Lucky9IO,2,False
CVE-2018-17071,Token Devalue,Lucky9IO,2,False
CVE-2018-12083,Integer Overflow,mintToken,2,False
CVE-2018-12083,Wrong Logic,mintToken,2,False
CVE-2018-14001,Wrong Logic,cashOut,2,False
CVE-2018-13208,Integer Overflow,mintToken,2,False
CVE-2018-13325,Integer Overflow,transferEth,2,False
CVE-2018-13325,Integer Overflow,_buy,2,False
CVE-2018-13325,Integer Overflow,setBuyOpen,2,False
CVE-2018-13325,Integer Overflow,setSellOpen,2,False
CVE-2018-13325,Integer Overflow,setPrices,2,False
CVE-2018-13325,Integer Overflow,_sell,2,True
CVE-2018-13129,Integer Overflow,transferFrom,0,False
CVE-2018-13129,Integer Overflow,migrate,0,False
CVE-2018-13129,Integer Overflow,mint,0,True
CVE-2018-13129,Integer Overflow,transfer,0,False
CVE-2018-13129,Integer Overflow,approve,0,False
CVE-2018-12702,Integer Overflow,transfer,4,False
CVE-2020-17753,Integer Overflow,Multiple Functions,2,False
CVE-2018-12230,Integer Overflow,mintToken,2,False
CVE-2018-12230,Wrong Logic,transfer,2,False
CVE-2018-12703,Integer Overflow,mintToken,3,False
CVE-2018-14085,Integer Overflow,sweep,0,False
CVE-2018-18425,Integer Overflow,adminClaimAirdrop,3,False
CVE-2018-17050,Integer Overflow,mintToken,1,True
CVE-2018-14006,Integer Overflow,currentBurned,0,False
CVE-2018-14006,Integer Overflow,initialSupply,0,False
CVE-2018-14006,Integer Overflow,transferFrom,1,False
CVE-2018-14006,Integer Overflow,burn,0,False
CVE-2018-14006,Integer Overflow,transfer,1,False
CVE-2018-14006,Integer Overflow,transferToAddress,0,False
CVE-2018-10468,Integer Overflow,UselessEthereumToken,1,False
CVE-2018-13075,Integer Overflow,mintToken,4,True
CVE-2018-13075,Integer Overflow,setPrices,4,False
CVE-2018-11561,Integer Overflow,distributeToken,3,True
CVE-2018-10666,Integer Overflow,div10,2,False
CVE-2018-13076,Integer Overflow,buy,0,False
CVE-2018-13076,Integer Overflow,mintToken,0,True
CVE-2018-13131,Access Control,resumePreSale,2,False
CVE-2018-13131,Access Control,unfreeze,2,False
CVE-2018-13131,Integer Overflow,startPreSale,2,False
CVE-2018-13131,Integer Overflow,buyPreSaleTokens,2,False
CVE-2018-13131,Access Control,pausePreSale,2,False
