dataname,vulnerability,function_name,match
CVE-2018-13722,Integer Overflow,safeAdd,False
CVE-2018-13722,Access Control,balanceOf,False
CVE-2018-13722,Integer Overflow,safeDiv,False
CVE-2018-13722,Integer Overflow,safeMul,False
CVE-2018-13722,Integer Overflow,safeSub,False
CVE-2018-13326,Integer Overflow,totalSupply,False
CVE-2018-13326,Integer Overflow,transferFrom,False
CVE-2018-13326,Integer Overflow,balanceOf,False
CVE-2018-13326,Integer Overflow,transfer,False
CVE-2018-13326,Integer Overflow,approve,False
CVE-2018-17968,Integer Overflow,enterWithReferral,False
CVE-2018-17968,Integer Overflow,executeRoom,False
CVE-2018-17968,Bad Randomness,random,True
CVE-2018-17968,Integer Overflow,enter,False
CVE-2018-17968,Integer Overflow,distributeFunds,False
CVE-2018-13132,Integer Overflow,mint,True
CVE-2018-13132,Access Control,mint,False
CVE-2018-13132,Token Devalue,mint,False
CVE-2018-13128,Access Control,approve,False
CVE-2018-13128,Access Control,unfreeze,False
CVE-2018-13128,Access Control,transferFrom,False
CVE-2018-13128,Access Control,transfer,False
CVE-2018-13128,Integer Overflow,mint,True
CVE-2018-13777,Integer Overflow,mintToken,True
CVE-2018-13777,Integer Overflow,_transfer,False
CVE-2018-13777,Integer Overflow,TokenERC20,False
CVE-2018-12062,Integer Overflow,transfer,False
CVE-2018-12062,Integer Overflow,buy,False
CVE-2018-12062,Integer Overflow,mintToken,False
CVE-2018-12062,Integer Overflow,sell,True
CVE-2018-12062,Integer Overflow,transferFrom,False
CVE-2018-17071,Integer Overflow,(),False
CVE-2018-12083,Typo Constructor,mintToken,False
CVE-2018-12083,Integer Overflow,mintToken,False
CVE-2018-12083,Access Control,mintToken,False
CVE-2018-12083,Integer Overflow,burnFrom,False
CVE-2018-12083,Integer Overflow,burn,False
CVE-2018-14001,Integer Overflow,transfer,False
CVE-2018-14001,Integer Overflow,Trade,False
CVE-2018-14001,Integer Overflow,transferFrom,False
CVE-2018-13208,Integer Overflow,mintToken,False
CVE-2018-13208,Integer Overflow,transferFrom,False
CVE-2018-13208,Integer Overflow,buy,False
CVE-2018-13208,Integer Overflow,sell,True
CVE-2018-13208,Integer Overflow,transfer,False
CVE-2018-13325,Integer Overflow,transferEth,False
CVE-2018-13325,Integer Overflow,approveAndCall,False
CVE-2018-13325,Integer Overflow,approve,False
CVE-2018-13325,Integer Overflow,transferFrom,False
CVE-2018-13325,Integer Overflow,transfer,False
CVE-2018-13129,Integer Overflow,mint,True
CVE-2018-13129,Access Control,transferFrom,False
CVE-2018-13129,Access Control,unfreeze,False
CVE-2018-13129,Access Control,approve,False
CVE-2018-13129,Access Control,transfer,False
CVE-2018-12702,Integer Overflow,approveAndCall,False
CVE-2018-12702,Integer Overflow,approve,False
CVE-2018-12702,Integer Overflow,transfer,False
CVE-2018-12702,Integer Overflow,transferFrom,False
CVE-2018-12702,Integer Overflow,balanceOf,False
CVE-2020-17753,Integer Overflow,buyFromRC,False
CVE-2018-12230,Integer Overflow,transfer,False
CVE-2018-12230,Integer Overflow,mintToken,False
CVE-2018-12230,Integer Overflow,approve,False
CVE-2018-12230,Integer Overflow,transferFrom,False
CVE-2018-12230,Integer Overflow,balanceOf,False
CVE-2018-12703,Typo Constructor,EighteenToken,False
CVE-2018-12703,Integer Overflow,transferFrom,False
CVE-2018-12703,Integer Overflow,balanceOf,False
CVE-2018-12703,Integer Overflow,approve,False
CVE-2018-12703,Integer Overflow,transfer,False
CVE-2018-14085,Token Devalue,sweep,False
CVE-2018-14085,Access Control,sweep,False
CVE-2018-14085,Integer Overflow,sweep,False
CVE-2018-14085,Wrong Logic,sweep,False
CVE-2018-14085,Bad Randomness,sweep,False
CVE-2018-18425,Integer Overflow,distr,False
CVE-2018-18425,Integer Overflow,getTokens,False
CVE-2018-18425,Integer Overflow,transferFrom,False
CVE-2018-18425,Integer Overflow,transfer,False
CVE-2018-18425,Integer Overflow,balanceOf,False
CVE-2018-17050,Typo Constructor,(),False
CVE-2018-17050,Integer Overflow,transferFrom,False
CVE-2018-17050,Integer Overflow,transfer,False
CVE-2018-17050,Access Control,freezeAccount,False
CVE-2018-17050,Integer Overflow,mintToken,True
CVE-2018-14006,Integer Overflow,transferFrom,False
CVE-2018-14006,Integer Overflow,burnFrom,False
CVE-2018-14006,Access Control,burn,False
CVE-2018-14006,Integer Overflow,burn,False
CVE-2018-14006,Integer Overflow,transfer,False
CVE-2018-10468,Integer Overflow,transfer,False
CVE-2018-10468,Integer Overflow,transferFrom,False
CVE-2018-10468,Integer Overflow,allowance,False
CVE-2018-10468,Integer Overflow,balanceOf,False
CVE-2018-10468,Integer Overflow,approve,False
CVE-2018-13075,Integer Overflow,TokenERC20,False
CVE-2018-11561,Integer Overflow,distributeToken,True
CVE-2018-11561,Access Control,ERC20Token,False
CVE-2018-11561,Token Devalue,ERC20Token,False
CVE-2018-11561,Integer Overflow,ERC20Token,False
CVE-2018-11561,Typo Constructor,ERC20Token,False
CVE-2018-10666,Integer Overflow,IDXM,False
CVE-2018-13076,Integer Overflow,withdrawToOwner,False
CVE-2018-13076,Integer Overflow,mintToken,True
CVE-2018-13076,Integer Overflow,transfer,False
CVE-2018-13076,Integer Overflow,buy,False
CVE-2018-13076,Integer Overflow,transferFrom,False
CVE-2018-13131,Access Control,mint,False
CVE-2018-13131,Integer Overflow,mint,True
CVE-2018-13131,Integer Overflow,buyPreSaleTokens,False
CVE-2018-10705,Access Control,AURA,False
CVE-2018-10705,Integer Overflow,AURA,False
CVE-2018-17877,Wrong Logic,buyHeart,False
CVE-2018-17877,Integer Overflow,buyHeart,False
CVE-2018-17877,Bad Randomness,buyHeart,False
CVE-2018-13081,Integer Overflow,mintToken,True
CVE-2018-13081,Access Control,setBuyRate,False
CVE-2018-13081,Access Control,setSelling,False
CVE-2018-13081,Integer Overflow,buy,False
CVE-2018-13081,Access Control,withdrawToOwner,False
CVE-2018-13071,Integer Overflow,mintToken,True
CVE-2018-13072,Access Control,setSelling,False
CVE-2018-13072,Access Control,withdrawToOwner,False
CVE-2018-13072,Integer Overflow,buy,False
CVE-2018-13072,Access Control,setBuyRate,False
CVE-2018-13072,Integer Overflow,mintToken,True
CVE-2018-13088,Integer Overflow,_transfer,False
CVE-2018-13088,Integer Overflow,approve,False
CVE-2018-13088,Integer Overflow,TokenERC20,False
CVE-2018-13088,Integer Overflow,transferFrom,False
CVE-2018-13088,Integer Overflow,transfer,False
CVE-2018-13533,Integer Overflow,TokenERC20,False
CVE-2021-34273,Integer Overflow,B2X,False
CVE-2021-34273,Integer Overflow,distributeToken,False
CVE-2018-10299,Integer Overflow,batchTransfer,True
CVE-2018-10299,Integer Overflow,transferFrom,False
CVE-2018-10299,Integer Overflow,balanceOf,False
CVE-2018-10299,Integer Overflow,transfer,False
CVE-2018-10299,Integer Overflow,approve,False
CVE-2018-13670,Integer Overflow,sell,False
CVE-2018-13670,Integer Overflow,buy,False
CVE-2018-13670,Integer Overflow,setPrices,False
CVE-2018-13670,Integer Overflow,mintToken,True
CVE-2018-10376,Integer Overflow,transferProxy,True
CVE-2018-10376,Integer Overflow,allocateTokens,False
CVE-2018-10376,Integer Overflow,approveProxy,False
CVE-2021-33403,Typo Constructor,addInitialInvestor,False
CVE-2021-33403,Typo Constructor,getExchangeRate,False
CVE-2021-33403,Typo Constructor,addToken,False
CVE-2021-33403,Typo Constructor,setEarlyInvestorExchangeRate,False
CVE-2021-33403,Typo Constructor,setStartDate,False
