dataname,vulnerability,function_name,match
CVE-2018-13722,Integer Overflow,mint,True
CVE-2018-13326,Access Control,mintToken,False
CVE-2018-17968,Integer Overflow,executeRoom,False
CVE-2018-13132,Integer Overflow,mint,True
CVE-2018-13128,Integer Overflow,mint,True
CVE-2018-13777,Integer Overflow,mintToken,True
CVE-2018-12062,Integer Overflow,mintToken,False
CVE-2018-17071,Access Control,(),False
CVE-2018-12083,Access Control,mintToken,False
CVE-2018-14001,Integer Overflow,airDrop,False
CVE-2018-13208,Integer Overflow,mintToken,False
CVE-2018-13325,Integer Overflow,mintToken,False
CVE-2018-13129,Integer Overflow,mint,True
CVE-2018-12702,Access Control,approveAndCallcode,True
CVE-2020-17753,Integer Overflow,buyFromRC,False
CVE-2018-12703,Access Control,approveAndCallcode,True
CVE-2018-14085,Access Control,sweep,False
CVE-2018-18425,Integer Overflow,getTokens,False
CVE-2018-17050,Integer Overflow,mintToken,True
CVE-2018-14006,Access Control,transferToContract,False
CVE-2018-10468,Bad Randomness,getStats,False
CVE-2018-13075,Integer Overflow,mintToken,True
CVE-2018-11561,Access Control,approveAndCall,False
CVE-2018-10666,Integer Overflow,mintToken,False
CVE-2018-13076,Integer Overflow,mintToken,True
CVE-2018-13131,Integer Overflow,mint,True
CVE-2018-10705,Integer Overflow,mintToken,False
CVE-2018-17877,Integer Overflow,getHeartPrice,False
CVE-2018-13081,Integer Overflow,mintToken,True
CVE-2018-13071,Access Control,mintToken,False
CVE-2018-13072,Integer Overflow,mintToken,True
CVE-2018-13088,Integer Overflow,mintToken,True
CVE-2018-13533,Integer Overflow,mintToken,True
CVE-2021-34273,Integer Overflow,distributeToken,False
CVE-2018-10299,Integer Overflow,mint,False
CVE-2018-13670,Integer Overflow,mintToken,True
CVE-2018-10376,Integer Overflow,allocateTokens,False
CVE-2021-33403,Access Control,migrate,False
CVE-2018-14003,Integer Overflow,batchTransfer,True
CVE-2018-11429,Integer Overflow,mint,True
CVE-2018-13070,Integer Overflow,mintToken,True
CVE-2018-13073,Integer Overflow,mintToken,True
CVE-2018-14715,Integer Overflow,mint,False
CVE-2018-12885,Bad Randomness,randMod,True
CVE-2018-13084,Integer Overflow,mintToken,True
CVE-2018-13079,Integer Overflow,mintToken,True
CVE-2021-3006,Integer Overflow,mint,False
CVE-2021-3006,Access Control,mint,False
CVE-2021-3006,Token Devalue,mint,False
CVE-2018-14086,Integer Overflow,mintToken,False
CVE-2018-14089,Integer Overflow,mul,False
CVE-2018-15552,Integer Overflow,PayWinner,False
CVE-2019-15078,Integer Overflow,getTokens,False
CVE-2018-13085,Integer Overflow,mintToken,True
CVE-2018-14063, 'vulnerability2', 'function2'],False
CVE-2018-14063, 'vulnerability1', 'function1'],False
CVE-2018-14063, 'vulnerability3', 'function3'],False
CVE-2018-13087,Integer Overflow,mintToken,True
CVE-2018-12070,Integer Overflow,mintToken,False
CVE-2018-13698,Integer Overflow,mintTokens,True
CVE-2018-10706,Integer Overflow,generateTokens,False
CVE-2018-10706,Integer Overflow,destroyTokens,False
CVE-2018-10706,Access Control,(),False
CVE-2018-10706,Bad Randomness,(),False
CVE-2018-10706,Typo Constructor,(),False
CVE-2019-15079,Integer Overflow,transferFrom,False
CVE-2018-14087,Integer Overflow,mintToken,False
CVE-2018-12067,Integer Overflow,mintToken,False
CVE-2021-34272,Integer Overflow,mintToken,False
CVE-2018-13703,Integer Overflow,mintToken,True
CVE-2018-13069,Integer Overflow,mintToken,True
CVE-2021-3004,Integer Overflow,mint,False
CVE-2020-35962,Integer Overflow,mint,False
CVE-2020-35962,Token Devalue,mint,False
CVE-2020-35962,Access Control,mint,False
CVE-2018-13127,Integer Overflow,mint,True
CVE-2018-13041,Integer Overflow,mint,True
CVE-2018-13091,Integer Overflow,mintToken,True
CVE-2018-12068,Integer Overflow,mintToken,False
CVE-2018-14084,Integer Overflow,mintToken,False
CVE-2018-13327, 'vulnerability1', 'function1'],False
CVE-2018-13327, 'vulnerability2', 'function2'],False
CVE-2018-13327, 'vulnerability3', 'function3'],False
CVE-2018-11411,Access Control,distributeFUD,False
CVE-2018-11411,Integer Overflow,depositFUD,False
CVE-2018-11411,Reentrancy,withdrawFUD,False
CVE-2018-17987,Integer Overflow,claimTile,False
CVE-2018-12511,Integer Overflow,mintToken,True
CVE-2018-14005,Integer Overflow,transferAUTOtoken1,False
CVE-2018-14005,Integer Overflow,transferAny,True
CVE-2018-14005,Integer Overflow,transferAUTOtokens5,False
CVE-2018-14005,Integer Overflow,transferAUTOtokens10,False
CVE-2018-11335,Integer Overflow,mint,True
CVE-2018-13089,Integer Overflow,mintToken,True
CVE-2018-13086,Access Control,mintToken,False
CVE-2018-13228,Integer Overflow,mintToken,False
CVE-2018-12080,Access Control,mintToken,False
CVE-2018-17882,Integer Overflow,safeSub,False
CVE-2018-13126,Integer Overflow,mint,True
CVE-2018-12084,Integer Overflow,mintToken,False
CVE-2018-13074,Integer Overflow,mintToken,True
CVE-2020-17752,Access Control,GetStats,False
CVE-2018-13078,Integer Overflow,mintToken,True
CVE-2019-15080,Integer Overflow,mintTokens,False
CVE-2018-13778,Integer Overflow,mintToken,True
CVE-2018-13082,Integer Overflow,mintToken,True
CVE-2018-12081,Integer Overflow,mintToken,False
CVE-2018-17111,Access Control,Coinlancer,False
CVE-2018-13695,Integer Overflow,mint,True
CVE-2018-11687,Access Control,approve,False
CVE-2018-11239,Access Control,approve,False
CVE-2018-13202,Integer Overflow,mintToken,False
CVE-2018-13077,Access Control,mintToken,False
CVE-2021-34270,Access Control,mintToken,False
CVE-2018-12959,Access Control,approveAndCall,True
CVE-2018-13493,Integer Overflow,mintToken,True
CVE-2018-13068,Integer Overflow,mintToken,True
CVE-2018-11446,Integer Overflow,mintToken,False
CVE-2018-19832,Integer Overflow,getTokens,False
CVE-2018-13083,Integer Overflow,mintToken,True
CVE-2018-13090,Integer Overflow,mintToken,True
CVE-2018-13220,Integer Overflow,mintToken,False
CVE-2018-12063,Access Control,mintToken,False
CVE-2018-13230,Integer Overflow,mintToken,False
