Dataname	Inference Time (seconds)
2018-10666	33.386548
2018-10666	11.012118
2018-10666	87.632782
2018-10666	39.638544
2018-10666	54.212158
2018-11561	22.114613
2018-11561	56.365814
2018-11561	42.206943
2018-11561	746.931001
2018-11561	46.705110
2018-10468	31.786605
2018-10468	9.842357
2018-10468	24.832465
2018-10468	77.505743
2018-10468	66.750349
2018-10299	26.774759
2018-10299	68.272679
2018-10299	196.517235
2018-10299	186.321609
2018-10299	89.643845
2018-10376	97.064335
2018-10376	62.601093
2018-10376	61.255770
2018-10376	67.152443
