dataname,vulnerability,function_name
2018-13722,Integer Overflow,safeMul
2018-13722,Integer Overflow,safeDiv
2018-13722,Integer Overflow,safeSub
2018-13722,Integer Overflow,safeAdd
2018-13722,Access Control,setUpgradeAgent
2018-13326,Typo Constructor,Bittelux
2018-13326,Access Control,Bittelux
2018-13326,Integer Overflow,Bittelux
2018-13326,Integer Overflow,transfer
2018-13326,Integer Overflow,transferFrom
2018-17968,Integer Overflow,enter
2018-17968,Integer Overflow,enterWithReferral
2018-17968,Integer Overflow,executeRoom
2018-17968,Integer Overflow,distributeFunds
2018-17968,Wrong Logic,random
2018-13132,Integer Overflow,mint
2018-13132,Integer Overflow,convertPresaleTokens
2018-13132,Integer Overflow,creditJackpotTokens
2018-13132,Integer Overflow,buyTokens
2018-13132,Access Control,setMigrationAgent
2018-13128,Integer Overflow,mint
2018-13128,Integer Overflow,burn
2018-13128,Access Control,transfer
2018-13128,Access Control,transferFrom
2018-13128,Access Control,approve
2018-13777,Integer Overflow,TokenERC20
2018-13777,Integer Overflow,_transfer
2018-13777,Integer Overflow,mintToken
2018-12062,Access Control,transfer
2018-12062,Access Control,transferFrom
2018-12062,Access Control,mintToken
2018-12062,Integer Overflow,buy
2018-12062,Integer Overflow,sell
2018-17071,Integer Overflow,()
2018-17071,Wrong Logic,()
2018-17071,Bad Randomness,()
2018-17071,Access Control,stopGame()
2018-12083,Integer Overflow,mintToken
2018-12083,Integer Overflow,burn
2018-12083,Integer Overflow,burnFrom
2018-12083,Access Control,mintToken
2018-12083,Typo Constructor,mintToken
2018-13208,Integer Overflow,transfer
2018-13208,Integer Overflow,transferFrom
2018-13208,Integer Overflow,buy
2018-13208,Integer Overflow,sell
2018-13208,Integer Overflow,mintToken
2018-13325,Integer Overflow,transfer
2018-13325,Integer Overflow,transferFrom
2018-13325,Integer Overflow,transferEth
2018-13325,Wrong Logic,setPrices
2018-12702,Integer Overflow,balanceOf
2018-12702,Integer Overflow,transfer
2018-12702,Integer Overflow,transferFrom
2018-12702,Integer Overflow,approveAndCall
2018-12702,Integer Overflow,approveAndCallcode
2020-17753,Integer Overflow,buyFromRC
2018-12230,Token Devalue,mintToken
2018-12230,Access Control,mintToken
2018-12230,Integer Overflow,transfer
2018-12230,Integer Overflow,transferFrom
2018-12703,Integer Overflow,balanceOf
2018-12703,Integer Overflow,transfer
2018-12703,Integer Overflow,transferFrom
2018-12703,Integer Overflow,approveAndCall
2018-12703,Integer Overflow,approveAndCallcode
2018-14085,Integer Overflow,sweep
2018-14085,Wrong Logic,sweep
2018-14085,Bad Randomness,sweep
2018-14085,Access Control,sweep
2018-14085,Typo Constructor,sweep
2018-18425,Integer Overflow,getTokens
2018-18425,Integer Overflow,distr
2018-18425,Integer Overflow,burn
2018-18425,Integer Overflow,adminClaimAirdrop
2018-18425,Integer Overflow,adminClaimAirdropMultiple
2018-17050,Integer Overflow,transfer
2018-17050,Integer Overflow,transferFrom
2018-17050,Integer Overflow,mintToken
2018-17050,Access Control,freezeAccount
2018-14006,Access Control,burn
2018-14006,Access Control,burnFrom
2018-14006,Integer Overflow,burn
2018-14006,Integer Overflow,burnFrom
2018-14006,Integer Overflow,transfer
2018-14006,Integer Overflow,transferFrom
2018-13075,Typo Constructor,setMinBalance
2018-13075,Typo Constructor,setTokenName
2018-13075,Typo Constructor,setTokenSymbol
2018-13075,Typo Constructor,setPrices
2018-11561,Access Control,ERC20Token
2018-11561,Token Devalue,ERC20Token
2018-11561,Typo Constructor,ERC20Token
2018-11561,Integer Overflow,distributeToken
2018-11561,Integer Overflow,ERC20Token
2018-10666,Integer Overflow,IDXM
2018-10666,Access Control,IDXM
2018-10666,Token Devalue,IDXM
2018-10666,Bad Randomness,IDXM
2018-10666,Typo Constructor,IDXM
2018-13076,Access Control,freezeAccount
2018-13076,Access Control,mintToken
2018-13076,Access Control,setBuyRate
2018-13076,Access Control,transfer
2018-13076,Access Control,transferFrom
2018-13131,Integer Overflow,mint
2018-13131,Access Control,unfreeze
2018-13131,Access Control,transfer
2018-13131,Access Control,transferFrom
2018-13131,Access Control,approve
2018-13081,Access Control,withdrawToOwner
2018-13081,Integer Overflow,transfer
2018-13081,Integer Overflow,transferFrom
2018-13081,Integer Overflow,buy
2018-13081,Integer Overflow,mintToken
2018-13071,Access Control,mintToken
