dataname,vulnerability,function_name,match
CVE-2018-13722,Minting Function,mint,False
CVE-2018-13132,Bad Randomness,buyTokens,False
CVE-2018-13128,Token Devalue,transfer,False
CVE-2018-12062,Sell Function,buy,False
CVE-2018-12083,Token Devalue,mintToken,True
CVE-2018-13208,Buy Function,buy,False
CVE-2018-13325,Token Devalue,transfer,False
CVE-2018-12702,Access Control,transfer,False
CVE-2018-12230,Transfer Failed,transfer,False
CVE-2018-14006,Access Control,transfer,False
CVE-2018-10468,Token Devalue,(),False
CVE-2018-10666,Bad Randomness,IDXM,False
CVE-2018-13131,Token Devalue,mint,False
CVE-2018-17877,RoundMyPayMask,buyHeart,False
CVE-2018-13071,Token Devalue,mintToken,False
CVE-2018-13072,Buy Function,buy,False
CVE-2018-13533,Buy Function,buy,False
CVE-2018-14003,Batch Attack,batchTransfer,False
CVE-2018-14715,Bad Randomness,mint,False
CVE-2018-12885,Buy Function,buyChamp,False
CVE-2018-13084,Token Devalue,transfer,False
CVE-2018-13079,Extract the vulnerability name,Extract the function name.,False
CVE-2021-3006,Function Exposure,find_vulnerabilities,False
CVE-2018-19833,Token Devalue,mintToken,False
CVE-2018-14089,Access Control,setAIRDROPBounce,False
CVE-2018-15552,Payment Bug,PayWinner,False
CVE-2018-14063,Token Devalue,transfer,False
CVE-2018-13087,Token Devalue,buy,False
CVE-2018-12070,Extract the vulnerability name,Extract the function name.,False
CVE-2018-13698,Bad Randomness,mintTokens,False
CVE-2019-15079,Burnable Token,transfer,False
CVE-2018-14087,Buy Function,buy,False
CVE-2018-12067,Bad Randomness,transfer,False
CVE-2021-3004,Deposit Function,deposit,False
CVE-2018-14084,Self Destruct,selfdestructs,False
CVE-2018-11411,Bad Randomness,distributeFUD,False
CVE-2018-17987,Integer Overflow,claimTile,False
CVE-2018-12511,Token Devalue,transfer,False
CVE-2018-14005,Transfer Failed,transfer,False
CVE-2018-13089,Buy Function,buy,False
CVE-2018-13086,Bad Randomness,buy,False
CVE-2018-13126,Integer Overflow,buyTokens,False
CVE-2018-12084,Token Devalue,transfer,False
CVE-2018-13078,Bad Randomness,transfer,False
CVE-2019-15080,Transfer Failed,transfer,False
CVE-2018-13778,Token Devalue,transfer,False
CVE-2018-12081,Bad Randomness,transfer,False
CVE-2018-17111,Transfer Failed,transfer,False
CVE-2018-11687,Bad Randomness,distributeBTR,False
CVE-2018-11239,Transfer Function,transfer,False
CVE-2018-13202,Token Devalue,transfer,False
CVE-2018-13077,Buy Function,buy,False
CVE-2018-13493,Token Devalue,mintToken,False
CVE-2018-11446,Bad Randomness,setPrices,False
CVE-2018-19832,Token Devalue,getTokens,False
CVE-2018-13090,Buy Function,buy,False
CVE-2018-13220,Buy Function,buy,False
CVE-2018-12063,Function Exposure,find_vulnerabilities,False
CVE-2018-12082,Buy Function,buy,False
CVE-2018-13080,Bad Randomness,transfer,False
CVE-2018-13189,Bad Randomness,transfer,False
CVE-2018-12079,Bad Randomness,transfer,False
CVE-2018-12975,Access Control,mint,False
CVE-2018-12454,Bad Randomness,addguess,False
CVE-2018-13779,Reentrancy,transfer,False
CVE-2018-13836,Access Control,setupAirDrop,False
CVE-2018-19830,Transfer to a contract,transfer,False
CVE-2018-14002,Access Control,transfer,False
CVE-2018-13113,Token Devalue,transfer,False
CVE-2018-12078,Bad Randomness,transfer,False
CVE-2018-13227,Buy Function,buy,False
