dataname,vulnerability,function_name
2018-13071,Integer Overflow,A1
2018-13071,Wrong Logic,A2
2018-13071,Bad Randomness,A3
2018-13071,Access Control,A4
2018-13071,Typo,A5
2018-13071,Integer Overflow,A6
2018-13071,Wrong Logic,A7
2018-13071,Bad Randomness,A8
2018-13071,Access Control,A9
2018-13071,Typo,A10
2018-13071,Integer Overflow,A11
2018-13071,Wrong Logic,A12
2018-13071,Bad Randomness,A13
2018-13071,Access Control,A14
2018-13071,Typo,A15
2018-13071,Integer Overflow,A16
2018-13071,Wrong Logic,A17
2018-13071,Bad Randomness,A18
2018-13071,Access Control,A19
2018-13071,Typo,A20
2018-13071,Integer Overflow,A21
2018-13071,Wrong Logic,A22
2018-13071,Bad Randomness,A23
2018-13071,Access Control,A24
2018-13071,Typo,A25
2018-13071,Integer Overflow,A26
2018-13071,Wrong Logic,A27
2018-13071,Bad Randomness,A28
2018-13071,Access Control,A29
2018-13071,Typo,A30
2018-13071,Integer Overflow,A31
2018-13071,Wrong Logic,A32
2018-13071,Bad Randomness,A33
2018-13071,Access Control,A34
2018-13071,Typo,A35
2018-13071,Integer Overflow,A36
2018-13071,Wrong Logic,A37
2018-13071,Bad Randomness,A38
2018-13071,Access Control,A39
2018-13071,Typo,A40
2018-13071,Integer Overflow,A41
2018-13071,Wrong Logic,A42
2018-13071,Bad Randomness,A43
2018-13071,Access Control,A44
2018-13071,Typo,A45
2018-13071,Integer Overflow,A46
2018-13071,Wrong Logic,A47
2018-13071,Bad Randomness,A48
2018-13071,Access Control,A49
2018-13071,Typo,A50
2018-13071,Integer Overflow,A51
2018-13071,Wrong Logic,A52
2018-13071,Bad Randomness,A53
2018-13071,Access Control,A54
2018-13071,Typo,A55
2018-13071,Integer Overflow,A56
2018-13071,Wrong Logic,A57
2018-13071,Bad Randomness,A58
2018-13071,Access Control,A59
2018-13071,Typo,A60
2018-13071,Integer Overflow,A61
2018-13071,Wrong Logic,A62
2018-13071,Bad Randomness,A63
2018-13071,Access Control,A64
2018-13071,Typo,A65
2018-13071,Integer Overflow,A66
2018-13071,Wrong Logic,A67
2018-13071,Bad Randomness,A68
2018-13071,Access Control,A69
2018-13071,Typo,A70
2018-13071,Integer Overflow,A71
2018-13071,Wrong Logic,A72
2018-13071,Bad Randomness,A73
2018-13071,Access Control,A74
2018-13071,Typo,A75
2018-13071,Integer Overflow,A76
2018-13071,Wrong Logic,A77
2018-13071,Bad Randomness,A78
2018-13071,Access Control,A79
2018-13071,Typo,A80
2018-13071,Integer Overflow,A81
2018-13071,Wrong Logic,A82
2018-13071,Bad Randomness,A83
2018-13071,Access Control,A84
2018-13071,Typo,A85
2018-13071,Integer Overflow,A86
2018-13071,Wrong Logic,A87
2018-13071,Bad Randomness,A88
2018-13071,Access Control,A89
2018-13071,Typo,A90
2018-13071,Integer Overflow,A91
2018-13071,Wrong Logic,A92
2018-13071,Bad Randomness,A93
2018-13071,Access Control,A94
2018-13071,Typo,A95
2018-13071,Integer Overflow,A96
2018-13071,Wrong Logic,A97
2018-13071,Bad Randomness,A98
2018-13071,Access Control,A99
2018-13071,Typo,A100
2018-13071,Integer Overflow,A101
2018-13071,Wrong Logic,A102
2018-13071,Bad Randomness,A103
2018-13071,Access Control,A104
2018-13071,Typo,A105
2018-13071,Integer Overflow,A106
2018-13071,Wrong Logic,A107
2018-13071,Bad Randomness,A108
2018-13071,Access Control,A109
2018-13071,Typo,A110
2018-13071,Integer Overflow,A111
2018-13071,Wrong Logic,A112
2018-13071,Bad Randomness,A113
2018-13071,Access Control,A114
2018-13071,Typo,A115
2018-13071,Integer Overflow,A116
2018-13071,Wrong Logic,A117
2018-13071,Bad Randomness,A118
2018-13071,Access Control,A119
2018-13071,Typo,A120
2018-13071,Integer Overflow,A121
2018-13071,Wrong Logic,A122
2018-13071,Bad Randomness,A123
2018-13071,Access Control,A124
2018-13071,Typo,A125
2018-13071,Integer Overflow,A126
2018-13071,Wrong Logic,A127
2018-13071,Bad Randomness,A128
2018-13071,Access Control,A129
2018-13071,Typo,A130
2018-13071,Integer Overflow,A131
2018-13071,Wrong Logic,A132
2018-13071,Bad Randomness,A133
2018-13071,Access Control,A134
2018-13071,Typo,A135
2018-13071,Integer Overflow,A136
2018-13071,Wrong Logic,A137
2018-13071,Bad Randomness,A138
2018-13071,Access Control,A139
2018-13071,Typo,A140
2018-13071,Integer Overflow,A141
2018-13071,Wrong Logic,A142
2018-13071,Bad Randomness,A143
2018-13071,Access Control,A144
2018-13071,Typo,A145
2018-13071,Integer Overflow,A146
2018-13071,Wrong Logic,A147
2018-13071,Bad Randomness,A148
2018-13071,Access Control,A149
2018-13071,Typo,A150
2018-13071,Integer Overflow,A151
2018-13071,Wrong Logic,A152
2018-13071,Bad Randomness,A153
2018-13071,Access Control,A154
2018-13071,Typo,A155
2018-13071,Integer Overflow,A156
2018-13071,Wrong Logic,A157
2018-13071,Bad Randomness,A158
2018-13071,Access Control,A159
2018-13071,Typo,A160
2018-13071,Integer Overflow,A161
2018-13071,Wrong Logic,A162
2018-13071,Bad Randomness,A163
2018-13071,Access Control,A164
2018-13071,Typo,A165
2018-13071,Integer Overflow,A166
2018-13071,Wrong Logic,A167
2018-13071,Bad Randomness,A168
2018-13071,Access Control,A169
2018-13071,Typo,A170
2018-13071,Integer Overflow,A171
2018-13071,Wrong Logic,A172
2018-13071,Bad Randomness,A173
2018-13071,Access Control,A174
2018-13071,Typo,A175
2018-13071,Integer Overflow,A176
2018-13071,Wrong Logic,A177
2018-13071,Bad Randomness,A178
2018-13071,Access Control,A179
2018-13071,Typo,A180
2018-13071,Integer Overflow,A181
2018-13071,Wrong Logic,A182
2018-13071,Bad Randomness,A183
2018-13071,Access Control,A184
2018-13071,Typo,A185
2018-13071,Integer Overflow,A186
2018-13071,Wrong Logic,A187
2018-13071,Bad Randomness,A188
2018-13071,Access Control,A189
2018-13071,Typo,A190
2018-13071,Integer Overflow,A191
2018-13071,Wrong Logic,A192
2018-13071,Bad Randomness,A193
2018-13071,Access Control,A194
2018-13071,Typo,A195
2018-13071,Integer Overflow,A196
2018-13071,Wrong Logic,A197
2018-13071,Bad Randomness,A198
2018-13071,Access Control,A199
2018-13071,Typo,A200
2018-13071,Integer Overflow,A201
2018-13071,Wrong Logic,A202
2018-13071,Bad Randomness,A203
2018-13071,Access Control,A204
2018-13071,Typo,A205
2018-13071,Integer Overflow,A206
2018-13071,Wrong Logic,A207
2018-13071,Bad Randomness,A208
2018-13071,Access Control,A209
2018-13071,Typo,A210
2018-13071,Integer Overflow,A211
2018-13071,Wrong Logic,A212
2018-13071,Bad Randomness,A213
2018-13071,Access Control,A214
2018-13071,Typo,A215
2018-13071,Integer Overflow,A216
2018-13071,Wrong Logic,A217
2018-13071,Bad Randomness,A218
2018-13071,Access Control,A219
2018-13071,Typo,A220
2018-13071,Integer Overflow,A221
2018-13071,Wrong Logic,A222
2018-13071,Bad Randomness,A223
2018-13071,Access Control,A224
2018-13071,Typo,A225
2018-13071,Integer Overflow,A226
2018-13071,Wrong Logic,A227
2018-13071,Bad Randomness,A228
2018-13071,Access Control,A229
2018-13071,Typo,A230
2018-13071,Integer Overflow,A231
2018-13071,Wrong Logic,A232
2018-13071,Bad Randomness,A233
2018-13071,Access Control,A234
2018-13071,Typo,A235
2018-13071,Integer Overflow,A236
2018-13071,Wrong Logic,A237
2018-13071,Bad Randomness,A238
2018-13071,Access Control,A239
2018-13071,Typo,A240
2018-13071,Integer Overflow,A241
2018-13071,Wrong Logic,A242
2018-13071,Bad Randomness,A243
2018-13071,Access Control,A244
2018-13071,Typo,A245
2018-13071,Integer Overflow,A246
2018-13071,Wrong Logic,A247
2018-13071,Bad Randomness,A248
2018-13071,Access Control,A249
2018-13071,Typo,A250
2018-13071,Integer Overflow,A251
2018-13071,Wrong Logic,A252
2018-13071,Bad Randomness,A253
2018-13071,Access Control,A254
2018-13071,Typo,A255
2018-13071,Integer Overflow,A256
2018-13071,Wrong Logic,A257
2018-13071,Bad Randomness,A258
2018-13071,Access Control,A259
2018-13071,Typo,A260
2018-13071,Integer Overflow,A261
2018-13071,Wrong Logic,A262
2018-13071,Bad Randomness,A263
