dataname,vulnerability,function_name
2018-11239,Extract the vulnerability name,burn
2018-11239,Extract the function name.,burn
2018-11239,Extract the vulnerability name,burn
2018-11239,Extract the function name.,burn
2018-11239,Extract the vulnerability name,transferFrom
2018-11239,Extract the function name.,transferFrom
2018-11239,Extract the vulnerability name,transferFrom
2018-11239,Extract the function name.,transferFrom
2018-11239,Extract the vulnerability name,_transfer
2018-11239,Extract the function name.,_transfer
