dataname,vulnerability,function_name
2018-13722,Integer Overflow,safeMul
2018-13722,Division by Zero,safeDiv
2018-13722,Underflow,safeSub
2018-13722,Overflow,safeAdd
2018-13722,Unchecked Balance Subtraction,burn
2018-13326,Reentrancy Vulnerability,transfer
2018-13326,Reentrancy Vulnerability,transferFrom
2018-13326,Reentrancy Vulnerability,approveAndCall
2018-13326,Lack of Access Control,Bittelux
2018-17968,Reentrancy,enter
2018-17968,Reentrancy,executeRoom
2018-17968,Reentrancy,distributeFunds
2018-17968,Reentrancy,refundPlayersInRoom
2018-17968,Weak Randomness,random
2018-13132,Unchecked Return Value,mint
2018-13132,Unchecked Return Value,convertPresaleTokens
2018-13132,Unchecked Return Value,creditJackpotTokens
2018-13132,Unchecked Return Value,buyTokens
2018-13132,Unchecked Return Value,setMigrationAgent
2018-13128,Token minting limit,mint
2018-13128,Burn function without access control,burn
2018-13128,Unfreeze function without access control,unfreeze
2018-13128,Token transfer function is frozen,transfer
2018-13128,Token transferFrom function is frozen,transferFrom
2018-13777,Ownership Transfer Vulnerability,transferOwnership
2018-13777,Approval and Call Vulnerability,approveAndCall
2018-13777,Minting Vulnerability,mintToken
2018-13777,Transfer From Vulnerability,transferFrom
2018-13777,Transfer Vulnerability,transfer
2018-12062,Denial of Service Vulnerability,buy
2018-12062,Denial of Service Vulnerability,sell
2018-12062,Frozen Account Vulnerability,transfer
2018-12062,Frozen Account Vulnerability,transferFrom
2018-12062,Unauthorized Token Minting,mintToken
2018-17071,Reentrancy vulnerability,()
2018-17071,Unauthorized access vulnerability,stopGame()
2018-17071,Integer overflow vulnerability,()
2018-17071,Unchecked Ether transfer vulnerability,()
2018-12083,Unauthorized Access,changeOwner
2018-12083,Unauthorized Transfer,transferFrom
2018-12083,Unauthorized Approval,approveAndCall
2018-12083,Unauthorized Burn,burn
2018-12083,Unauthorized Burn,burnFrom
2018-14001,Reentrancy vulnerability,transfer
2018-14001,Reentrancy vulnerability,transferFrom
2018-14001,Unchecked Ether transfer,Trade
2018-14001,Unchecked Ether transfer,Buy
2018-14001,Unchecked Ether transfer,Sell
2018-13208,Denial of Service Vulnerability,buy
2018-13208,Denial of Service Vulnerability,sell
2018-13208,Unauthorized Token Minting,mintToken
2018-13208,Frozen Account Vulnerability,transfer
2018-13208,Frozen Account Vulnerability,transferFrom
2018-13325,Unauthorized Transfer of Ownership,transferOwnership
2018-13325,Unauthorized Price Setting,setPrices
2018-13325,Unauthorized Buy Open Setting,setBuyOpen
2018-13325,Unauthorized Sell Open Setting,setSellOpen
2018-13325,Unauthorized ETH Transfer,transferEth
2018-13129,Unchecked Return Value,mint
2018-13129,Unchecked Return Value,transfer
2018-13129,Unchecked Return Value,transferFrom
2018-13129,Unchecked Return Value,approve
2018-13129,Unchecked Return Value,migrate
2018-12702,Unsafe use of the balanceOf function,balanceOf
2018-12702,Unsafe use of the transfer function,transfer
2018-12702,Unsafe use of the transferFrom function,transferFrom
2018-12702,Unsafe use of the approve function,approve
2018-12702,Unsafe use of the allowance function,allowance
2020-17753,Unchecked Return Value,buyFromRC
2018-12230,Reentrancy vulnerability,transfer
2018-12230,Reentrancy vulnerability,transferFrom
2018-12230,Unauthorized minting,mintToken
2018-12230,Unauthorized freezing,freezeAccount
2018-12230,Unauthorized name change,changeName
2018-12703,Unsafe use of the balanceOf function,balanceOf
2018-12703,Unsafe use of the transfer function,transfer
2018-12703,Unsafe use of the transferFrom function,transferFrom
2018-12703,Unsafe use of the approve function,approve
2018-12703,Unsafe use of the allowance function,allowance
2018-14085,Unchecked Return Value,sweep
2018-18425,Reentrancy vulnerability,getTokens
2018-18425,Reentrancy vulnerability,distr
2018-18425,Reentrancy vulnerability,transfer
2018-18425,Reentrancy vulnerability,transferFrom
2018-18425,Reentrancy vulnerability,burn
2018-17050,Reentrancy vulnerability,transfer
2018-17050,Reentrancy vulnerability,transferFrom
2018-17050,Reentrancy vulnerability,approveAndCall
2018-14006,Reentrancy vulnerability,transfer
2018-14006,Reentrancy vulnerability,transferFrom
2018-14006,Unchecked return value,burn
2018-14006,Unchecked return value,burnFrom
2018-10468,Unsafe use of mapping,balanceOf
2018-10468,Unsafe use of mapping,transfer
2018-10468,Unsafe use of mapping,transferFrom
2018-10468,Unsafe use of mapping,approve
2018-10468,Unsafe use of mapping,allowance
2018-13075,Extract the vulnerability name,transferOwnership
2018-13075,Extract the function name,transferOwnership
2018-13075,Extract the vulnerability name,destruct
2018-13075,Extract the function name,destruct
2018-13075,Extract the vulnerability name,burn
2018-13075,Extract the function name,burn
2018-13075,Extract the vulnerability name,burnFrom
2018-13075,Extract the function name,burnFrom
2018-13075,Extract the vulnerability name,setMinBalance
2018-13075,Extract the function name,setMinBalance
2018-11561,Unchecked Balance Initialization,ERC20Token
2018-11561,Unchecked Balance Subtraction,distributeToken
2018-11561,Unchecked Balance Subtraction,transferFrom
2018-11561,Unchecked Balance Subtraction,transfer
2018-11561,Unchecked Call Return,approveAndCall
2018-10666,Unauthorized Access,setExportFee
2018-10666,Unauthorized Access,setHoldingPeriod
2018-10666,Information Exposure,feeFor
2018-10666,Unauthorized Access,unlockToken
2018-10666,Information Exposure,precalculate
2018-13076,Reentrancy,transfer
2018-13076,Reentrancy,transferFrom
2018-13076,Unchecked Ether Receipt,buy
2018-13076,Unchecked Ether Receipt,withdrawToOwner
2018-13076,Unchecked Ether Receipt,mintToken
2018-13131,Unchecked Return Value,buyPreSaleTokens
2018-13131,Unchecked Return Value,mint
2018-13131,Unchecked Return Value,transfer
2018-13131,Unchecked Return Value,transferFrom
2018-13131,Unchecked Return Value,approve
2018-10705,Reentrancy,transfer
2018-10705,Reentrancy,transferFrom
2018-10705,Unchecked Return Value,approveAndCall
2018-10705,Integer Overflow,safeAdd
2018-10705,Integer Underflow,safeSub
2018-17877,Reentrancy vulnerability,buyHeart
2018-17877,Reentrancy vulnerability,withdraw
2018-17877,Reentrancy vulnerability,withdrawOwner
2018-17877,Randomness vulnerability,luckyBuy
2018-17877,Information exposure vulnerability,getFullround
2018-13081,Extract the vulnerability name,buy
2018-13081,Extract the function name,buy
2018-13081,Extract the vulnerability name,withdrawToOwner
2018-13081,Extract the function name,withdrawToOwner
2018-13081,Extract the vulnerability name,mintToken
2018-13081,Extract the function name,mintToken
2018-13081,Extract the vulnerability name,transfer
2018-13081,Extract the function name,transfer
2018-13081,Extract the vulnerability name,transferFrom
2018-13081,Extract the function name,transferFrom
2018-13071,Reentrancy,transfer
2018-13071,Reentrancy,transferFrom
2018-13071,Unchecked Ether Reception,buy
2018-13071,Unchecked Ether Reception,sell
2018-13071,Unchecked Ether Reception,mintToken
2018-13072,Unchecked Ether Receipt,buy
2018-13072,Unchecked Ether Receipt,withdrawToOwner
2018-13072,Reentrancy,transfer
2018-13072,Reentrancy,approveAndCall
2018-13072,Reentrancy,transferFrom
2018-13088,Ownership Transfer Vulnerability,transferOwnership
2018-13088,Approval and Call Vulnerability,approveAndCall
2018-13088,Burn Function Vulnerability,burn
2018-13088,Burn From Function Vulnerability,burnFrom
2018-13088,Price Setting Vulnerability,setPrices
2018-13533,Unauthorized access vulnerability,withdraw
2018-13533,Reentrancy vulnerability,transfer
2018-13533,Reentrancy vulnerability,transferFrom
2018-13533,Reentrancy vulnerability,buy
2018-13533,Reentrancy vulnerability,sell
2021-34273,Unsafe Math Operations,balanceOf
2021-34273,Unsafe Math Operations,transfer
2021-34273,Unsafe Math Operations,transferFrom
2021-34273,Unsafe Math Operations,distributeToken
2021-34273,Unsafe Math Operations,approve
Initialization Bug,BecToken,7
Reentrancy,transfer,7
Reentrancy,transferFrom,7
Approval Race Condition,approve,7
Reentrancy,batchTransfer,7
2018-13670,Unchecked Balance,transfer
2018-13670,Unchecked Balance,buy
2018-13670,Unchecked Balance,sell
2018-13670,Unchecked Balance,mintToken
2018-13670,Unchecked Balance,setMinBalance
2018-10376,Reentrancy Vulnerability,transferProxy
2018-10376,Reentrancy Vulnerability,approveProxy
2018-10376,Integer Overflow,allocateTokens
2018-10376,Read-Only Function,balanceOf
2018-10376,Read-Only Function,allowance
2021-33403,Reentrancy Vulnerability,transfer
2021-33403,Reentrancy Vulnerability,approve
2021-33403,Reentrancy Vulnerability,transferFrom
2021-33403,Unauthorized Access,finalize
2021-33403,Unauthorized Access,refund
2018-14003,Ownership Transfer Vulnerability,transferOwnership
2018-14003,Burn Function Vulnerability,burn
2018-14003,Burn From Function Vulnerability,burnFrom
2018-14003,Account Freezing Vulnerability,freezeAccount
2018-14003,Batch Transfer Vulnerability,batchTransfer
2018-11429,Token minting limit bypass,mint
2018-11429,Token transfer and approval restrictions bypass,unfreeze
2018-11429,Token transfer restrictions bypass,transfer
2018-11429,Token transfer restrictions bypass,transferFrom
2018-11429,Token approval restrictions bypass,approve
2018-13070,Unauthorized Self-Destruction,selfdestructs
2018-13070,Unauthorized Burn,burn
2018-13070,Unauthorized Burn From,burnFrom
2018-13070,Unauthorized Transfer of Ownership,transferOwnership
2018-13070,Unauthorized Approval and Call,approveAndCall
2018-13073,Unauthorized Account Freezing,freezeAccount
2018-13073,Unauthorized Token Minting,mintToken
2018-13073,Unauthorized Price Setting,setPrices
2018-13073,Frozen Account Vulnerability,transfer
2018-13073,Frozen Account Vulnerability,transferFrom
2018-14715,Unchecked Return Value,transfer
2018-14715,Unchecked Return Value,transferFrom
2018-14715,Unchecked Return Value,approve
2018-14715,Unchecked Return Value,mint
2018-14715,Unchecked Return Value,mintBatch
2018-12885,Unsafe Array Length,getChampsByOwner
2018-12885,Unsafe Array Length,getItemsByOwner
2018-12885,Unsafe Array Length,getChampsCount
2018-12885,Unsafe Array Length,getItemsCount
2018-12885,Unsafe Array Length,getChampsForSale
2018-13084,Ownership Transfer Vulnerability,transferOwnership
2018-13084,Approve and Call Vulnerability,approveAndCall
2018-13084,Burn Function Vulnerability,burn
2018-13084,Burn From Function Vulnerability,burnFrom
2018-13084,Buy Function Vulnerability,buy
2018-13079,Unauthorized Transfer of Ownership,transferOwnership
2018-13079,Unauthorized Approval and Call,approveAndCall
2018-13079,Unauthorized Burn,burn
2018-13079,Unauthorized Burn From,burnFrom
2018-13079,Unauthorized Price Change,setPrices
2021-3006,Unauthorized Access,updateSettings
2021-3006,Unauthorized Access,claimStakingReward
2021-3006,Unauthorized Access,fundDAO
2021-3006,Unauthorized Access,sellTokenForLRC
2021-3006,Information Exposure,getProtocolFeeStats
2018-14086,Reentrancy,transfer
